types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/The_Velvet_Underground_(album),Some Kinda Love,116,112,1.0,0.0,1,25,== Writing == | ==== 1990s ====
http://dbpedia.org/class/yago/WikicatAlbumsProducedByDougYule,http://dbpedia.org/resource/The_Velvet_Underground_(album),Some Kinda Love,116,112,1.0,0.0,1,25,== Writing == | ==== 1990s ====
http://dbpedia.org/class/yago/WikicatAlbumsProducedByLouReed,http://dbpedia.org/resource/The_Velvet_Underground_(album),Some Kinda Love,116,112,1.0,0.0,1,25,== Writing == | ==== 1990s ====
http://dbpedia.org/class/yago/WikicatAlbumsProducedByMaureenTucker,http://dbpedia.org/resource/The_Velvet_Underground_(album),Some Kinda Love,116,112,1.0,0.0,1,25,== Writing == | ==== 1990s ====
http://dbpedia.org/class/yago/WikicatAlbumsProducedBySterlingMorrison,http://dbpedia.org/resource/The_Velvet_Underground_(album),Some Kinda Love,116,112,1.0,0.0,1,25,== Writing == | ==== 1990s ====
http://dbpedia.org/ontology/Album,http://dbpedia.org/resource/The_Velvet_Underground_(album),Some Kinda Love,116,112,1.0,0.0,1,25,== Writing == | ==== 1990s ====
http://dbpedia.org/class/yago/WikicatVerveRecordsAlbums,http://dbpedia.org/resource/The_Velvet_Underground_(album),Some Kinda Love,116,112,1.0,0.0,1,25,== Writing == | ==== 1990s ====
http://dbpedia.org/class/yago/WikicatMGMRecordsAlbums,http://dbpedia.org/resource/The_Velvet_Underground_(album),Some Kinda Love,116,112,1.0,0.0,1,25,== Writing == | ==== 1990s ====
http://dbpedia.org/class/yago/WikicatRockAlbums,http://dbpedia.org/resource/The_Velvet_Underground_(album),Some Kinda Love,116,112,1.0,0.0,1,25,== Writing == | ==== 1990s ====
http://dbpedia.org/class/yago/Album106591815,http://dbpedia.org/resource/The_Velvet_Underground_(album),Some Kinda Love,116,112,1.0,0.0,1,25,== Writing == | ==== 1990s ====
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/The_Velvet_Underground_(album),Some Kinda Love,116,112,1.0,0.0,1,25,== Writing == | ==== 1990s ====
http://dbpedia.org/class/yago/Instrumentality103575240,http://dbpedia.org/resource/The_Velvet_Underground_(album),Some Kinda Love,116,112,1.0,0.0,1,25,== Writing == | ==== 1990s ====
http://dbpedia.org/class/yago/Medium106254669,http://dbpedia.org/resource/The_Velvet_Underground_(album),Some Kinda Love,116,112,1.0,0.0,1,25,== Writing == | ==== 1990s ====
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/The_Velvet_Underground_(album),Some Kinda Love,116,112,1.0,0.0,1,25,== Writing == | ==== 1990s ====
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/The_Velvet_Underground_(album),Some Kinda Love,116,112,1.0,0.0,1,25,== Writing == | ==== 1990s ====
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/The_Velvet_Underground_(album),Some Kinda Love,116,112,1.0,0.0,1,25,== Writing == | ==== 1990s ====
http://dbpedia.org/class/yago/Wikicat1969Albums,http://dbpedia.org/resource/The_Velvet_Underground_(album),Some Kinda Love,116,112,1.0,0.0,1,25,== Writing == | ==== 1990s ====
http://dbpedia.org/class/yago/WikicatEnglish-languageAlbums,http://dbpedia.org/resource/The_Velvet_Underground_(album),Some Kinda Love,116,112,1.0,0.0,1,25,== Writing == | ==== 1990s ====
http://dbpedia.org/class/yago/WikicatTheVelvetUndergroundAlbums,http://dbpedia.org/resource/The_Velvet_Underground_(album),Some Kinda Love,116,112,1.0,0.0,1,25,== Writing == | ==== 1990s ====
