types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Delphine_de_Girardin,Delphine Gay,26,44,1.0,0.0,0,102,== Notes == | === References ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Delphine_de_Girardin,Delphine Gay,26,44,1.0,0.0,0,102,== Notes == | === References ===
http://dbpedia.org/class/yago/WikicatPseudonymousWriters,http://dbpedia.org/resource/Delphine_de_Girardin,Delphine Gay,26,44,1.0,0.0,0,102,== Notes == | === References ===
http://dbpedia.org/class/yago/WikicatWomen,http://dbpedia.org/resource/Delphine_de_Girardin,Delphine Gay,26,44,1.0,0.0,0,102,== Notes == | === References ===
http://dbpedia.org/class/yago/WikicatWriters,http://dbpedia.org/resource/Delphine_de_Girardin,Delphine Gay,26,44,1.0,0.0,0,102,== Notes == | === References ===
http://dbpedia.org/class/yago/Woman110787470,http://dbpedia.org/resource/Delphine_de_Girardin,Delphine Gay,26,44,1.0,0.0,0,102,== Notes == | === References ===
http://dbpedia.org/class/yago/Writer110794014,http://dbpedia.org/resource/Delphine_de_Girardin,Delphine Gay,26,44,1.0,0.0,0,102,== Notes == | === References ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Delphine_de_Girardin,Delphine Gay,26,44,1.0,0.0,0,102,== Notes == | === References ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Delphine_de_Girardin,Delphine Gay,26,44,1.0,0.0,0,102,== Notes == | === References ===
http://dbpedia.org/class/yago/Adult109605289,http://dbpedia.org/resource/Delphine_de_Girardin,Delphine Gay,26,44,1.0,0.0,0,102,== Notes == | === References ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Delphine_de_Girardin,Delphine Gay,26,44,1.0,0.0,0,102,== Notes == | === References ===
http://dbpedia.org/class/yago/Communicator109610660,http://dbpedia.org/resource/Delphine_de_Girardin,Delphine Gay,26,44,1.0,0.0,0,102,== Notes == | === References ===
http://dbpedia.org/class/yago/Female109619168,http://dbpedia.org/resource/Delphine_de_Girardin,Delphine Gay,26,44,1.0,0.0,0,102,== Notes == | === References ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Delphine_de_Girardin,Delphine Gay,26,44,1.0,0.0,0,102,== Notes == | === References ===
http://dbpedia.org/class/yago/Novelist110363573,http://dbpedia.org/resource/Delphine_de_Girardin,Delphine Gay,26,44,1.0,0.0,0,102,== Notes == | === References ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Delphine_de_Girardin,Delphine Gay,26,44,1.0,0.0,0,102,== Notes == | === References ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Delphine_de_Girardin,Delphine Gay,26,44,1.0,0.0,0,102,== Notes == | === References ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Delphine_de_Girardin,Delphine Gay,26,44,1.0,0.0,0,102,== Notes == | === References ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Delphine_de_Girardin,Delphine Gay,26,44,1.0,0.0,0,102,== Notes == | === References ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Delphine_de_Girardin,Delphine Gay,26,44,1.0,0.0,0,102,== Notes == | === References ===
http://dbpedia.org/class/yago/Wikicat19th-centuryFrenchWriters,http://dbpedia.org/resource/Delphine_de_Girardin,Delphine Gay,26,44,1.0,0.0,0,102,== Notes == | === References ===
http://dbpedia.org/class/yago/WikicatFemaleWritersWhoWroteUnderMaleOrGender-neutralPseudonyms,http://dbpedia.org/resource/Delphine_de_Girardin,Delphine Gay,26,44,1.0,0.0,0,102,== Notes == | === References ===
http://dbpedia.org/class/yago/WikicatFrenchPeople,http://dbpedia.org/resource/Delphine_de_Girardin,Delphine Gay,26,44,1.0,0.0,0,102,== Notes == | === References ===
http://dbpedia.org/class/yago/WikicatFrenchWomenNovelists,http://dbpedia.org/resource/Delphine_de_Girardin,Delphine Gay,26,44,1.0,0.0,0,102,== Notes == | === References ===
http://dbpedia.org/class/yago/WikicatFrenchWomenWriters,http://dbpedia.org/resource/Delphine_de_Girardin,Delphine Gay,26,44,1.0,0.0,0,102,== Notes == | === References ===
http://dbpedia.org/class/yago/WikicatPeopleFromAachen,http://dbpedia.org/resource/Delphine_de_Girardin,Delphine Gay,26,44,1.0,0.0,0,102,== Notes == | === References ===
