types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/resource/Ultratop,Ultratop Dance Chart,1464,42,1.0,0.0,4,6,== Career == | ==== Maximus ====
http://dbpedia.org/class/yago/WikicatBelgianRecordCharts,http://dbpedia.org/resource/Ultratop,Ultratop Dance Chart,1464,42,1.0,0.0,4,6,== Career == | ==== Maximus ====
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Ultratop,Ultratop Dance Chart,1464,42,1.0,0.0,4,6,== Career == | ==== Maximus ====
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Ultratop,Ultratop Dance Chart,1464,42,1.0,0.0,4,6,== Career == | ==== Maximus ====
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Ultratop,Ultratop Dance Chart,1464,42,1.0,0.0,4,6,== Career == | ==== Maximus ====
http://dbpedia.org/class/yago/WikicatRecordCharts,http://dbpedia.org/resource/Ultratop,Ultratop Dance Chart,1464,42,1.0,0.0,4,6,== Career == | ==== Maximus ====
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Ultratop,Ultratop Dance Chart,1464,42,1.0,0.0,4,6,== Career == | ==== Maximus ====
http://dbpedia.org/class/yago/Chart106999802,http://dbpedia.org/resource/Ultratop,Ultratop Dance Chart,1464,42,1.0,0.0,4,6,== Career == | ==== Maximus ====
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Ultratop,Ultratop Dance Chart,1464,42,1.0,0.0,4,6,== Career == | ==== Maximus ====
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Ultratop,Ultratop Dance Chart,1464,42,1.0,0.0,4,6,== Career == | ==== Maximus ====
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/Ultratop,Ultratop Dance Chart,1464,42,1.0,0.0,4,6,== Career == | ==== Maximus ====
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Ultratop,Ultratop Dance Chart,1464,42,1.0,0.0,4,6,== Career == | ==== Maximus ====
http://dbpedia.org/class/yago/VisualCommunication106873252,http://dbpedia.org/resource/Ultratop,Ultratop Dance Chart,1464,42,1.0,0.0,4,6,== Career == | ==== Maximus ====
http://dbpedia.org/class/yago/WikicatOrganisationsBasedInBelgium,http://dbpedia.org/resource/Ultratop,Ultratop Dance Chart,1464,42,1.0,0.0,4,6,== Career == | ==== Maximus ====
