types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatAnimalsDescribedIn1758,http://dbpedia.org/resource/Ide_(fish),Orfe,75,45,0.9870036546150588,0.0,5,8,== Music career == | === 1980s ===
http://dbpedia.org/ontology/Fish,http://dbpedia.org/resource/Ide_(fish),Orfe,75,45,0.9870036546150588,0.0,5,8,== Music career == | === 1980s ===
http://umbel.org/umbel/rc/Animal,http://dbpedia.org/resource/Ide_(fish),Orfe,75,45,0.9870036546150588,0.0,5,8,== Music career == | === 1980s ===
http://umbel.org/umbel/rc/BiologicalLivingObject,http://dbpedia.org/resource/Ide_(fish),Orfe,75,45,0.9870036546150588,0.0,5,8,== Music career == | === 1980s ===
http://umbel.org/umbel/rc/EukaryoticCell,http://dbpedia.org/resource/Ide_(fish),Orfe,75,45,0.9870036546150588,0.0,5,8,== Music career == | === 1980s ===
http://umbel.org/umbel/rc/Fish,http://dbpedia.org/resource/Ide_(fish),Orfe,75,45,0.9870036546150588,0.0,5,8,== Music career == | === 1980s ===
http://dbpedia.org/class/yago/Animal100015388,http://dbpedia.org/resource/Ide_(fish),Orfe,75,45,0.9870036546150588,0.0,5,8,== Music career == | === 1980s ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Ide_(fish),Orfe,75,45,0.9870036546150588,0.0,5,8,== Music career == | === 1980s ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Ide_(fish),Orfe,75,45,0.9870036546150588,0.0,5,8,== Music career == | === 1980s ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Ide_(fish),Orfe,75,45,0.9870036546150588,0.0,5,8,== Music career == | === 1980s ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Ide_(fish),Orfe,75,45,0.9870036546150588,0.0,5,8,== Music career == | === 1980s ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Ide_(fish),Orfe,75,45,0.9870036546150588,0.0,5,8,== Music career == | === 1980s ===
