types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Child_pornography,child pornographer,2323,90,1.0,0.0,1,54,== Royal powers == | === Constitutional powers ===
http://dbpedia.org/ontology/Film,http://dbpedia.org/resource/Child_pornography,child pornographer,2323,90,1.0,0.0,1,54,== Royal powers == | === Constitutional powers ===
http://dbpedia.org/ontology/PersonFunction,http://dbpedia.org/resource/Child_pornography,child pornographer,2323,90,1.0,0.0,1,54,== Royal powers == | === Constitutional powers ===
