types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/The_McCarricks,The McCarricks,3,62,0.999999999626226,0.0,0,9,== Career == | === 1995–present ===
http://dbpedia.org/class/yago/WikicatBritishMusicalDuos,http://dbpedia.org/resource/The_McCarricks,The McCarricks,3,62,0.999999999626226,0.0,0,9,== Career == | === 1995–present ===
http://dbpedia.org/class/yago/WikicatMarriedCouples,http://dbpedia.org/resource/The_McCarricks,The McCarricks,3,62,0.999999999626226,0.0,0,9,== Career == | === 1995–present ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/The_McCarricks,The McCarricks,3,62,0.999999999626226,0.0,0,9,== Career == | === 1995–present ===
http://dbpedia.org/class/yago/Couple113743605,http://dbpedia.org/resource/The_McCarricks,The McCarricks,3,62,0.999999999626226,0.0,0,9,== Career == | === 1995–present ===
http://dbpedia.org/class/yago/DefiniteQuantity113576101,http://dbpedia.org/resource/The_McCarricks,The McCarricks,3,62,0.999999999626226,0.0,0,9,== Career == | === 1995–present ===
http://dbpedia.org/class/yago/Digit113741022,http://dbpedia.org/resource/The_McCarricks,The McCarricks,3,62,0.999999999626226,0.0,0,9,== Career == | === 1995–present ===
http://dbpedia.org/class/yago/Family107970406,http://dbpedia.org/resource/The_McCarricks,The McCarricks,3,62,0.999999999626226,0.0,0,9,== Career == | === 1995–present ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/The_McCarricks,The McCarricks,3,62,0.999999999626226,0.0,0,9,== Career == | === 1995–present ===
http://dbpedia.org/class/yago/Integer113728499,http://dbpedia.org/resource/The_McCarricks,The McCarricks,3,62,0.999999999626226,0.0,0,9,== Career == | === 1995–present ===
http://dbpedia.org/class/yago/Kin107969695,http://dbpedia.org/resource/The_McCarricks,The McCarricks,3,62,0.999999999626226,0.0,0,9,== Career == | === 1995–present ===
http://dbpedia.org/class/yago/Marriage107989373,http://dbpedia.org/resource/The_McCarricks,The McCarricks,3,62,0.999999999626226,0.0,0,9,== Career == | === 1995–present ===
http://dbpedia.org/class/yago/Measure100033615,http://dbpedia.org/resource/The_McCarricks,The McCarricks,3,62,0.999999999626226,0.0,0,9,== Career == | === 1995–present ===
http://dbpedia.org/class/yago/Number113582013,http://dbpedia.org/resource/The_McCarricks,The McCarricks,3,62,0.999999999626226,0.0,0,9,== Career == | === 1995–present ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/The_McCarricks,The McCarricks,3,62,0.999999999626226,0.0,0,9,== Career == | === 1995–present ===
http://dbpedia.org/class/yago/Two113743269,http://dbpedia.org/resource/The_McCarricks,The McCarricks,3,62,0.999999999626226,0.0,0,9,== Career == | === 1995–present ===
