types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatPopBallads,http://dbpedia.org/resource/Sacred_Emotion,Sacred Emotion,7,212,1.0,0.0,4,9,== Music career == | === Comeback: 1989–1990 ===
http://dbpedia.org/ontology/MusicalWork,http://dbpedia.org/resource/Sacred_Emotion,Sacred Emotion,7,212,1.0,0.0,4,9,== Music career == | === Comeback: 1989–1990 ===
http://dbpedia.org/class/yago/WikicatDonnyOsmondSongs,http://dbpedia.org/resource/Sacred_Emotion,Sacred Emotion,7,212,1.0,0.0,4,9,== Music career == | === Comeback: 1989–1990 ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Sacred_Emotion,Sacred Emotion,7,212,1.0,0.0,4,9,== Music career == | === Comeback: 1989–1990 ===
http://dbpedia.org/class/yago/AuditoryCommunication107109019,http://dbpedia.org/resource/Sacred_Emotion,Sacred Emotion,7,212,1.0,0.0,4,9,== Music career == | === Comeback: 1989–1990 ===
http://dbpedia.org/class/yago/Ballad107049713,http://dbpedia.org/resource/Sacred_Emotion,Sacred Emotion,7,212,1.0,0.0,4,9,== Music career == | === Comeback: 1989–1990 ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Sacred_Emotion,Sacred Emotion,7,212,1.0,0.0,4,9,== Music career == | === Comeback: 1989–1990 ===
http://dbpedia.org/class/yago/Music107020895,http://dbpedia.org/resource/Sacred_Emotion,Sacred Emotion,7,212,1.0,0.0,4,9,== Music career == | === Comeback: 1989–1990 ===
http://dbpedia.org/class/yago/MusicalComposition107037465,http://dbpedia.org/resource/Sacred_Emotion,Sacred Emotion,7,212,1.0,0.0,4,9,== Music career == | === Comeback: 1989–1990 ===
http://dbpedia.org/class/yago/Song107048000,http://dbpedia.org/resource/Sacred_Emotion,Sacred Emotion,7,212,1.0,0.0,4,9,== Music career == | === Comeback: 1989–1990 ===
http://dbpedia.org/class/yago/Wikicat1989Songs,http://dbpedia.org/resource/Sacred_Emotion,Sacred Emotion,7,212,1.0,0.0,4,9,== Music career == | === Comeback: 1989–1990 ===
