types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Ya_Ho_Wha_13,Yahowha 13,16,0,1.0,0.0,0,44,== As producer == | === Music ===
http://dbpedia.org/ontology/Band,http://dbpedia.org/resource/Ya_Ho_Wha_13,Yahowha 13,16,0,1.0,0.0,0,44,== As producer == | === Music ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Ya_Ho_Wha_13,Yahowha 13,16,0,1.0,0.0,0,44,== As producer == | === Music ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Ya_Ho_Wha_13,Yahowha 13,16,0,1.0,0.0,0,44,== As producer == | === Music ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Ya_Ho_Wha_13,Yahowha 13,16,0,1.0,0.0,0,44,== As producer == | === Music ===
http://dbpedia.org/class/yago/WikicatMusicalCollectives,http://dbpedia.org/resource/Ya_Ho_Wha_13,Yahowha 13,16,0,1.0,0.0,0,44,== As producer == | === Music ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Ya_Ho_Wha_13,Yahowha 13,16,0,1.0,0.0,0,44,== As producer == | === Music ===
http://dbpedia.org/class/yago/Collective108056601,http://dbpedia.org/resource/Ya_Ho_Wha_13,Yahowha 13,16,0,1.0,0.0,0,44,== As producer == | === Music ===
http://dbpedia.org/class/yago/Enterprise108056231,http://dbpedia.org/resource/Ya_Ho_Wha_13,Yahowha 13,16,0,1.0,0.0,0,44,== As producer == | === Music ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Ya_Ho_Wha_13,Yahowha 13,16,0,1.0,0.0,0,44,== As producer == | === Music ===
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/Ya_Ho_Wha_13,Yahowha 13,16,0,1.0,0.0,0,44,== As producer == | === Music ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Ya_Ho_Wha_13,Yahowha 13,16,0,1.0,0.0,0,44,== As producer == | === Music ===
