types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/E.D.I._Mean,Edidon,74,0,0.9999999724478352,0.0,1,24,== Discography == | === Singles ===
http://xmlns.com/foaf/0.1/Person,http://dbpedia.org/resource/E.D.I._Mean,Edidon,74,0,0.9999999724478352,0.0,1,24,== Discography == | === Singles ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/E.D.I._Mean,Edidon,74,0,0.9999999724478352,0.0,1,24,== Discography == | === Singles ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/E.D.I._Mean,Edidon,74,0,0.9999999724478352,0.0,1,24,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Maker110284064,http://dbpedia.org/resource/E.D.I._Mean,Edidon,74,0,0.9999999724478352,0.0,1,24,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Manufacturer110292316,http://dbpedia.org/resource/E.D.I._Mean,Edidon,74,0,0.9999999724478352,0.0,1,24,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Musician110339966,http://dbpedia.org/resource/E.D.I._Mean,Edidon,74,0,0.9999999724478352,0.0,1,24,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Musician110340312,http://dbpedia.org/resource/E.D.I._Mean,Edidon,74,0,0.9999999724478352,0.0,1,24,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/E.D.I._Mean,Edidon,74,0,0.9999999724478352,0.0,1,24,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/E.D.I._Mean,Edidon,74,0,0.9999999724478352,0.0,1,24,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Artist109812338,http://dbpedia.org/resource/E.D.I._Mean,Edidon,74,0,0.9999999724478352,0.0,1,24,== Discography == | === Singles ===
