types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Gregory_King,Gregory King,29,26,0.9999949450873804,5.054629888069758e-06,1,7,== Biography == | === 2011: Protégé ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Gregory_King,Gregory King,29,26,0.9999949450873804,5.054629888069758e-06,1,7,== Biography == | === 2011: Protégé ===
http://dbpedia.org/class/yago/WikicatPeopleFromLichfield,http://dbpedia.org/resource/Gregory_King,Gregory King,29,26,0.9999949450873804,5.054629888069758e-06,1,7,== Biography == | === 2011: Protégé ===
http://dbpedia.org/class/yago/Worker109632518,http://dbpedia.org/resource/Gregory_King,Gregory King,29,26,0.9999949450873804,5.054629888069758e-06,1,7,== Biography == | === 2011: Protégé ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Gregory_King,Gregory King,29,26,0.9999949450873804,5.054629888069758e-06,1,7,== Biography == | === 2011: Protégé ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Gregory_King,Gregory King,29,26,0.9999949450873804,5.054629888069758e-06,1,7,== Biography == | === 2011: Protégé ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Gregory_King,Gregory King,29,26,0.9999949450873804,5.054629888069758e-06,1,7,== Biography == | === 2011: Protégé ===
http://dbpedia.org/class/yago/Economist110043643,http://dbpedia.org/resource/Gregory_King,Gregory King,29,26,0.9999949450873804,5.054629888069758e-06,1,7,== Biography == | === 2011: Protégé ===
http://dbpedia.org/class/yago/Engraver110058155,http://dbpedia.org/resource/Gregory_King,Gregory King,29,26,0.9999949450873804,5.054629888069758e-06,1,7,== Biography == | === 2011: Protégé ===
http://dbpedia.org/class/yago/Expert109617867,http://dbpedia.org/resource/Gregory_King,Gregory King,29,26,0.9999949450873804,5.054629888069758e-06,1,7,== Biography == | === 2011: Protégé ===
http://dbpedia.org/class/yago/Genealogist110123214,http://dbpedia.org/resource/Gregory_King,Gregory King,29,26,0.9999949450873804,5.054629888069758e-06,1,7,== Biography == | === 2011: Protégé ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Gregory_King,Gregory King,29,26,0.9999949450873804,5.054629888069758e-06,1,7,== Biography == | === 2011: Protégé ===
http://dbpedia.org/class/yago/Mathematician110301261,http://dbpedia.org/resource/Gregory_King,Gregory King,29,26,0.9999949450873804,5.054629888069758e-06,1,7,== Biography == | === 2011: Protégé ===
http://dbpedia.org/class/yago/MilitaryOfficer110317007,http://dbpedia.org/resource/Gregory_King,Gregory King,29,26,0.9999949450873804,5.054629888069758e-06,1,7,== Biography == | === 2011: Protégé ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Gregory_King,Gregory King,29,26,0.9999949450873804,5.054629888069758e-06,1,7,== Biography == | === 2011: Protégé ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Gregory_King,Gregory King,29,26,0.9999949450873804,5.054629888069758e-06,1,7,== Biography == | === 2011: Protégé ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Gregory_King,Gregory King,29,26,0.9999949450873804,5.054629888069758e-06,1,7,== Biography == | === 2011: Protégé ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Gregory_King,Gregory King,29,26,0.9999949450873804,5.054629888069758e-06,1,7,== Biography == | === 2011: Protégé ===
http://dbpedia.org/class/yago/Scientist110560637,http://dbpedia.org/resource/Gregory_King,Gregory King,29,26,0.9999949450873804,5.054629888069758e-06,1,7,== Biography == | === 2011: Protégé ===
http://dbpedia.org/class/yago/Serviceman110582746,http://dbpedia.org/resource/Gregory_King,Gregory King,29,26,0.9999949450873804,5.054629888069758e-06,1,7,== Biography == | === 2011: Protégé ===
http://dbpedia.org/class/yago/SkilledWorker110605985,http://dbpedia.org/resource/Gregory_King,Gregory King,29,26,0.9999949450873804,5.054629888069758e-06,1,7,== Biography == | === 2011: Protégé ===
http://dbpedia.org/class/yago/SocialScientist110619642,http://dbpedia.org/resource/Gregory_King,Gregory King,29,26,0.9999949450873804,5.054629888069758e-06,1,7,== Biography == | === 2011: Protégé ===
http://dbpedia.org/class/yago/Statistician110653238,http://dbpedia.org/resource/Gregory_King,Gregory King,29,26,0.9999949450873804,5.054629888069758e-06,1,7,== Biography == | === 2011: Protégé ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Gregory_King,Gregory King,29,26,0.9999949450873804,5.054629888069758e-06,1,7,== Biography == | === 2011: Protégé ===
http://dbpedia.org/class/yago/WikicatEnglishEconomists,http://dbpedia.org/resource/Gregory_King,Gregory King,29,26,0.9999949450873804,5.054629888069758e-06,1,7,== Biography == | === 2011: Protégé ===
http://dbpedia.org/class/yago/WikicatEnglishGenealogists,http://dbpedia.org/resource/Gregory_King,Gregory King,29,26,0.9999949450873804,5.054629888069758e-06,1,7,== Biography == | === 2011: Protégé ===
http://dbpedia.org/class/yago/WikicatEnglishOfficersOfArms,http://dbpedia.org/resource/Gregory_King,Gregory King,29,26,0.9999949450873804,5.054629888069758e-06,1,7,== Biography == | === 2011: Protégé ===
http://dbpedia.org/class/yago/WikicatEnglishPeople,http://dbpedia.org/resource/Gregory_King,Gregory King,29,26,0.9999949450873804,5.054629888069758e-06,1,7,== Biography == | === 2011: Protégé ===
http://dbpedia.org/class/yago/WikicatEnglishStatisticians,http://dbpedia.org/resource/Gregory_King,Gregory King,29,26,0.9999949450873804,5.054629888069758e-06,1,7,== Biography == | === 2011: Protégé ===
http://dbpedia.org/class/yago/WikicatEngravers,http://dbpedia.org/resource/Gregory_King,Gregory King,29,26,0.9999949450873804,5.054629888069758e-06,1,7,== Biography == | === 2011: Protégé ===
http://dbpedia.org/class/yago/WikicatGenealogists,http://dbpedia.org/resource/Gregory_King,Gregory King,29,26,0.9999949450873804,5.054629888069758e-06,1,7,== Biography == | === 2011: Protégé ===
http://dbpedia.org/class/yago/WikicatStatisticians,http://dbpedia.org/resource/Gregory_King,Gregory King,29,26,0.9999949450873804,5.054629888069758e-06,1,7,== Biography == | === 2011: Protégé ===
