types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Philip_Jensen,Philip Jensen,7,40,1.0,0.0,0,27,== Discography == | === Remixes ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Philip_Jensen,Philip Jensen,7,40,1.0,0.0,0,27,== Discography == | === Remixes ===
http://dbpedia.org/class/yago/WikicatCommonwealthGamesCompetitorsForNewZealand,http://dbpedia.org/resource/Philip_Jensen,Philip Jensen,7,40,1.0,0.0,0,27,== Discography == | === Remixes ===
http://dbpedia.org/class/yago/WikicatCommonwealthGamesSilverMedallistsForNewZealand,http://dbpedia.org/resource/Philip_Jensen,Philip Jensen,7,40,1.0,0.0,0,27,== Discography == | === Remixes ===
http://dbpedia.org/class/yago/Winner110782940,http://dbpedia.org/resource/Philip_Jensen,Philip Jensen,7,40,1.0,0.0,0,27,== Discography == | === Remixes ===
http://dbpedia.org/class/yago/Worker109632518,http://dbpedia.org/resource/Philip_Jensen,Philip Jensen,7,40,1.0,0.0,0,27,== Discography == | === Remixes ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Philip_Jensen,Philip Jensen,7,40,1.0,0.0,0,27,== Discography == | === Remixes ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Philip_Jensen,Philip Jensen,7,40,1.0,0.0,0,27,== Discography == | === Remixes ===
http://dbpedia.org/class/yago/WikicatLivingPeople,http://dbpedia.org/resource/Philip_Jensen,Philip Jensen,7,40,1.0,0.0,0,27,== Discography == | === Remixes ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Philip_Jensen,Philip Jensen,7,40,1.0,0.0,0,27,== Discography == | === Remixes ===
http://dbpedia.org/class/yago/Contestant109613191,http://dbpedia.org/resource/Philip_Jensen,Philip Jensen,7,40,1.0,0.0,0,27,== Discography == | === Remixes ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Philip_Jensen,Philip Jensen,7,40,1.0,0.0,0,27,== Discography == | === Remixes ===
http://dbpedia.org/class/yago/Medalist110305062,http://dbpedia.org/resource/Philip_Jensen,Philip Jensen,7,40,1.0,0.0,0,27,== Discography == | === Remixes ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Philip_Jensen,Philip Jensen,7,40,1.0,0.0,0,27,== Discography == | === Remixes ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Philip_Jensen,Philip Jensen,7,40,1.0,0.0,0,27,== Discography == | === Remixes ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Philip_Jensen,Philip Jensen,7,40,1.0,0.0,0,27,== Discography == | === Remixes ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Philip_Jensen,Philip Jensen,7,40,1.0,0.0,0,27,== Discography == | === Remixes ===
http://dbpedia.org/class/yago/Rival110533013,http://dbpedia.org/resource/Philip_Jensen,Philip Jensen,7,40,1.0,0.0,0,27,== Discography == | === Remixes ===
http://dbpedia.org/class/yago/Throwster110709745,http://dbpedia.org/resource/Philip_Jensen,Philip Jensen,7,40,1.0,0.0,0,27,== Discography == | === Remixes ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Philip_Jensen,Philip Jensen,7,40,1.0,0.0,0,27,== Discography == | === Remixes ===
http://dbpedia.org/class/yago/WikicatNewZealandHammerThrowers,http://dbpedia.org/resource/Philip_Jensen,Philip Jensen,7,40,1.0,0.0,0,27,== Discography == | === Remixes ===
