types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/Idea105833840,http://dbpedia.org/resource/Action_game,action game,2576,146,0.9999891765260968,1.0823591048152849e-05,6,5,== Life and work == | === Career ===
http://dbpedia.org/class/yago/Kind105839024,http://dbpedia.org/resource/Action_game,action game,2576,146,0.9999891765260968,1.0823591048152849e-05,6,5,== Life and work == | === Career ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Action_game,action game,2576,146,0.9999891765260968,1.0823591048152849e-05,6,5,== Life and work == | === Career ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Action_game,action game,2576,146,0.9999891765260968,1.0823591048152849e-05,6,5,== Life and work == | === Career ===
http://dbpedia.org/class/yago/Activity100407535,http://dbpedia.org/resource/Action_game,action game,2576,146,0.9999891765260968,1.0823591048152849e-05,6,5,== Life and work == | === Career ===
http://dbpedia.org/class/yago/Category105838765,http://dbpedia.org/resource/Action_game,action game,2576,146,0.9999891765260968,1.0823591048152849e-05,6,5,== Life and work == | === Career ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Action_game,action game,2576,146,0.9999891765260968,1.0823591048152849e-05,6,5,== Life and work == | === Career ===
http://dbpedia.org/class/yago/ComputerGame100458890,http://dbpedia.org/resource/Action_game,action game,2576,146,0.9999891765260968,1.0823591048152849e-05,6,5,== Life and work == | === Career ===
http://dbpedia.org/class/yago/Concept105835747,http://dbpedia.org/resource/Action_game,action game,2576,146,0.9999891765260968,1.0823591048152849e-05,6,5,== Life and work == | === Career ===
http://dbpedia.org/class/yago/Content105809192,http://dbpedia.org/resource/Action_game,action game,2576,146,0.9999891765260968,1.0823591048152849e-05,6,5,== Life and work == | === Career ===
http://dbpedia.org/class/yago/Diversion100426928,http://dbpedia.org/resource/Action_game,action game,2576,146,0.9999891765260968,1.0823591048152849e-05,6,5,== Life and work == | === Career ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Action_game,action game,2576,146,0.9999891765260968,1.0823591048152849e-05,6,5,== Life and work == | === Career ===
http://dbpedia.org/class/yago/Game100430606,http://dbpedia.org/resource/Action_game,action game,2576,146,0.9999891765260968,1.0823591048152849e-05,6,5,== Life and work == | === Career ===
http://dbpedia.org/class/yago/Genre105845332,http://dbpedia.org/resource/Action_game,action game,2576,146,0.9999891765260968,1.0823591048152849e-05,6,5,== Life and work == | === Career ===
http://dbpedia.org/ontology/MusicGenre,http://dbpedia.org/resource/Action_game,action game,2576,146,0.9999891765260968,1.0823591048152849e-05,6,5,== Life and work == | === Career ===
http://dbpedia.org/class/yago/WikicatActionVideoGames,http://dbpedia.org/resource/Action_game,action game,2576,146,0.9999891765260968,1.0823591048152849e-05,6,5,== Life and work == | === Career ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Action_game,action game,2576,146,0.9999891765260968,1.0823591048152849e-05,6,5,== Life and work == | === Career ===
http://dbpedia.org/class/yago/WikicatVideoGameGenres,http://dbpedia.org/resource/Action_game,action game,2576,146,0.9999891765260968,1.0823591048152849e-05,6,5,== Life and work == | === Career ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Action_game,action game,2576,146,0.9999891765260968,1.0823591048152849e-05,6,5,== Life and work == | === Career ===
