types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatHills,http://dbpedia.org/resource/Pingo,Pingo,130,14,0.9999998699163172,0.0,0,10,== Discography == | === As leader ===
http://dbpedia.org/ontology/HistoricPlace,http://dbpedia.org/resource/Pingo,Pingo,130,14,0.9999998699163172,0.0,0,10,== Discography == | === As leader ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Pingo,Pingo,130,14,0.9999998699163172,0.0,0,10,== Discography == | === As leader ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Pingo,Pingo,130,14,0.9999998699163172,0.0,0,10,== Discography == | === As leader ===
http://dbpedia.org/class/yago/GeologicalFormation109287968,http://dbpedia.org/resource/Pingo,Pingo,130,14,0.9999998699163172,0.0,0,10,== Discography == | === As leader ===
http://dbpedia.org/class/yago/Hill109303008,http://dbpedia.org/resource/Pingo,Pingo,130,14,0.9999998699163172,0.0,0,10,== Discography == | === As leader ===
http://dbpedia.org/class/yago/Land109334396,http://dbpedia.org/resource/Pingo,Pingo,130,14,0.9999998699163172,0.0,0,10,== Discography == | === As leader ===
http://dbpedia.org/class/yago/NaturalElevation109366317,http://dbpedia.org/resource/Pingo,Pingo,130,14,0.9999998699163172,0.0,0,10,== Discography == | === As leader ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Pingo,Pingo,130,14,0.9999998699163172,0.0,0,10,== Discography == | === As leader ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Pingo,Pingo,130,14,0.9999998699163172,0.0,0,10,== Discography == | === As leader ===
http://dbpedia.org/class/yago/WikicatPatternedGrounds,http://dbpedia.org/resource/Pingo,Pingo,130,14,0.9999998699163172,0.0,0,10,== Discography == | === As leader ===
