types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Place,http://dbpedia.org/resource/One-Mile_Telescope,one-mile,19,65,0.9999998957615104,0.0,0,22,== Other ventures == | === Horse racing ===
http://dbpedia.org/class/yago/WikicatInterferometricTelescopes,http://dbpedia.org/resource/One-Mile_Telescope,one-mile,19,65,0.9999998957615104,0.0,0,22,== Other ventures == | === Horse racing ===
http://dbpedia.org/class/yago/WikicatRadioTelescopes,http://dbpedia.org/resource/One-Mile_Telescope,one-mile,19,65,0.9999998957615104,0.0,0,22,== Other ventures == | === Horse racing ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/One-Mile_Telescope,one-mile,19,65,0.9999998957615104,0.0,0,22,== Other ventures == | === Horse racing ===
http://dbpedia.org/class/yago/AstronomicalTelescope102751295,http://dbpedia.org/resource/One-Mile_Telescope,one-mile,19,65,0.9999998957615104,0.0,0,22,== Other ventures == | === Horse racing ===
http://dbpedia.org/class/yago/Device103183080,http://dbpedia.org/resource/One-Mile_Telescope,one-mile,19,65,0.9999998957615104,0.0,0,22,== Other ventures == | === Horse racing ===
http://dbpedia.org/class/yago/Instrument103574816,http://dbpedia.org/resource/One-Mile_Telescope,one-mile,19,65,0.9999998957615104,0.0,0,22,== Other ventures == | === Horse racing ===
http://dbpedia.org/class/yago/Instrumentality103575240,http://dbpedia.org/resource/One-Mile_Telescope,one-mile,19,65,0.9999998957615104,0.0,0,22,== Other ventures == | === Horse racing ===
http://dbpedia.org/class/yago/Magnifier103709206,http://dbpedia.org/resource/One-Mile_Telescope,one-mile,19,65,0.9999998957615104,0.0,0,22,== Other ventures == | === Horse racing ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/One-Mile_Telescope,one-mile,19,65,0.9999998957615104,0.0,0,22,== Other ventures == | === Horse racing ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/One-Mile_Telescope,one-mile,19,65,0.9999998957615104,0.0,0,22,== Other ventures == | === Horse racing ===
http://dbpedia.org/class/yago/RadioTelescope104044716,http://dbpedia.org/resource/One-Mile_Telescope,one-mile,19,65,0.9999998957615104,0.0,0,22,== Other ventures == | === Horse racing ===
http://dbpedia.org/class/yago/ScientificInstrument104147495,http://dbpedia.org/resource/One-Mile_Telescope,one-mile,19,65,0.9999998957615104,0.0,0,22,== Other ventures == | === Horse racing ===
http://dbpedia.org/class/yago/Telescope104403638,http://dbpedia.org/resource/One-Mile_Telescope,one-mile,19,65,0.9999998957615104,0.0,0,22,== Other ventures == | === Horse racing ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/One-Mile_Telescope,one-mile,19,65,0.9999998957615104,0.0,0,22,== Other ventures == | === Horse racing ===
