types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Anno_Domini,B.C.,7237,99,0.7736370098819826,0.2765349481185259,39,13,== Life and career == | === 1980s ===
http://dbpedia.org/class/yago/Controversy107183151,http://dbpedia.org/resource/Anno_Domini,B.C.,7237,99,0.7736370098819826,0.2765349481185259,39,13,== Life and career == | === 1980s ===
http://dbpedia.org/class/yago/Disagreement107180787,http://dbpedia.org/resource/Anno_Domini,B.C.,7237,99,0.7736370098819826,0.2765349481185259,39,13,== Life and career == | === 1980s ===
http://dbpedia.org/class/yago/Dispute107181935,http://dbpedia.org/resource/Anno_Domini,B.C.,7237,99,0.7736370098819826,0.2765349481185259,39,13,== Life and career == | === 1980s ===
http://dbpedia.org/class/yago/Era115248564,http://dbpedia.org/resource/Anno_Domini,B.C.,7237,99,0.7736370098819826,0.2765349481185259,39,13,== Life and career == | === 1980s ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Anno_Domini,B.C.,7237,99,0.7736370098819826,0.2765349481185259,39,13,== Life and career == | === 1980s ===
http://dbpedia.org/class/yago/Evidence106643408,http://dbpedia.org/resource/Anno_Domini,B.C.,7237,99,0.7736370098819826,0.2765349481185259,39,13,== Life and career == | === 1980s ===
http://dbpedia.org/class/yago/Form106290637,http://dbpedia.org/resource/Anno_Domini,B.C.,7237,99,0.7736370098819826,0.2765349481185259,39,13,== Life and career == | === 1980s ===
http://dbpedia.org/class/yago/FundamentalQuantity113575869,http://dbpedia.org/resource/Anno_Domini,B.C.,7237,99,0.7736370098819826,0.2765349481185259,39,13,== Life and career == | === 1980s ===
http://dbpedia.org/class/yago/Indication106797169,http://dbpedia.org/resource/Anno_Domini,B.C.,7237,99,0.7736370098819826,0.2765349481185259,39,13,== Life and career == | === 1980s ===
http://dbpedia.org/class/yago/LanguageUnit106284225,http://dbpedia.org/resource/Anno_Domini,B.C.,7237,99,0.7736370098819826,0.2765349481185259,39,13,== Life and career == | === 1980s ===
http://dbpedia.org/class/yago/Measure100033615,http://dbpedia.org/resource/Anno_Domini,B.C.,7237,99,0.7736370098819826,0.2765349481185259,39,13,== Life and career == | === 1980s ===
http://dbpedia.org/class/yago/Part113809207,http://dbpedia.org/resource/Anno_Domini,B.C.,7237,99,0.7736370098819826,0.2765349481185259,39,13,== Life and career == | === 1980s ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Anno_Domini,B.C.,7237,99,0.7736370098819826,0.2765349481185259,39,13,== Life and career == | === 1980s ===
http://dbpedia.org/class/yago/Record106647206,http://dbpedia.org/resource/Anno_Domini,B.C.,7237,99,0.7736370098819826,0.2765349481185259,39,13,== Life and career == | === 1980s ===
http://dbpedia.org/class/yago/Relation100031921,http://dbpedia.org/resource/Anno_Domini,B.C.,7237,99,0.7736370098819826,0.2765349481185259,39,13,== Life and career == | === 1980s ===
http://dbpedia.org/class/yago/SpeechAct107160883,http://dbpedia.org/resource/Anno_Domini,B.C.,7237,99,0.7736370098819826,0.2765349481185259,39,13,== Life and career == | === 1980s ===
http://dbpedia.org/class/yago/Structure105726345,http://dbpedia.org/resource/Anno_Domini,B.C.,7237,99,0.7736370098819826,0.2765349481185259,39,13,== Life and career == | === 1980s ===
http://dbpedia.org/class/yago/TimePeriod115113229,http://dbpedia.org/resource/Anno_Domini,B.C.,7237,99,0.7736370098819826,0.2765349481185259,39,13,== Life and career == | === 1980s ===
http://dbpedia.org/class/yago/Timeline106504965,http://dbpedia.org/resource/Anno_Domini,B.C.,7237,99,0.7736370098819826,0.2765349481185259,39,13,== Life and career == | === 1980s ===
