types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Mondpaca_Esperantista_Movado,MEM,14,5,0.5094140338029629,0.5371668808795792,0,21,== Discography == | === Other singles ===
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/resource/Mondpaca_Esperantista_Movado,MEM,14,5,0.5094140338029629,0.5371668808795792,0,21,== Discography == | === Other singles ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Mondpaca_Esperantista_Movado,MEM,14,5,0.5094140338029629,0.5371668808795792,0,21,== Discography == | === Other singles ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Mondpaca_Esperantista_Movado,MEM,14,5,0.5094140338029629,0.5371668808795792,0,21,== Discography == | === Other singles ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Mondpaca_Esperantista_Movado,MEM,14,5,0.5094140338029629,0.5371668808795792,0,21,== Discography == | === Other singles ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Mondpaca_Esperantista_Movado,MEM,14,5,0.5094140338029629,0.5371668808795792,0,21,== Discography == | === Other singles ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Mondpaca_Esperantista_Movado,MEM,14,5,0.5094140338029629,0.5371668808795792,0,21,== Discography == | === Other singles ===
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/Mondpaca_Esperantista_Movado,MEM,14,5,0.5094140338029629,0.5371668808795792,0,21,== Discography == | === Other singles ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Mondpaca_Esperantista_Movado,MEM,14,5,0.5094140338029629,0.5371668808795792,0,21,== Discography == | === Other singles ===
http://dbpedia.org/class/yago/WikicatEsperantoOrganizations,http://dbpedia.org/resource/Mondpaca_Esperantista_Movado,MEM,14,5,0.5094140338029629,0.5371668808795792,0,21,== Discography == | === Other singles ===
http://dbpedia.org/class/yago/WikicatOrganizationsEstablishedIn1953,http://dbpedia.org/resource/Mondpaca_Esperantista_Movado,MEM,14,5,0.5094140338029629,0.5371668808795792,0,21,== Discography == | === Other singles ===
http://dbpedia.org/class/yago/WikicatPeaceOrganizations,http://dbpedia.org/resource/Mondpaca_Esperantista_Movado,MEM,14,5,0.5094140338029629,0.5371668808795792,0,21,== Discography == | === Other singles ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Charly_Lownoise_and_Mental_Theo,Mental Theo,24,31,1.0,0.0,1,85,== Discography == | === Other singles ===
http://dbpedia.org/ontology/Band,http://dbpedia.org/resource/Charly_Lownoise_and_Mental_Theo,Mental Theo,24,31,1.0,0.0,1,85,== Discography == | === Other singles ===
