types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatArchitectureAwards,http://dbpedia.org/resource/World_Architecture_Festival,World Architecture Festival,139,3,1.0,0.0,1,48,== Death == | === State funeral ===
http://dbpedia.org/class/yago/WikicatArchitectureFestivals,http://dbpedia.org/resource/World_Architecture_Festival,World Architecture Festival,139,3,1.0,0.0,1,48,== Death == | === State funeral ===
http://dbpedia.org/ontology/SocietalEvent,http://dbpedia.org/resource/World_Architecture_Festival,World Architecture Festival,139,3,1.0,0.0,1,48,== Death == | === State funeral ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/World_Architecture_Festival,World Architecture Festival,139,3,1.0,0.0,1,48,== Death == | === State funeral ===
http://dbpedia.org/class/yago/WikicatRecurringEventsEstablishedIn2008,http://dbpedia.org/resource/World_Architecture_Festival,World Architecture Festival,139,3,1.0,0.0,1,48,== Death == | === State funeral ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/World_Architecture_Festival,World Architecture Festival,139,3,1.0,0.0,1,48,== Death == | === State funeral ===
http://dbpedia.org/class/yago/Award106696483,http://dbpedia.org/resource/World_Architecture_Festival,World Architecture Festival,139,3,1.0,0.0,1,48,== Death == | === State funeral ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/World_Architecture_Festival,World Architecture Festival,139,3,1.0,0.0,1,48,== Death == | === State funeral ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/World_Architecture_Festival,World Architecture Festival,139,3,1.0,0.0,1,48,== Death == | === State funeral ===
http://dbpedia.org/class/yago/Festival115162388,http://dbpedia.org/resource/World_Architecture_Festival,World Architecture Festival,139,3,1.0,0.0,1,48,== Death == | === State funeral ===
http://dbpedia.org/class/yago/FundamentalQuantity113575869,http://dbpedia.org/resource/World_Architecture_Festival,World Architecture Festival,139,3,1.0,0.0,1,48,== Death == | === State funeral ===
http://dbpedia.org/class/yago/Measure100033615,http://dbpedia.org/resource/World_Architecture_Festival,World Architecture Festival,139,3,1.0,0.0,1,48,== Death == | === State funeral ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/World_Architecture_Festival,World Architecture Festival,139,3,1.0,0.0,1,48,== Death == | === State funeral ===
http://dbpedia.org/class/yago/Signal106791372,http://dbpedia.org/resource/World_Architecture_Festival,World Architecture Festival,139,3,1.0,0.0,1,48,== Death == | === State funeral ===
http://dbpedia.org/class/yago/Symbol106806469,http://dbpedia.org/resource/World_Architecture_Festival,World Architecture Festival,139,3,1.0,0.0,1,48,== Death == | === State funeral ===
http://dbpedia.org/class/yago/TimePeriod115113229,http://dbpedia.org/resource/World_Architecture_Festival,World Architecture Festival,139,3,1.0,0.0,1,48,== Death == | === State funeral ===
