types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Work,http://dbpedia.org/resource/Carnegie_Mellon_University_Masters_in_Software_Engineering,Studio Project,4,94,0.9999118023708754,0.0,3,10,== Business career == | === Sony ===
http://dbpedia.org/class/yago/WikicatComputerScienceDepartmentsInTheUnitedStates,http://dbpedia.org/resource/Carnegie_Mellon_University_Masters_in_Software_Engineering,Studio Project,4,94,0.9999118023708754,0.0,3,10,== Business career == | === Sony ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Carnegie_Mellon_University_Masters_in_Software_Engineering,Studio Project,4,94,0.9999118023708754,0.0,3,10,== Business career == | === Sony ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Carnegie_Mellon_University_Masters_in_Software_Engineering,Studio Project,4,94,0.9999118023708754,0.0,3,10,== Business career == | === Sony ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Carnegie_Mellon_University_Masters_in_Software_Engineering,Studio Project,4,94,0.9999118023708754,0.0,3,10,== Business career == | === Sony ===
http://dbpedia.org/class/yago/WikicatSchoolsAndDepartmentsOfCarnegieMellon,http://dbpedia.org/resource/Carnegie_Mellon_University_Masters_in_Software_Engineering,Studio Project,4,94,0.9999118023708754,0.0,3,10,== Business career == | === Sony ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Carnegie_Mellon_University_Masters_in_Software_Engineering,Studio Project,4,94,0.9999118023708754,0.0,3,10,== Business career == | === Sony ===
http://dbpedia.org/class/yago/AdministrativeUnit108077292,http://dbpedia.org/resource/Carnegie_Mellon_University_Masters_in_Software_Engineering,Studio Project,4,94,0.9999118023708754,0.0,3,10,== Business career == | === Sony ===
http://dbpedia.org/class/yago/Department108114861,http://dbpedia.org/resource/Carnegie_Mellon_University_Masters_in_Software_Engineering,Studio Project,4,94,0.9999118023708754,0.0,3,10,== Business career == | === Sony ===
http://dbpedia.org/class/yago/Division108220714,http://dbpedia.org/resource/Carnegie_Mellon_University_Masters_in_Software_Engineering,Studio Project,4,94,0.9999118023708754,0.0,3,10,== Business career == | === Sony ===
http://dbpedia.org/class/yago/EducationalInstitution108276342,http://dbpedia.org/resource/Carnegie_Mellon_University_Masters_in_Software_Engineering,Studio Project,4,94,0.9999118023708754,0.0,3,10,== Business career == | === Sony ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Carnegie_Mellon_University_Masters_in_Software_Engineering,Studio Project,4,94,0.9999118023708754,0.0,3,10,== Business career == | === Sony ===
http://dbpedia.org/class/yago/Institution108053576,http://dbpedia.org/resource/Carnegie_Mellon_University_Masters_in_Software_Engineering,Studio Project,4,94,0.9999118023708754,0.0,3,10,== Business career == | === Sony ===
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/Carnegie_Mellon_University_Masters_in_Software_Engineering,Studio Project,4,94,0.9999118023708754,0.0,3,10,== Business career == | === Sony ===
http://dbpedia.org/class/yago/School108276720,http://dbpedia.org/resource/Carnegie_Mellon_University_Masters_in_Software_Engineering,Studio Project,4,94,0.9999118023708754,0.0,3,10,== Business career == | === Sony ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Carnegie_Mellon_University_Masters_in_Software_Engineering,Studio Project,4,94,0.9999118023708754,0.0,3,10,== Business career == | === Sony ===
http://dbpedia.org/class/yago/Unit108189659,http://dbpedia.org/resource/Carnegie_Mellon_University_Masters_in_Software_Engineering,Studio Project,4,94,0.9999118023708754,0.0,3,10,== Business career == | === Sony ===
