types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Friedrich_Arnold_Brockhaus,Friedrich Arnold Brockhaus,69,36,1.0,0.0,5,13,== Life == | === Early work ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Friedrich_Arnold_Brockhaus,Friedrich Arnold Brockhaus,69,36,1.0,0.0,5,13,== Life == | === Early work ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Friedrich_Arnold_Brockhaus,Friedrich Arnold Brockhaus,69,36,1.0,0.0,5,13,== Life == | === Early work ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Friedrich_Arnold_Brockhaus,Friedrich Arnold Brockhaus,69,36,1.0,0.0,5,13,== Life == | === Early work ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Friedrich_Arnold_Brockhaus,Friedrich Arnold Brockhaus,69,36,1.0,0.0,5,13,== Life == | === Early work ===
http://dbpedia.org/class/yago/Communicator109610660,http://dbpedia.org/resource/Friedrich_Arnold_Brockhaus,Friedrich Arnold Brockhaus,69,36,1.0,0.0,5,13,== Life == | === Early work ===
http://dbpedia.org/class/yago/Compiler109946957,http://dbpedia.org/resource/Friedrich_Arnold_Brockhaus,Friedrich Arnold Brockhaus,69,36,1.0,0.0,5,13,== Life == | === Early work ===
http://dbpedia.org/class/yago/Editor110044879,http://dbpedia.org/resource/Friedrich_Arnold_Brockhaus,Friedrich Arnold Brockhaus,69,36,1.0,0.0,5,13,== Life == | === Early work ===
http://dbpedia.org/class/yago/Encyclopedist110055566,http://dbpedia.org/resource/Friedrich_Arnold_Brockhaus,Friedrich Arnold Brockhaus,69,36,1.0,0.0,5,13,== Life == | === Early work ===
http://dbpedia.org/class/yago/WikicatGermanEditors,http://dbpedia.org/resource/Friedrich_Arnold_Brockhaus,Friedrich Arnold Brockhaus,69,36,1.0,0.0,5,13,== Life == | === Early work ===
http://dbpedia.org/class/yago/WikicatGermanEncyclopedists,http://dbpedia.org/resource/Friedrich_Arnold_Brockhaus,Friedrich Arnold Brockhaus,69,36,1.0,0.0,5,13,== Life == | === Early work ===
http://dbpedia.org/class/yago/WikicatGermanPrinters,http://dbpedia.org/resource/Friedrich_Arnold_Brockhaus,Friedrich Arnold Brockhaus,69,36,1.0,0.0,5,13,== Life == | === Early work ===
http://dbpedia.org/class/yago/WikicatPeopleFromDortmund,http://dbpedia.org/resource/Friedrich_Arnold_Brockhaus,Friedrich Arnold Brockhaus,69,36,1.0,0.0,5,13,== Life == | === Early work ===
http://dbpedia.org/class/yago/SkilledWorker110605985,http://dbpedia.org/resource/Friedrich_Arnold_Brockhaus,Friedrich Arnold Brockhaus,69,36,1.0,0.0,5,13,== Life == | === Early work ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Friedrich_Arnold_Brockhaus,Friedrich Arnold Brockhaus,69,36,1.0,0.0,5,13,== Life == | === Early work ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Friedrich_Arnold_Brockhaus,Friedrich Arnold Brockhaus,69,36,1.0,0.0,5,13,== Life == | === Early work ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Friedrich_Arnold_Brockhaus,Friedrich Arnold Brockhaus,69,36,1.0,0.0,5,13,== Life == | === Early work ===
http://dbpedia.org/class/yago/Printer110475297,http://dbpedia.org/resource/Friedrich_Arnold_Brockhaus,Friedrich Arnold Brockhaus,69,36,1.0,0.0,5,13,== Life == | === Early work ===
http://dbpedia.org/ontology/Agent,http://dbpedia.org/resource/Friedrich_Arnold_Brockhaus,Friedrich Arnold Brockhaus,69,36,1.0,0.0,5,13,== Life == | === Early work ===
http://dbpedia.org/class/yago/WikicatEthnicGermanPeople,http://dbpedia.org/resource/Friedrich_Arnold_Brockhaus,Friedrich Arnold Brockhaus,69,36,1.0,0.0,5,13,== Life == | === Early work ===
http://dbpedia.org/class/yago/Worker109632518,http://dbpedia.org/resource/Friedrich_Arnold_Brockhaus,Friedrich Arnold Brockhaus,69,36,1.0,0.0,5,13,== Life == | === Early work ===
http://dbpedia.org/class/yago/Writer110794014,http://dbpedia.org/resource/Friedrich_Arnold_Brockhaus,Friedrich Arnold Brockhaus,69,36,1.0,0.0,5,13,== Life == | === Early work ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Friedrich_Arnold_Brockhaus,Friedrich Arnold Brockhaus,69,36,1.0,0.0,5,13,== Life == | === Early work ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Friedrich_Arnold_Brockhaus,Friedrich Arnold Brockhaus,69,36,1.0,0.0,5,13,== Life == | === Early work ===
