types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Trap_House,Trap House,19,33,1.0,0.0,2,0,
http://dbpedia.org/class/yago/WikicatAlbumsProducedByShawtyRedd,http://dbpedia.org/resource/Trap_House,Trap House,19,33,1.0,0.0,2,0,
http://dbpedia.org/class/yago/WikicatAlbumsProducedByZaytoven,http://dbpedia.org/resource/Trap_House,Trap House,19,33,1.0,0.0,2,0,
http://dbpedia.org/class/yago/WikicatGucciManeAlbums,http://dbpedia.org/resource/Trap_House,Trap House,19,33,1.0,0.0,2,0,
http://dbpedia.org/ontology/Album,http://dbpedia.org/resource/Trap_House,Trap House,19,33,1.0,0.0,2,0,
http://dbpedia.org/class/yago/Album106591815,http://dbpedia.org/resource/Trap_House,Trap House,19,33,1.0,0.0,2,0,
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Trap_House,Trap House,19,33,1.0,0.0,2,0,
http://dbpedia.org/class/yago/Instrumentality103575240,http://dbpedia.org/resource/Trap_House,Trap House,19,33,1.0,0.0,2,0,
http://dbpedia.org/class/yago/Medium106254669,http://dbpedia.org/resource/Trap_House,Trap House,19,33,1.0,0.0,2,0,
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Trap_House,Trap House,19,33,1.0,0.0,2,0,
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Trap_House,Trap House,19,33,1.0,0.0,2,0,
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Trap_House,Trap House,19,33,1.0,0.0,2,0,
http://dbpedia.org/class/yago/Wikicat2005DebutAlbums,http://dbpedia.org/resource/Trap_House,Trap House,19,33,1.0,0.0,2,0,
http://dbpedia.org/class/yago/WikicatAwardsEstablishedIn1993,http://dbpedia.org/resource/HOPE_Scholarship,HOPE Scholarship,41,69,1.0,0.0,9,6,== Early life == | === Time as a drug dealer: 1993–2001 ===
http://dbpedia.org/ontology/Agent,http://dbpedia.org/resource/HOPE_Scholarship,HOPE Scholarship,41,69,1.0,0.0,9,6,== Early life == | === Time as a drug dealer: 1993–2001 ===
http://dbpedia.org/class/yago/WikicatScholarshipsInTheUnitedStates,http://dbpedia.org/resource/HOPE_Scholarship,HOPE Scholarship,41,69,1.0,0.0,9,6,== Early life == | === Time as a drug dealer: 1993–2001 ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/HOPE_Scholarship,HOPE Scholarship,41,69,1.0,0.0,9,6,== Early life == | === Time as a drug dealer: 1993–2001 ===
http://dbpedia.org/class/yago/Acquisition113253255,http://dbpedia.org/resource/HOPE_Scholarship,HOPE Scholarship,41,69,1.0,0.0,9,6,== Early life == | === Time as a drug dealer: 1993–2001 ===
http://dbpedia.org/class/yago/Aid113265904,http://dbpedia.org/resource/HOPE_Scholarship,HOPE Scholarship,41,69,1.0,0.0,9,6,== Early life == | === Time as a drug dealer: 1993–2001 ===
http://dbpedia.org/class/yago/Award106696483,http://dbpedia.org/resource/HOPE_Scholarship,HOPE Scholarship,41,69,1.0,0.0,9,6,== Early life == | === Time as a drug dealer: 1993–2001 ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/HOPE_Scholarship,HOPE Scholarship,41,69,1.0,0.0,9,6,== Early life == | === Time as a drug dealer: 1993–2001 ===
http://dbpedia.org/class/yago/Gift113265011,http://dbpedia.org/resource/HOPE_Scholarship,HOPE Scholarship,41,69,1.0,0.0,9,6,== Early life == | === Time as a drug dealer: 1993–2001 ===
http://dbpedia.org/class/yago/Possession100032613,http://dbpedia.org/resource/HOPE_Scholarship,HOPE Scholarship,41,69,1.0,0.0,9,6,== Early life == | === Time as a drug dealer: 1993–2001 ===
http://dbpedia.org/class/yago/Prize113268146,http://dbpedia.org/resource/HOPE_Scholarship,HOPE Scholarship,41,69,1.0,0.0,9,6,== Early life == | === Time as a drug dealer: 1993–2001 ===
http://dbpedia.org/class/yago/Relation100031921,http://dbpedia.org/resource/HOPE_Scholarship,HOPE Scholarship,41,69,1.0,0.0,9,6,== Early life == | === Time as a drug dealer: 1993–2001 ===
http://dbpedia.org/class/yago/Scholarship113266170,http://dbpedia.org/resource/HOPE_Scholarship,HOPE Scholarship,41,69,1.0,0.0,9,6,== Early life == | === Time as a drug dealer: 1993–2001 ===
http://dbpedia.org/class/yago/Signal106791372,http://dbpedia.org/resource/HOPE_Scholarship,HOPE Scholarship,41,69,1.0,0.0,9,6,== Early life == | === Time as a drug dealer: 1993–2001 ===
http://dbpedia.org/class/yago/Symbol106806469,http://dbpedia.org/resource/HOPE_Scholarship,HOPE Scholarship,41,69,1.0,0.0,9,6,== Early life == | === Time as a drug dealer: 1993–2001 ===
http://dbpedia.org/class/yago/TransferredProperty113252973,http://dbpedia.org/resource/HOPE_Scholarship,HOPE Scholarship,41,69,1.0,0.0,9,6,== Early life == | === Time as a drug dealer: 1993–2001 ===
