types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Princeton_Triangle_Club,Triangle Club,52,87,1.0,0.0,8,13,== Subsequent writing career == | === Musical theatre ===
http://dbpedia.org/ontology/Group,http://dbpedia.org/resource/Princeton_Triangle_Club,Triangle Club,52,87,1.0,0.0,8,13,== Subsequent writing career == | === Musical theatre ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Princeton_Triangle_Club,Triangle Club,52,87,1.0,0.0,8,13,== Subsequent writing career == | === Musical theatre ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Princeton_Triangle_Club,Triangle Club,52,87,1.0,0.0,8,13,== Subsequent writing career == | === Musical theatre ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Princeton_Triangle_Club,Triangle Club,52,87,1.0,0.0,8,13,== Subsequent writing career == | === Musical theatre ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Princeton_Triangle_Club,Triangle Club,52,87,1.0,0.0,8,13,== Subsequent writing career == | === Musical theatre ===
http://dbpedia.org/class/yago/Company108058098,http://dbpedia.org/resource/Princeton_Triangle_Club,Triangle Club,52,87,1.0,0.0,8,13,== Subsequent writing career == | === Musical theatre ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Princeton_Triangle_Club,Triangle Club,52,87,1.0,0.0,8,13,== Subsequent writing career == | === Musical theatre ===
http://dbpedia.org/class/yago/Institution108053576,http://dbpedia.org/resource/Princeton_Triangle_Club,Triangle Club,52,87,1.0,0.0,8,13,== Subsequent writing career == | === Musical theatre ===
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/Princeton_Triangle_Club,Triangle Club,52,87,1.0,0.0,8,13,== Subsequent writing career == | === Musical theatre ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Princeton_Triangle_Club,Triangle Club,52,87,1.0,0.0,8,13,== Subsequent writing career == | === Musical theatre ===
http://dbpedia.org/class/yago/WikicatTheatreCompaniesInNewJersey,http://dbpedia.org/resource/Princeton_Triangle_Club,Triangle Club,52,87,1.0,0.0,8,13,== Subsequent writing career == | === Musical theatre ===
