types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Language,http://dbpedia.org/resource/Spurious_languages,Oso,572,70,0.999985779615074,1.4209825382479095e-05,0,61,== Discography == | === Guest appearances ===
http://dbpedia.org/class/yago/WikicatAetaLanguages,http://dbpedia.org/resource/Spurious_languages,Oso,572,70,0.999985779615074,1.4209825382479095e-05,0,61,== Discography == | === Guest appearances ===
http://dbpedia.org/class/yago/WikicatBantoidLanguages,http://dbpedia.org/resource/Spurious_languages,Oso,572,70,0.999985779615074,1.4209825382479095e-05,0,61,== Discography == | === Guest appearances ===
http://dbpedia.org/class/yago/WikicatIndigenousLanguagesOfTheAmericas,http://dbpedia.org/resource/Spurious_languages,Oso,572,70,0.999985779615074,1.4209825382479095e-05,0,61,== Discography == | === Guest appearances ===
http://dbpedia.org/class/yago/WikicatJewishLanguages,http://dbpedia.org/resource/Spurious_languages,Oso,572,70,0.999985779615074,1.4209825382479095e-05,0,61,== Discography == | === Guest appearances ===
http://dbpedia.org/class/yago/WikicatBerberLanguages,http://dbpedia.org/resource/Spurious_languages,Oso,572,70,0.999985779615074,1.4209825382479095e-05,0,61,== Discography == | === Guest appearances ===
http://dbpedia.org/class/yago/WikicatCentralPhilippineLanguages,http://dbpedia.org/resource/Spurious_languages,Oso,572,70,0.999985779615074,1.4209825382479095e-05,0,61,== Discography == | === Guest appearances ===
http://dbpedia.org/class/yago/WikicatChapacuranLanguages,http://dbpedia.org/resource/Spurious_languages,Oso,572,70,0.999985779615074,1.4209825382479095e-05,0,61,== Discography == | === Guest appearances ===
http://dbpedia.org/class/yago/WikicatChocoLanguages,http://dbpedia.org/resource/Spurious_languages,Oso,572,70,0.999985779615074,1.4209825382479095e-05,0,61,== Discography == | === Guest appearances ===
http://umbel.org/umbel/rc/Language,http://dbpedia.org/resource/Spurious_languages,Oso,572,70,0.999985779615074,1.4209825382479095e-05,0,61,== Discography == | === Guest appearances ===
http://dbpedia.org/class/yago/WikicatLanguages,http://dbpedia.org/resource/Spurious_languages,Oso,572,70,0.999985779615074,1.4209825382479095e-05,0,61,== Discography == | === Guest appearances ===
http://dbpedia.org/class/yago/WikicatLanguagesOfChile,http://dbpedia.org/resource/Spurious_languages,Oso,572,70,0.999985779615074,1.4209825382479095e-05,0,61,== Discography == | === Guest appearances ===
http://dbpedia.org/class/yago/WikicatLanguagesOfColombia,http://dbpedia.org/resource/Spurious_languages,Oso,572,70,0.999985779615074,1.4209825382479095e-05,0,61,== Discography == | === Guest appearances ===
http://dbpedia.org/class/yago/WikicatLanguagesOfIsrael,http://dbpedia.org/resource/Spurious_languages,Oso,572,70,0.999985779615074,1.4209825382479095e-05,0,61,== Discography == | === Guest appearances ===
http://dbpedia.org/class/yago/WikicatLanguagesOfMexico,http://dbpedia.org/resource/Spurious_languages,Oso,572,70,0.999985779615074,1.4209825382479095e-05,0,61,== Discography == | === Guest appearances ===
http://dbpedia.org/class/yago/WikicatLanguagesOfMorocco,http://dbpedia.org/resource/Spurious_languages,Oso,572,70,0.999985779615074,1.4209825382479095e-05,0,61,== Discography == | === Guest appearances ===
http://dbpedia.org/class/yago/WikicatMbeteLanguages,http://dbpedia.org/resource/Spurious_languages,Oso,572,70,0.999985779615074,1.4209825382479095e-05,0,61,== Discography == | === Guest appearances ===
http://dbpedia.org/class/yago/WikicatSignLanguages,http://dbpedia.org/resource/Spurious_languages,Oso,572,70,0.999985779615074,1.4209825382479095e-05,0,61,== Discography == | === Guest appearances ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Spurious_languages,Oso,572,70,0.999985779615074,1.4209825382479095e-05,0,61,== Discography == | === Guest appearances ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Spurious_languages,Oso,572,70,0.999985779615074,1.4209825382479095e-05,0,61,== Discography == | === Guest appearances ===
http://dbpedia.org/class/yago/IndigenousLanguage106903519,http://dbpedia.org/resource/Spurious_languages,Oso,572,70,0.999985779615074,1.4209825382479095e-05,0,61,== Discography == | === Guest appearances ===
http://dbpedia.org/class/yago/Language106282651,http://dbpedia.org/resource/Spurious_languages,Oso,572,70,0.999985779615074,1.4209825382479095e-05,0,61,== Discography == | === Guest appearances ===
http://dbpedia.org/class/yago/SignLanguage106875697,http://dbpedia.org/resource/Spurious_languages,Oso,572,70,0.999985779615074,1.4209825382479095e-05,0,61,== Discography == | === Guest appearances ===
http://dbpedia.org/class/yago/WikicatEndangeredAustronesianLanguages,http://dbpedia.org/resource/Spurious_languages,Oso,572,70,0.999985779615074,1.4209825382479095e-05,0,61,== Discography == | === Guest appearances ===
http://dbpedia.org/class/yago/WikicatEndangeredChapacuranLanguages,http://dbpedia.org/resource/Spurious_languages,Oso,572,70,0.999985779615074,1.4209825382479095e-05,0,61,== Discography == | === Guest appearances ===
http://dbpedia.org/class/yago/WikicatExtinctLanguages,http://dbpedia.org/resource/Spurious_languages,Oso,572,70,0.999985779615074,1.4209825382479095e-05,0,61,== Discography == | === Guest appearances ===
http://dbpedia.org/class/yago/WikicatSpuriousLanguages,http://dbpedia.org/resource/Spurious_languages,Oso,572,70,0.999985779615074,1.4209825382479095e-05,0,61,== Discography == | === Guest appearances ===
http://dbpedia.org/class/yago/WikicatUnclassifiedLanguagesOfSouthAmerica,http://dbpedia.org/resource/Spurious_languages,Oso,572,70,0.999985779615074,1.4209825382479095e-05,0,61,== Discography == | === Guest appearances ===
