types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/The_Football_Association,The Football Association,6660,74,1.0,0.0,0,6,== Band == | === England ===
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/resource/The_Football_Association,The Football Association,6660,74,1.0,0.0,0,6,== Band == | === England ===
http://dbpedia.org/ontology/SoccerClub,http://dbpedia.org/resource/The_Football_Association,The Football Association,6660,74,1.0,0.0,0,6,== Band == | === England ===
http://dbpedia.org/class/yago/WikicatClubsAndSocietiesInEngland,http://dbpedia.org/resource/The_Football_Association,The Football Association,6660,74,1.0,0.0,0,6,== Band == | === England ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/The_Football_Association,The Football Association,6660,74,1.0,0.0,0,6,== Band == | === England ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/The_Football_Association,The Football Association,6660,74,1.0,0.0,0,6,== Band == | === England ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/The_Football_Association,The Football Association,6660,74,1.0,0.0,0,6,== Band == | === England ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/The_Football_Association,The Football Association,6660,74,1.0,0.0,0,6,== Band == | === England ===
http://dbpedia.org/class/yago/Association108049401,http://dbpedia.org/resource/The_Football_Association,The Football Association,6660,74,1.0,0.0,0,6,== Band == | === England ===
http://dbpedia.org/class/yago/Club108227214,http://dbpedia.org/resource/The_Football_Association,The Football Association,6660,74,1.0,0.0,0,6,== Band == | === England ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/The_Football_Association,The Football Association,6660,74,1.0,0.0,0,6,== Band == | === England ===
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/The_Football_Association,The Football Association,6660,74,1.0,0.0,0,6,== Band == | === England ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/The_Football_Association,The Football Association,6660,74,1.0,0.0,0,6,== Band == | === England ===
http://dbpedia.org/class/yago/WikicatEnglishFootballOrganisations,http://dbpedia.org/resource/The_Football_Association,The Football Association,6660,74,1.0,0.0,0,6,== Band == | === England ===
http://dbpedia.org/class/yago/WikicatOrganizationsEstablishedIn1863,http://dbpedia.org/resource/The_Football_Association,The Football Association,6660,74,1.0,0.0,0,6,== Band == | === England ===
http://dbpedia.org/class/yago/WikicatUEFAMemberAssociations,http://dbpedia.org/resource/The_Football_Association,The Football Association,6660,74,1.0,0.0,0,6,== Band == | === England ===
