types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/I_Shall_Not_Be_Moved,We Shall Not Be Moved,42,210,1.0,0.0,3,73,== Social and political involvement == | === Tree sit-in ===
http://dbpedia.org/class/yago/WikicatAmericanFolkSongs,http://dbpedia.org/resource/I_Shall_Not_Be_Moved,We Shall Not Be Moved,42,210,1.0,0.0,3,73,== Social and political involvement == | === Tree sit-in ===
http://dbpedia.org/ontology/Song,http://dbpedia.org/resource/I_Shall_Not_Be_Moved,We Shall Not Be Moved,42,210,1.0,0.0,3,73,== Social and political involvement == | === Tree sit-in ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/I_Shall_Not_Be_Moved,We Shall Not Be Moved,42,210,1.0,0.0,3,73,== Social and political involvement == | === Tree sit-in ===
http://dbpedia.org/class/yago/AuditoryCommunication107109019,http://dbpedia.org/resource/I_Shall_Not_Be_Moved,We Shall Not Be Moved,42,210,1.0,0.0,3,73,== Social and political involvement == | === Tree sit-in ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/I_Shall_Not_Be_Moved,We Shall Not Be Moved,42,210,1.0,0.0,3,73,== Social and political involvement == | === Tree sit-in ===
http://dbpedia.org/class/yago/ExpressiveStyle107066659,http://dbpedia.org/resource/I_Shall_Not_Be_Moved,We Shall Not Be Moved,42,210,1.0,0.0,3,73,== Social and political involvement == | === Tree sit-in ===
http://dbpedia.org/class/yago/FolkMusic107060167,http://dbpedia.org/resource/I_Shall_Not_Be_Moved,We Shall Not Be Moved,42,210,1.0,0.0,3,73,== Social and political involvement == | === Tree sit-in ===
http://dbpedia.org/class/yago/FolkSong107050952,http://dbpedia.org/resource/I_Shall_Not_Be_Moved,We Shall Not Be Moved,42,210,1.0,0.0,3,73,== Social and political involvement == | === Tree sit-in ===
http://dbpedia.org/class/yago/Music107020895,http://dbpedia.org/resource/I_Shall_Not_Be_Moved,We Shall Not Be Moved,42,210,1.0,0.0,3,73,== Social and political involvement == | === Tree sit-in ===
http://dbpedia.org/class/yago/MusicGenre107071942,http://dbpedia.org/resource/I_Shall_Not_Be_Moved,We Shall Not Be Moved,42,210,1.0,0.0,3,73,== Social and political involvement == | === Tree sit-in ===
http://dbpedia.org/class/yago/MusicalComposition107037465,http://dbpedia.org/resource/I_Shall_Not_Be_Moved,We Shall Not Be Moved,42,210,1.0,0.0,3,73,== Social and political involvement == | === Tree sit-in ===
http://dbpedia.org/class/yago/PopularMusic107059255,http://dbpedia.org/resource/I_Shall_Not_Be_Moved,We Shall Not Be Moved,42,210,1.0,0.0,3,73,== Social and political involvement == | === Tree sit-in ===
http://dbpedia.org/class/yago/Song107048000,http://dbpedia.org/resource/I_Shall_Not_Be_Moved,We Shall Not Be Moved,42,210,1.0,0.0,3,73,== Social and political involvement == | === Tree sit-in ===
