types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatHunterCharactersInVideoGames,http://dbpedia.org/resource/Characters_of_Final_Fantasy_X_and_X-2,Shuyin,291,45,1.0,0.0,0,88,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/WikicatKingdomHeartsCharacters,http://dbpedia.org/resource/Characters_of_Final_Fantasy_X_and_X-2,Shuyin,291,45,1.0,0.0,0,88,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/WikicatBodyguardCharactersInVideoGames,http://dbpedia.org/resource/Characters_of_Final_Fantasy_X_and_X-2,Shuyin,291,45,1.0,0.0,0,88,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/WikicatCharactersCreatedByMotomuToriyama,http://dbpedia.org/resource/Characters_of_Final_Fantasy_X_and_X-2,Shuyin,291,45,1.0,0.0,0,88,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/WikicatCharactersDesignedByTetsuyaNomura,http://dbpedia.org/resource/Characters_of_Final_Fantasy_X_and_X-2,Shuyin,291,45,1.0,0.0,0,88,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/WikicatChildCharactersInVideoGames,http://dbpedia.org/resource/Characters_of_Final_Fantasy_X_and_X-2,Shuyin,291,45,1.0,0.0,0,88,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/WikicatVideoGameCharactersIntroducedIn2001,http://dbpedia.org/resource/Characters_of_Final_Fantasy_X_and_X-2,Shuyin,291,45,1.0,0.0,0,88,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/WikicatVideoGameCharactersWhoUseMagic,http://dbpedia.org/resource/Characters_of_Final_Fantasy_X_and_X-2,Shuyin,291,45,1.0,0.0,0,88,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/WikicatScienceFantasyVideoGameCharacters,http://dbpedia.org/resource/Characters_of_Final_Fantasy_X_and_X-2,Shuyin,291,45,1.0,0.0,0,88,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/WikicatScientistCharactersInVideoGames,http://dbpedia.org/resource/Characters_of_Final_Fantasy_X_and_X-2,Shuyin,291,45,1.0,0.0,0,88,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/Ability105616246,http://dbpedia.org/resource/Characters_of_Final_Fantasy_X_and_X-2,Shuyin,291,45,1.0,0.0,0,88,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Characters_of_Final_Fantasy_X_and_X-2,Shuyin,291,45,1.0,0.0,0,88,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/Animal100015388,http://dbpedia.org/resource/Characters_of_Final_Fantasy_X_and_X-2,Shuyin,291,45,1.0,0.0,0,88,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/Belief105941423,http://dbpedia.org/resource/Characters_of_Final_Fantasy_X_and_X-2,Shuyin,291,45,1.0,0.0,0,88,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Characters_of_Final_Fantasy_X_and_X-2,Shuyin,291,45,1.0,0.0,0,88,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/Content105809192,http://dbpedia.org/resource/Characters_of_Final_Fantasy_X_and_X-2,Shuyin,291,45,1.0,0.0,0,88,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/Creativity105624700,http://dbpedia.org/resource/Characters_of_Final_Fantasy_X_and_X-2,Shuyin,291,45,1.0,0.0,0,88,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/Fairy109540430,http://dbpedia.org/resource/Characters_of_Final_Fantasy_X_and_X-2,Shuyin,291,45,1.0,0.0,0,88,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/FictionalCharacter109587565,http://dbpedia.org/resource/Characters_of_Final_Fantasy_X_and_X-2,Shuyin,291,45,1.0,0.0,0,88,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/ImaginaryBeing109483738,http://dbpedia.org/resource/Characters_of_Final_Fantasy_X_and_X-2,Shuyin,291,45,1.0,0.0,0,88,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/Imagination105625465,http://dbpedia.org/resource/Characters_of_Final_Fantasy_X_and_X-2,Shuyin,291,45,1.0,0.0,0,88,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Characters_of_Final_Fantasy_X_and_X-2,Shuyin,291,45,1.0,0.0,0,88,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/MarineAnimal101319467,http://dbpedia.org/resource/Characters_of_Final_Fantasy_X_and_X-2,Shuyin,291,45,1.0,0.0,0,88,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Characters_of_Final_Fantasy_X_and_X-2,Shuyin,291,45,1.0,0.0,0,88,== Filmography == | === Video games ===
