types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Surtr,Surt,125,23,0.9999863817692076,1.3617641186174085e-05,0,94,== Filmography == | === Television animation ===
http://dbpedia.org/class/yago/Belief105941423,http://dbpedia.org/resource/Surtr,Surt,125,23,0.9999863817692076,1.3617641186174085e-05,0,94,== Filmography == | === Television animation ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Surtr,Surt,125,23,0.9999863817692076,1.3617641186174085e-05,0,94,== Filmography == | === Television animation ===
http://dbpedia.org/class/yago/Content105809192,http://dbpedia.org/resource/Surtr,Surt,125,23,0.9999863817692076,1.3617641186174085e-05,0,94,== Filmography == | === Television animation ===
http://dbpedia.org/class/yago/Deity109505418,http://dbpedia.org/resource/Surtr,Surt,125,23,0.9999863817692076,1.3617641186174085e-05,0,94,== Filmography == | === Television animation ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Surtr,Surt,125,23,0.9999863817692076,1.3617641186174085e-05,0,94,== Filmography == | === Television animation ===
http://dbpedia.org/class/yago/SpiritualBeing109504135,http://dbpedia.org/resource/Surtr,Surt,125,23,0.9999863817692076,1.3617641186174085e-05,0,94,== Filmography == | === Television animation ===
http://dbpedia.org/class/yago/WikicatFireDeities,http://dbpedia.org/resource/Surtr,Surt,125,23,0.9999863817692076,1.3617641186174085e-05,0,94,== Filmography == | === Television animation ===
http://dbpedia.org/ontology/Country,http://dbpedia.org/resource/Muspelheim,Muspelheim,96,28,0.999999999948983,0.0,0,94,== Filmography == | === Television animation ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Muspelheim,Muspelheim,96,28,0.999999999948983,0.0,0,94,== Filmography == | === Television animation ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Muspelheim,Muspelheim,96,28,0.999999999948983,0.0,0,94,== Filmography == | === Television animation ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Muspelheim,Muspelheim,96,28,0.999999999948983,0.0,0,94,== Filmography == | === Television animation ===
http://dbpedia.org/class/yago/WikicatLocationsInNorseMythology,http://dbpedia.org/resource/Muspelheim,Muspelheim,96,28,0.999999999948983,0.0,0,94,== Filmography == | === Television animation ===
http://dbpedia.org/class/yago/Location100027167,http://dbpedia.org/resource/Muspelheim,Muspelheim,96,28,0.999999999948983,0.0,0,94,== Filmography == | === Television animation ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Muspelheim,Muspelheim,96,28,0.999999999948983,0.0,0,94,== Filmography == | === Television animation ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Muspelheim,Muspelheim,96,28,0.999999999948983,0.0,0,94,== Filmography == | === Television animation ===
http://dbpedia.org/class/yago/WikicatLegendaryCreatures,http://dbpedia.org/resource/Barghest,Barghest,49,40,0.9999999822167212,0.0,0,176,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/Ability105616246,http://dbpedia.org/resource/Barghest,Barghest,49,40,0.9999999822167212,0.0,0,176,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Barghest,Barghest,49,40,0.9999999822167212,0.0,0,176,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/Apparition105897553,http://dbpedia.org/resource/Barghest,Barghest,49,40,0.9999999822167212,0.0,0,176,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/Appearance105939432,http://dbpedia.org/resource/Barghest,Barghest,49,40,0.9999999822167212,0.0,0,176,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/Attribute100024264,http://dbpedia.org/resource/Barghest,Barghest,49,40,0.9999999822167212,0.0,0,176,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/Being113954253,http://dbpedia.org/resource/Barghest,Barghest,49,40,0.9999999822167212,0.0,0,176,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Barghest,Barghest,49,40,0.9999999822167212,0.0,0,176,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/Content105809192,http://dbpedia.org/resource/Barghest,Barghest,49,40,0.9999999822167212,0.0,0,176,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/Creativity105624700,http://dbpedia.org/resource/Barghest,Barghest,49,40,0.9999999822167212,0.0,0,176,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/Ghost105898171,http://dbpedia.org/resource/Barghest,Barghest,49,40,0.9999999822167212,0.0,0,176,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/Illusion105939636,http://dbpedia.org/resource/Barghest,Barghest,49,40,0.9999999822167212,0.0,0,176,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/ImaginaryBeing109483738,http://dbpedia.org/resource/Barghest,Barghest,49,40,0.9999999822167212,0.0,0,176,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/Imagination105625465,http://dbpedia.org/resource/Barghest,Barghest,49,40,0.9999999822167212,0.0,0,176,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/LegendaryCreature109487022,http://dbpedia.org/resource/Barghest,Barghest,49,40,0.9999999822167212,0.0,0,176,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/Monster109491966,http://dbpedia.org/resource/Barghest,Barghest,49,40,0.9999999822167212,0.0,0,176,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/MythicalBeing109484664,http://dbpedia.org/resource/Barghest,Barghest,49,40,0.9999999822167212,0.0,0,176,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/MythicalMonster109492123,http://dbpedia.org/resource/Barghest,Barghest,49,40,0.9999999822167212,0.0,0,176,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Barghest,Barghest,49,40,0.9999999822167212,0.0,0,176,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/Representation105926676,http://dbpedia.org/resource/Barghest,Barghest,49,40,0.9999999822167212,0.0,0,176,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/State100024720,http://dbpedia.org/resource/Barghest,Barghest,49,40,0.9999999822167212,0.0,0,176,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/WikicatEnglishGhosts,http://dbpedia.org/resource/Barghest,Barghest,49,40,0.9999999822167212,0.0,0,176,== Filmography == | === Video games ===
