types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Company,http://dbpedia.org/resource/Plain_dress,plain dress,162,112,0.9999999999955946,0.0,6,7,== Biography == | === Career ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/The_Straits_Times,The Straits Times,1677,147,1.0,0.0,13,7,== Biography == | === Career ===
http://dbpedia.org/ontology/Newspaper,http://dbpedia.org/resource/The_Straits_Times,The Straits Times,1677,147,1.0,0.0,13,7,== Biography == | === Career ===
http://dbpedia.org/class/yago/Work104599396,http://dbpedia.org/resource/The_Straits_Times,The Straits Times,1677,147,1.0,0.0,13,7,== Biography == | === Career ===
http://dbpedia.org/class/yago/WikicatPublicationsEstablishedIn1845,http://dbpedia.org/resource/The_Straits_Times,The Straits Times,1677,147,1.0,0.0,13,7,== Biography == | === Career ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/The_Straits_Times,The Straits Times,1677,147,1.0,0.0,13,7,== Biography == | === Career ===
http://dbpedia.org/class/yago/Creation103129123,http://dbpedia.org/resource/The_Straits_Times,The Straits Times,1677,147,1.0,0.0,13,7,== Biography == | === Career ===
http://dbpedia.org/class/yago/Instrumentality103575240,http://dbpedia.org/resource/The_Straits_Times,The Straits Times,1677,147,1.0,0.0,13,7,== Biography == | === Career ===
http://dbpedia.org/class/yago/Medium106254669,http://dbpedia.org/resource/The_Straits_Times,The Straits Times,1677,147,1.0,0.0,13,7,== Biography == | === Career ===
http://dbpedia.org/class/yago/Newspaper106267145,http://dbpedia.org/resource/The_Straits_Times,The Straits Times,1677,147,1.0,0.0,13,7,== Biography == | === Career ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/The_Straits_Times,The Straits Times,1677,147,1.0,0.0,13,7,== Biography == | === Career ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/The_Straits_Times,The Straits Times,1677,147,1.0,0.0,13,7,== Biography == | === Career ===
http://dbpedia.org/class/yago/Press106263369,http://dbpedia.org/resource/The_Straits_Times,The Straits Times,1677,147,1.0,0.0,13,7,== Biography == | === Career ===
http://dbpedia.org/class/yago/PrintMedia106263609,http://dbpedia.org/resource/The_Straits_Times,The Straits Times,1677,147,1.0,0.0,13,7,== Biography == | === Career ===
http://dbpedia.org/class/yago/Product104007894,http://dbpedia.org/resource/The_Straits_Times,The Straits Times,1677,147,1.0,0.0,13,7,== Biography == | === Career ===
http://dbpedia.org/class/yago/Publication106589574,http://dbpedia.org/resource/The_Straits_Times,The Straits Times,1677,147,1.0,0.0,13,7,== Biography == | === Career ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/The_Straits_Times,The Straits Times,1677,147,1.0,0.0,13,7,== Biography == | === Career ===
http://dbpedia.org/class/yago/WikicatEnglish-languageNewspapers,http://dbpedia.org/resource/The_Straits_Times,The Straits Times,1677,147,1.0,0.0,13,7,== Biography == | === Career ===
http://dbpedia.org/class/yago/WikicatNewspapersPublishedInSingapore,http://dbpedia.org/resource/The_Straits_Times,The Straits Times,1677,147,1.0,0.0,13,7,== Biography == | === Career ===
http://dbpedia.org/ontology/University,http://dbpedia.org/resource/Academic_major,Majored,931,93,0.9999999999994884,0.0,0,13,== Biography == | === Education ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Channel_8_(Singapore),Channel 8,817,33,0.9841544260541508,0.0087876220067161,0,34,== Biography == | === Television Dramas ===
