types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Nick_Davies,Nick Davies,89,77,0.9939357539582746,0.0061012454393553,0,10,== Biography == | === 2000–2005 ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Nick_Davies,Nick Davies,89,77,0.9939357539582746,0.0061012454393553,0,10,== Biography == | === 2000–2005 ===
http://dbpedia.org/ontology/Writer,http://dbpedia.org/resource/Nick_Davies,Nick Davies,89,77,0.9939357539582746,0.0061012454393553,0,10,== Biography == | === 2000–2005 ===
http://dbpedia.org/class/yago/WikicatBritishReportersAndCorrespondents,http://dbpedia.org/resource/Nick_Davies,Nick Davies,89,77,0.9939357539582746,0.0061012454393553,0,10,== Biography == | === 2000–2005 ===
http://dbpedia.org/class/yago/Writer110794014,http://dbpedia.org/resource/Nick_Davies,Nick Davies,89,77,0.9939357539582746,0.0061012454393553,0,10,== Biography == | === 2000–2005 ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Nick_Davies,Nick Davies,89,77,0.9939357539582746,0.0061012454393553,0,10,== Biography == | === 2000–2005 ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Nick_Davies,Nick Davies,89,77,0.9939357539582746,0.0061012454393553,0,10,== Biography == | === 2000–2005 ===
http://umbel.org/umbel/rc/Writer,http://dbpedia.org/resource/Nick_Davies,Nick Davies,89,77,0.9939357539582746,0.0061012454393553,0,10,== Biography == | === 2000–2005 ===
http://dbpedia.org/class/yago/WikicatLivingPeople,http://dbpedia.org/resource/Nick_Davies,Nick Davies,89,77,0.9939357539582746,0.0061012454393553,0,10,== Biography == | === 2000–2005 ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Nick_Davies,Nick Davies,89,77,0.9939357539582746,0.0061012454393553,0,10,== Biography == | === 2000–2005 ===
http://dbpedia.org/class/yago/Communicator109610660,http://dbpedia.org/resource/Nick_Davies,Nick Davies,89,77,0.9939357539582746,0.0061012454393553,0,10,== Biography == | === 2000–2005 ===
