types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatAtlanticRecords,http://dbpedia.org/resource/Atlantic_Records_40th_Anniversary,Atlantic Records 40th anniversary,23,178,1.0,0.0,1,30,== Memorial events == | === Tribute concert ===
http://dbpedia.org/class/yago/WikicatConcerts,http://dbpedia.org/resource/Atlantic_Records_40th_Anniversary,Atlantic Records 40th anniversary,23,178,1.0,0.0,1,30,== Memorial events == | === Tribute concert ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Atlantic_Records_40th_Anniversary,Atlantic Records 40th anniversary,23,178,1.0,0.0,1,30,== Memorial events == | === Tribute concert ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Atlantic_Records_40th_Anniversary,Atlantic Records 40th anniversary,23,178,1.0,0.0,1,30,== Memorial events == | === Tribute concert ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Atlantic_Records_40th_Anniversary,Atlantic Records 40th anniversary,23,178,1.0,0.0,1,30,== Memorial events == | === Tribute concert ===
http://dbpedia.org/class/yago/Concert106892775,http://dbpedia.org/resource/Atlantic_Records_40th_Anniversary,Atlantic Records 40th anniversary,23,178,1.0,0.0,1,30,== Memorial events == | === Tribute concert ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Atlantic_Records_40th_Anniversary,Atlantic Records 40th anniversary,23,178,1.0,0.0,1,30,== Memorial events == | === Tribute concert ===
http://dbpedia.org/class/yago/Evidence106643408,http://dbpedia.org/resource/Atlantic_Records_40th_Anniversary,Atlantic Records 40th anniversary,23,178,1.0,0.0,1,30,== Memorial events == | === Tribute concert ===
http://dbpedia.org/class/yago/Indication106797169,http://dbpedia.org/resource/Atlantic_Records_40th_Anniversary,Atlantic Records 40th anniversary,23,178,1.0,0.0,1,30,== Memorial events == | === Tribute concert ===
http://dbpedia.org/class/yago/Performance106891493,http://dbpedia.org/resource/Atlantic_Records_40th_Anniversary,Atlantic Records 40th anniversary,23,178,1.0,0.0,1,30,== Memorial events == | === Tribute concert ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Atlantic_Records_40th_Anniversary,Atlantic Records 40th anniversary,23,178,1.0,0.0,1,30,== Memorial events == | === Tribute concert ===
http://dbpedia.org/class/yago/Record106647206,http://dbpedia.org/resource/Atlantic_Records_40th_Anniversary,Atlantic Records 40th anniversary,23,178,1.0,0.0,1,30,== Memorial events == | === Tribute concert ===
http://dbpedia.org/class/yago/Show106619065,http://dbpedia.org/resource/Atlantic_Records_40th_Anniversary,Atlantic Records 40th anniversary,23,178,1.0,0.0,1,30,== Memorial events == | === Tribute concert ===
http://dbpedia.org/class/yago/SocialEvent107288639,http://dbpedia.org/resource/Atlantic_Records_40th_Anniversary,Atlantic Records 40th anniversary,23,178,1.0,0.0,1,30,== Memorial events == | === Tribute concert ===
