types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Mogens_Lassen,Mogens Lassen,26,11,1.0,0.0,1,44,== Family == | === Sixth generation ===
http://dbpedia.org/class/yago/WikicatDanishArchitects,http://dbpedia.org/resource/Mogens_Lassen,Mogens Lassen,26,11,1.0,0.0,1,44,== Family == | === Sixth generation ===
http://dbpedia.org/class/yago/WikicatDanishFurnitureDesigners,http://dbpedia.org/resource/Mogens_Lassen,Mogens Lassen,26,11,1.0,0.0,1,44,== Family == | === Sixth generation ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Mogens_Lassen,Mogens Lassen,26,11,1.0,0.0,1,44,== Family == | === Sixth generation ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Mogens_Lassen,Mogens Lassen,26,11,1.0,0.0,1,44,== Family == | === Sixth generation ===
http://dbpedia.org/class/yago/Architect109805475,http://dbpedia.org/resource/Mogens_Lassen,Mogens Lassen,26,11,1.0,0.0,1,44,== Family == | === Sixth generation ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Mogens_Lassen,Mogens Lassen,26,11,1.0,0.0,1,44,== Family == | === Sixth generation ===
http://dbpedia.org/class/yago/Creator109614315,http://dbpedia.org/resource/Mogens_Lassen,Mogens Lassen,26,11,1.0,0.0,1,44,== Family == | === Sixth generation ===
http://dbpedia.org/class/yago/Expert109617867,http://dbpedia.org/resource/Mogens_Lassen,Mogens Lassen,26,11,1.0,0.0,1,44,== Family == | === Sixth generation ===
http://dbpedia.org/class/yago/InteriorDesigner110210648,http://dbpedia.org/resource/Mogens_Lassen,Mogens Lassen,26,11,1.0,0.0,1,44,== Family == | === Sixth generation ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Mogens_Lassen,Mogens Lassen,26,11,1.0,0.0,1,44,== Family == | === Sixth generation ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Mogens_Lassen,Mogens Lassen,26,11,1.0,0.0,1,44,== Family == | === Sixth generation ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Mogens_Lassen,Mogens Lassen,26,11,1.0,0.0,1,44,== Family == | === Sixth generation ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Mogens_Lassen,Mogens Lassen,26,11,1.0,0.0,1,44,== Family == | === Sixth generation ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Mogens_Lassen,Mogens Lassen,26,11,1.0,0.0,1,44,== Family == | === Sixth generation ===
http://dbpedia.org/class/yago/Specialist110631941,http://dbpedia.org/resource/Mogens_Lassen,Mogens Lassen,26,11,1.0,0.0,1,44,== Family == | === Sixth generation ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Mogens_Lassen,Mogens Lassen,26,11,1.0,0.0,1,44,== Family == | === Sixth generation ===
http://dbpedia.org/class/yago/WikicatPeopleFromCopenhagen,http://dbpedia.org/resource/Mogens_Lassen,Mogens Lassen,26,11,1.0,0.0,1,44,== Family == | === Sixth generation ===
