types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/16th_Street_Baptist_Church_bombing,Birmingham church bombing,206,49,1.0,0.0,9,9,== Education == | === Brandeis University ===
http://dbpedia.org/class/yago/WikicatAttacksOnPlacesOfWorship,http://dbpedia.org/resource/16th_Street_Baptist_Church_bombing,Birmingham church bombing,206,49,1.0,0.0,9,9,== Education == | === Brandeis University ===
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/16th_Street_Baptist_Church_bombing,Birmingham church bombing,206,49,1.0,0.0,9,9,== Education == | === Brandeis University ===
http://dbpedia.org/class/yago/WikicatImprovisedExplosiveDeviceBombingsInTheUnitedStates,http://dbpedia.org/resource/16th_Street_Baptist_Church_bombing,Birmingham church bombing,206,49,1.0,0.0,9,9,== Education == | === Brandeis University ===
http://dbpedia.org/class/yago/WikicatKuKluxKlanCrimesInAlabama,http://dbpedia.org/resource/16th_Street_Baptist_Church_bombing,Birmingham church bombing,206,49,1.0,0.0,9,9,== Education == | === Brandeis University ===
http://dbpedia.org/ontology/Band,http://dbpedia.org/resource/16th_Street_Baptist_Church_bombing,Birmingham church bombing,206,49,1.0,0.0,9,9,== Education == | === Brandeis University ===
http://dbpedia.org/class/yago/WikicatConflictsIn1963,http://dbpedia.org/resource/16th_Street_Baptist_Church_bombing,Birmingham church bombing,206,49,1.0,0.0,9,9,== Education == | === Brandeis University ===
http://dbpedia.org/class/yago/Wrongdoing100732746,http://dbpedia.org/resource/16th_Street_Baptist_Church_bombing,Birmingham church bombing,206,49,1.0,0.0,9,9,== Education == | === Brandeis University ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/16th_Street_Baptist_Church_bombing,Birmingham church bombing,206,49,1.0,0.0,9,9,== Education == | === Brandeis University ===
http://dbpedia.org/class/yago/WikicatMassacresInPlacesOfWorship,http://dbpedia.org/resource/16th_Street_Baptist_Church_bombing,Birmingham church bombing,206,49,1.0,0.0,9,9,== Education == | === Brandeis University ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/16th_Street_Baptist_Church_bombing,Birmingham church bombing,206,49,1.0,0.0,9,9,== Education == | === Brandeis University ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/16th_Street_Baptist_Church_bombing,Birmingham church bombing,206,49,1.0,0.0,9,9,== Education == | === Brandeis University ===
http://dbpedia.org/class/yago/Action100037396,http://dbpedia.org/resource/16th_Street_Baptist_Church_bombing,Birmingham church bombing,206,49,1.0,0.0,9,9,== Education == | === Brandeis University ===
http://dbpedia.org/class/yago/Activity100407535,http://dbpedia.org/resource/16th_Street_Baptist_Church_bombing,Birmingham church bombing,206,49,1.0,0.0,9,9,== Education == | === Brandeis University ===
http://dbpedia.org/class/yago/Attack100972621,http://dbpedia.org/resource/16th_Street_Baptist_Church_bombing,Birmingham church bombing,206,49,1.0,0.0,9,9,== Education == | === Brandeis University ===
http://dbpedia.org/class/yago/Bombing100978413,http://dbpedia.org/resource/16th_Street_Baptist_Church_bombing,Birmingham church bombing,206,49,1.0,0.0,9,9,== Education == | === Brandeis University ===
http://dbpedia.org/class/yago/Change100191142,http://dbpedia.org/resource/16th_Street_Baptist_Church_bombing,Birmingham church bombing,206,49,1.0,0.0,9,9,== Education == | === Brandeis University ===
http://dbpedia.org/class/yago/ChangeOfState100199130,http://dbpedia.org/resource/16th_Street_Baptist_Church_bombing,Birmingham church bombing,206,49,1.0,0.0,9,9,== Education == | === Brandeis University ===
http://dbpedia.org/class/yago/Conflict100958896,http://dbpedia.org/resource/16th_Street_Baptist_Church_bombing,Birmingham church bombing,206,49,1.0,0.0,9,9,== Education == | === Brandeis University ===
http://dbpedia.org/class/yago/Crime100766234,http://dbpedia.org/resource/16th_Street_Baptist_Church_bombing,Birmingham church bombing,206,49,1.0,0.0,9,9,== Education == | === Brandeis University ===
http://dbpedia.org/class/yago/Discharge107307754,http://dbpedia.org/resource/16th_Street_Baptist_Church_bombing,Birmingham church bombing,206,49,1.0,0.0,9,9,== Education == | === Brandeis University ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/16th_Street_Baptist_Church_bombing,Birmingham church bombing,206,49,1.0,0.0,9,9,== Education == | === Brandeis University ===
http://dbpedia.org/class/yago/Explosion107308563,http://dbpedia.org/resource/16th_Street_Baptist_Church_bombing,Birmingham church bombing,206,49,1.0,0.0,9,9,== Education == | === Brandeis University ===
http://dbpedia.org/class/yago/GroupAction101080366,http://dbpedia.org/resource/16th_Street_Baptist_Church_bombing,Birmingham church bombing,206,49,1.0,0.0,9,9,== Education == | === Brandeis University ===
http://dbpedia.org/class/yago/Happening107283608,http://dbpedia.org/resource/16th_Street_Baptist_Church_bombing,Birmingham church bombing,206,49,1.0,0.0,9,9,== Education == | === Brandeis University ===
http://dbpedia.org/class/yago/Homicide100220023,http://dbpedia.org/resource/16th_Street_Baptist_Church_bombing,Birmingham church bombing,206,49,1.0,0.0,9,9,== Education == | === Brandeis University ===
http://dbpedia.org/class/yago/Incident107307477,http://dbpedia.org/resource/16th_Street_Baptist_Church_bombing,Birmingham church bombing,206,49,1.0,0.0,9,9,== Education == | === Brandeis University ===
http://dbpedia.org/class/yago/Killing100219012,http://dbpedia.org/resource/16th_Street_Baptist_Church_bombing,Birmingham church bombing,206,49,1.0,0.0,9,9,== Education == | === Brandeis University ===
http://dbpedia.org/class/yago/Murder100220522,http://dbpedia.org/resource/16th_Street_Baptist_Church_bombing,Birmingham church bombing,206,49,1.0,0.0,9,9,== Education == | === Brandeis University ===
http://dbpedia.org/class/yago/Operation100955060,http://dbpedia.org/resource/16th_Street_Baptist_Church_bombing,Birmingham church bombing,206,49,1.0,0.0,9,9,== Education == | === Brandeis University ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/16th_Street_Baptist_Church_bombing,Birmingham church bombing,206,49,1.0,0.0,9,9,== Education == | === Brandeis University ===
