types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Jenn_Mann,Jenn Berman,24,45,1.0,0.0,13,7,== Career == | === 2009–2014 ===
http://dbpedia.org/class/yago/WikicatPsychotherapists,http://dbpedia.org/resource/Jenn_Mann,Jenn Berman,24,45,1.0,0.0,13,7,== Career == | === 2009–2014 ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Jenn_Mann,Jenn Berman,24,45,1.0,0.0,13,7,== Career == | === 2009–2014 ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Jenn_Mann,Jenn Berman,24,45,1.0,0.0,13,7,== Career == | === 2009–2014 ===
http://dbpedia.org/class/yago/WikicatLivingPeople,http://dbpedia.org/resource/Jenn_Mann,Jenn Berman,24,45,1.0,0.0,13,7,== Career == | === 2009–2014 ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Jenn_Mann,Jenn Berman,24,45,1.0,0.0,13,7,== Career == | === 2009–2014 ===
http://dbpedia.org/class/yago/Expert109617867,http://dbpedia.org/resource/Jenn_Mann,Jenn Berman,24,45,1.0,0.0,13,7,== Career == | === 2009–2014 ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Jenn_Mann,Jenn Berman,24,45,1.0,0.0,13,7,== Career == | === 2009–2014 ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Jenn_Mann,Jenn Berman,24,45,1.0,0.0,13,7,== Career == | === 2009–2014 ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Jenn_Mann,Jenn Berman,24,45,1.0,0.0,13,7,== Career == | === 2009–2014 ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Jenn_Mann,Jenn Berman,24,45,1.0,0.0,13,7,== Career == | === 2009–2014 ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Jenn_Mann,Jenn Berman,24,45,1.0,0.0,13,7,== Career == | === 2009–2014 ===
http://dbpedia.org/class/yago/Psychotherapist110489944,http://dbpedia.org/resource/Jenn_Mann,Jenn Berman,24,45,1.0,0.0,13,7,== Career == | === 2009–2014 ===
http://dbpedia.org/class/yago/Therapist110707233,http://dbpedia.org/resource/Jenn_Mann,Jenn Berman,24,45,1.0,0.0,13,7,== Career == | === 2009–2014 ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Jenn_Mann,Jenn Berman,24,45,1.0,0.0,13,7,== Career == | === 2009–2014 ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Child_psychotherapy,child therapist,31,84,0.9999999999949408,0.0,13,7,== Career == | === 2009–2014 ===
http://dbpedia.org/ontology/PersonFunction,http://dbpedia.org/resource/Child_psychotherapy,child therapist,31,84,0.9999999999949408,0.0,13,7,== Career == | === 2009–2014 ===
http://dbpedia.org/ontology/Holiday,http://dbpedia.org/resource/Photo_op,photo-op,106,36,0.9999999704545536,0.0,31,7,== Career == | === 2009–2014 ===
