types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Trauma_center,Trauma Center,791,90,0.9999999991546816,7.833561440334127e-10,6,5,== Career == | === Atlus ===
http://dbpedia.org/ontology/Hospital,http://dbpedia.org/resource/Trauma_center,Trauma Center,791,90,0.9999999991546816,7.833561440334127e-10,6,5,== Career == | === Atlus ===
http://dbpedia.org/ontology/FictionalCharacter,http://dbpedia.org/resource/Kuzunoha,Kuzunoha,22,145,1.0,0.0,6,5,== Career == | === Atlus ===
http://dbpedia.org/class/yago/WikicatJapaneseLegendaryCreatures,http://dbpedia.org/resource/Kuzunoha,Kuzunoha,22,145,1.0,0.0,6,5,== Career == | === Atlus ===
http://dbpedia.org/class/yago/Ability105616246,http://dbpedia.org/resource/Kuzunoha,Kuzunoha,22,145,1.0,0.0,6,5,== Career == | === Atlus ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Kuzunoha,Kuzunoha,22,145,1.0,0.0,6,5,== Career == | === Atlus ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Kuzunoha,Kuzunoha,22,145,1.0,0.0,6,5,== Career == | === Atlus ===
http://dbpedia.org/class/yago/Creativity105624700,http://dbpedia.org/resource/Kuzunoha,Kuzunoha,22,145,1.0,0.0,6,5,== Career == | === Atlus ===
http://dbpedia.org/class/yago/ImaginaryBeing109483738,http://dbpedia.org/resource/Kuzunoha,Kuzunoha,22,145,1.0,0.0,6,5,== Career == | === Atlus ===
http://dbpedia.org/class/yago/Imagination105625465,http://dbpedia.org/resource/Kuzunoha,Kuzunoha,22,145,1.0,0.0,6,5,== Career == | === Atlus ===
http://dbpedia.org/class/yago/LegendaryCreature109487022,http://dbpedia.org/resource/Kuzunoha,Kuzunoha,22,145,1.0,0.0,6,5,== Career == | === Atlus ===
http://dbpedia.org/class/yago/Monster109491966,http://dbpedia.org/resource/Kuzunoha,Kuzunoha,22,145,1.0,0.0,6,5,== Career == | === Atlus ===
http://dbpedia.org/class/yago/MythicalBeing109484664,http://dbpedia.org/resource/Kuzunoha,Kuzunoha,22,145,1.0,0.0,6,5,== Career == | === Atlus ===
http://dbpedia.org/class/yago/MythicalMonster109492123,http://dbpedia.org/resource/Kuzunoha,Kuzunoha,22,145,1.0,0.0,6,5,== Career == | === Atlus ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Kuzunoha,Kuzunoha,22,145,1.0,0.0,6,5,== Career == | === Atlus ===
