types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Illegal_drug_trade,drug smuggler,3795,33,0.9999999999976126,0.0,14,42,== Career == | === 2010s ===
http://dbpedia.org/ontology/Place,http://dbpedia.org/resource/Illegal_drug_trade,drug smuggler,3795,33,0.9999999999976126,0.0,14,42,== Career == | === 2010s ===
http://dbpedia.org/ontology/MilitaryConflict,http://dbpedia.org/resource/Illegal_drug_trade,drug smuggler,3795,33,0.9999999999976126,0.0,14,42,== Career == | === 2010s ===
