types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Station,http://dbpedia.org/resource/Springbok_Radio,Springbok Radio,85,40,0.999999999999801,0.0,4,4,== Background == | === Music career ===
http://dbpedia.org/class/yago/WikicatDefunctRadioStations,http://dbpedia.org/resource/Springbok_Radio,Springbok Radio,85,40,0.999999999999801,0.0,4,4,== Background == | === Music career ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Springbok_Radio,Springbok Radio,85,40,0.999999999999801,0.0,4,4,== Background == | === Music career ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Springbok_Radio,Springbok Radio,85,40,0.999999999999801,0.0,4,4,== Background == | === Music career ===
http://dbpedia.org/class/yago/WikicatRadioStationsEstablishedIn1950,http://dbpedia.org/resource/Springbok_Radio,Springbok Radio,85,40,0.999999999999801,0.0,4,4,== Background == | === Music career ===
http://dbpedia.org/class/yago/WikicatRadioStationsInSouthAfrica,http://dbpedia.org/resource/Springbok_Radio,Springbok Radio,85,40,0.999999999999801,0.0,4,4,== Background == | === Music career ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Springbok_Radio,Springbok Radio,85,40,0.999999999999801,0.0,4,4,== Background == | === Music career ===
http://dbpedia.org/class/yago/BroadcastingStation102903405,http://dbpedia.org/resource/Springbok_Radio,Springbok Radio,85,40,0.999999999999801,0.0,4,4,== Background == | === Music career ===
http://dbpedia.org/class/yago/Facility103315023,http://dbpedia.org/resource/Springbok_Radio,Springbok Radio,85,40,0.999999999999801,0.0,4,4,== Background == | === Music career ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Springbok_Radio,Springbok Radio,85,40,0.999999999999801,0.0,4,4,== Background == | === Music career ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Springbok_Radio,Springbok Radio,85,40,0.999999999999801,0.0,4,4,== Background == | === Music career ===
