types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/Woburn_Square,Woburn Square,34,30,1.0,0.0,0,3,== Biography == | === Early life ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Woburn_Square,Woburn Square,34,30,1.0,0.0,0,3,== Biography == | === Early life ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Woburn_Square,Woburn Square,34,30,1.0,0.0,0,3,== Biography == | === Early life ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Woburn_Square,Woburn Square,34,30,1.0,0.0,0,3,== Biography == | === Early life ===
http://dbpedia.org/class/yago/GeographicalArea108574314,http://dbpedia.org/resource/Woburn_Square,Woburn Square,34,30,1.0,0.0,0,3,== Biography == | === Early life ===
http://dbpedia.org/class/yago/Location100027167,http://dbpedia.org/resource/Woburn_Square,Woburn Square,34,30,1.0,0.0,0,3,== Biography == | === Early life ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Woburn_Square,Woburn Square,34,30,1.0,0.0,0,3,== Biography == | === Early life ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Woburn_Square,Woburn Square,34,30,1.0,0.0,0,3,== Biography == | === Early life ===
http://dbpedia.org/class/yago/PublicSquare108619620,http://dbpedia.org/resource/Woburn_Square,Woburn Square,34,30,1.0,0.0,0,3,== Biography == | === Early life ===
http://dbpedia.org/class/yago/Region108630985,http://dbpedia.org/resource/Woburn_Square,Woburn Square,34,30,1.0,0.0,0,3,== Biography == | === Early life ===
http://dbpedia.org/class/yago/Tract108673395,http://dbpedia.org/resource/Woburn_Square,Woburn Square,34,30,1.0,0.0,0,3,== Biography == | === Early life ===
http://dbpedia.org/class/yago/WikicatSquaresInCamden,http://dbpedia.org/resource/Woburn_Square,Woburn Square,34,30,1.0,0.0,0,3,== Biography == | === Early life ===
