types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/MusicGenre,http://dbpedia.org/resource/Independent_music,indie culture,2951,149,0.99999999999892,0.0,1,76,== Impact and legacy == | === Influence ===
http://dbpedia.org/ontology/Agent,http://dbpedia.org/resource/Independent_music,indie culture,2951,149,0.99999999999892,0.0,1,76,== Impact and legacy == | === Influence ===
http://dbpedia.org/class/yago/WikicatIndependentRecordLabels,http://dbpedia.org/resource/Independent_music,indie culture,2951,149,0.99999999999892,0.0,1,76,== Impact and legacy == | === Influence ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Independent_music,indie culture,2951,149,0.99999999999892,0.0,1,76,== Impact and legacy == | === Influence ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Independent_music,indie culture,2951,149,0.99999999999892,0.0,1,76,== Impact and legacy == | === Influence ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Independent_music,indie culture,2951,149,0.99999999999892,0.0,1,76,== Impact and legacy == | === Influence ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Independent_music,indie culture,2951,149,0.99999999999892,0.0,1,76,== Impact and legacy == | === Influence ===
http://dbpedia.org/class/yago/Company108058098,http://dbpedia.org/resource/Independent_music,indie culture,2951,149,0.99999999999892,0.0,1,76,== Impact and legacy == | === Influence ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Independent_music,indie culture,2951,149,0.99999999999892,0.0,1,76,== Impact and legacy == | === Influence ===
http://dbpedia.org/class/yago/Institution108053576,http://dbpedia.org/resource/Independent_music,indie culture,2951,149,0.99999999999892,0.0,1,76,== Impact and legacy == | === Influence ===
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/Independent_music,indie culture,2951,149,0.99999999999892,0.0,1,76,== Impact and legacy == | === Influence ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Independent_music,indie culture,2951,149,0.99999999999892,0.0,1,76,== Impact and legacy == | === Influence ===
