types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Leendert_Antonie_Donker,Donker,11,52,0.9999995556359657,0.0,0,19,== Music == | === Follow Me ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Leendert_Antonie_Donker,Donker,11,52,0.9999995556359657,0.0,0,19,== Music == | === Follow Me ===
http://dbpedia.org/class/yago/WikicatLabourParty(Netherlands)Politicians,http://dbpedia.org/resource/Leendert_Antonie_Donker,Donker,11,52,0.9999995556359657,0.0,0,19,== Music == | === Follow Me ===
http://dbpedia.org/class/yago/WikicatPeopleFromWoudrichem,http://dbpedia.org/resource/Leendert_Antonie_Donker,Donker,11,52,0.9999995556359657,0.0,0,19,== Music == | === Follow Me ===
http://dbpedia.org/class/yago/WikicatDutchLawyers,http://dbpedia.org/resource/Leendert_Antonie_Donker,Donker,11,52,0.9999995556359657,0.0,0,19,== Music == | === Follow Me ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Leendert_Antonie_Donker,Donker,11,52,0.9999995556359657,0.0,0,19,== Music == | === Follow Me ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Leendert_Antonie_Donker,Donker,11,52,0.9999995556359657,0.0,0,19,== Music == | === Follow Me ===
http://dbpedia.org/class/yago/WikicatMinistersOfJusticeOfTheNetherlands,http://dbpedia.org/resource/Leendert_Antonie_Donker,Donker,11,52,0.9999995556359657,0.0,0,19,== Music == | === Follow Me ===
http://dbpedia.org/class/yago/WikicatSocialDemocraticWorkers'Party(Netherlands)Politicians,http://dbpedia.org/resource/Leendert_Antonie_Donker,Donker,11,52,0.9999995556359657,0.0,0,19,== Music == | === Follow Me ===
http://dbpedia.org/class/yago/Administrator109770949,http://dbpedia.org/resource/Leendert_Antonie_Donker,Donker,11,52,0.9999995556359657,0.0,0,19,== Music == | === Follow Me ===
http://dbpedia.org/class/yago/Adult109605289,http://dbpedia.org/resource/Leendert_Antonie_Donker,Donker,11,52,0.9999995556359657,0.0,0,19,== Music == | === Follow Me ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Leendert_Antonie_Donker,Donker,11,52,0.9999995556359657,0.0,0,19,== Music == | === Follow Me ===
http://dbpedia.org/class/yago/Executive110069645,http://dbpedia.org/resource/Leendert_Antonie_Donker,Donker,11,52,0.9999995556359657,0.0,0,19,== Music == | === Follow Me ===
http://dbpedia.org/class/yago/Head110162991,http://dbpedia.org/resource/Leendert_Antonie_Donker,Donker,11,52,0.9999995556359657,0.0,0,19,== Music == | === Follow Me ===
http://dbpedia.org/class/yago/Lawyer110249950,http://dbpedia.org/resource/Leendert_Antonie_Donker,Donker,11,52,0.9999995556359657,0.0,0,19,== Music == | === Follow Me ===
http://dbpedia.org/class/yago/Leader109623038,http://dbpedia.org/resource/Leendert_Antonie_Donker,Donker,11,52,0.9999995556359657,0.0,0,19,== Music == | === Follow Me ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Leendert_Antonie_Donker,Donker,11,52,0.9999995556359657,0.0,0,19,== Music == | === Follow Me ===
http://dbpedia.org/class/yago/Minister110320863,http://dbpedia.org/resource/Leendert_Antonie_Donker,Donker,11,52,0.9999995556359657,0.0,0,19,== Music == | === Follow Me ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Leendert_Antonie_Donker,Donker,11,52,0.9999995556359657,0.0,0,19,== Music == | === Follow Me ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Leendert_Antonie_Donker,Donker,11,52,0.9999995556359657,0.0,0,19,== Music == | === Follow Me ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Leendert_Antonie_Donker,Donker,11,52,0.9999995556359657,0.0,0,19,== Music == | === Follow Me ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Leendert_Antonie_Donker,Donker,11,52,0.9999995556359657,0.0,0,19,== Music == | === Follow Me ===
http://dbpedia.org/class/yago/Politician110450303,http://dbpedia.org/resource/Leendert_Antonie_Donker,Donker,11,52,0.9999995556359657,0.0,0,19,== Music == | === Follow Me ===
http://dbpedia.org/class/yago/Professional110480253,http://dbpedia.org/resource/Leendert_Antonie_Donker,Donker,11,52,0.9999995556359657,0.0,0,19,== Music == | === Follow Me ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Leendert_Antonie_Donker,Donker,11,52,0.9999995556359657,0.0,0,19,== Music == | === Follow Me ===
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/Efteling_Theatre,Efteling Theatre,10,31,1.0,0.0,1,23,== Music == | === Cinderella ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Efteling_Theatre,Efteling Theatre,10,31,1.0,0.0,1,23,== Music == | === Cinderella ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Efteling_Theatre,Efteling Theatre,10,31,1.0,0.0,1,23,== Music == | === Cinderella ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Efteling_Theatre,Efteling Theatre,10,31,1.0,0.0,1,23,== Music == | === Cinderella ===
http://dbpedia.org/class/yago/Building102913152,http://dbpedia.org/resource/Efteling_Theatre,Efteling Theatre,10,31,1.0,0.0,1,23,== Music == | === Cinderella ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Efteling_Theatre,Efteling Theatre,10,31,1.0,0.0,1,23,== Music == | === Cinderella ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Efteling_Theatre,Efteling Theatre,10,31,1.0,0.0,1,23,== Music == | === Cinderella ===
http://dbpedia.org/class/yago/Structure104341686,http://dbpedia.org/resource/Efteling_Theatre,Efteling Theatre,10,31,1.0,0.0,1,23,== Music == | === Cinderella ===
http://dbpedia.org/class/yago/Theater104417809,http://dbpedia.org/resource/Efteling_Theatre,Efteling Theatre,10,31,1.0,0.0,1,23,== Music == | === Cinderella ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Efteling_Theatre,Efteling Theatre,10,31,1.0,0.0,1,23,== Music == | === Cinderella ===
http://dbpedia.org/class/yago/WikicatTheatres,http://dbpedia.org/resource/Efteling_Theatre,Efteling Theatre,10,31,1.0,0.0,1,23,== Music == | === Cinderella ===
http://dbpedia.org/class/yago/WikicatTheatresInTheNetherlands,http://dbpedia.org/resource/Efteling_Theatre,Efteling Theatre,10,31,1.0,0.0,1,23,== Music == | === Cinderella ===
