types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Teenage_Mutant_Ninja_Turtles,Wingnut,1441,68,0.9999752056372744,2.0295888687729615e-05,0,45,== Discography == | === Other ===
http://dbpedia.org/class/yago/WikicatAnimatedCharacters,http://dbpedia.org/resource/Teenage_Mutant_Ninja_Turtles,Wingnut,1441,68,0.9999752056372744,2.0295888687729615e-05,0,45,== Discography == | === Other ===
http://dbpedia.org/ontology/Reptile,http://dbpedia.org/resource/Teenage_Mutant_Ninja_Turtles,Wingnut,1441,68,0.9999752056372744,2.0295888687729615e-05,0,45,== Discography == | === Other ===
http://dbpedia.org/class/yago/WikicatComicsCharacters,http://dbpedia.org/resource/Teenage_Mutant_Ninja_Turtles,Wingnut,1441,68,0.9999752056372744,2.0295888687729615e-05,0,45,== Discography == | === Other ===
http://dbpedia.org/class/yago/WikicatComicsCharactersIntroducedIn1984,http://dbpedia.org/resource/Teenage_Mutant_Ninja_Turtles,Wingnut,1441,68,0.9999752056372744,2.0295888687729615e-05,0,45,== Discography == | === Other ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Teenage_Mutant_Ninja_Turtles,Wingnut,1441,68,0.9999752056372744,2.0295888687729615e-05,0,45,== Discography == | === Other ===
http://dbpedia.org/class/yago/WikicatMTVNetworks,http://dbpedia.org/resource/Teenage_Mutant_Ninja_Turtles,Wingnut,1441,68,0.9999752056372744,2.0295888687729615e-05,0,45,== Discography == | === Other ===
http://dbpedia.org/class/yago/Ability105616246,http://dbpedia.org/resource/Teenage_Mutant_Ninja_Turtles,Wingnut,1441,68,0.9999752056372744,2.0295888687729615e-05,0,45,== Discography == | === Other ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Teenage_Mutant_Ninja_Turtles,Wingnut,1441,68,0.9999752056372744,2.0295888687729615e-05,0,45,== Discography == | === Other ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Teenage_Mutant_Ninja_Turtles,Wingnut,1441,68,0.9999752056372744,2.0295888687729615e-05,0,45,== Discography == | === Other ===
http://dbpedia.org/class/yago/Action100037396,http://dbpedia.org/resource/Teenage_Mutant_Ninja_Turtles,Wingnut,1441,68,0.9999752056372744,2.0295888687729615e-05,0,45,== Discography == | === Other ===
http://dbpedia.org/class/yago/Activity100407535,http://dbpedia.org/resource/Teenage_Mutant_Ninja_Turtles,Wingnut,1441,68,0.9999752056372744,2.0295888687729615e-05,0,45,== Discography == | === Other ===
http://dbpedia.org/class/yago/Beginning100235435,http://dbpedia.org/resource/Teenage_Mutant_Ninja_Turtles,Wingnut,1441,68,0.9999752056372744,2.0295888687729615e-05,0,45,== Discography == | === Other ===
http://dbpedia.org/class/yago/Change100191142,http://dbpedia.org/resource/Teenage_Mutant_Ninja_Turtles,Wingnut,1441,68,0.9999752056372744,2.0295888687729615e-05,0,45,== Discography == | === Other ===
http://dbpedia.org/class/yago/ChangeOfState100199130,http://dbpedia.org/resource/Teenage_Mutant_Ninja_Turtles,Wingnut,1441,68,0.9999752056372744,2.0295888687729615e-05,0,45,== Discography == | === Other ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Teenage_Mutant_Ninja_Turtles,Wingnut,1441,68,0.9999752056372744,2.0295888687729615e-05,0,45,== Discography == | === Other ===
http://dbpedia.org/class/yago/Creativity105624700,http://dbpedia.org/resource/Teenage_Mutant_Ninja_Turtles,Wingnut,1441,68,0.9999752056372744,2.0295888687729615e-05,0,45,== Discography == | === Other ===
http://dbpedia.org/class/yago/Diversion100426928,http://dbpedia.org/resource/Teenage_Mutant_Ninja_Turtles,Wingnut,1441,68,0.9999752056372744,2.0295888687729615e-05,0,45,== Discography == | === Other ===
http://dbpedia.org/class/yago/Entertainment100429048,http://dbpedia.org/resource/Teenage_Mutant_Ninja_Turtles,Wingnut,1441,68,0.9999752056372744,2.0295888687729615e-05,0,45,== Discography == | === Other ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Teenage_Mutant_Ninja_Turtles,Wingnut,1441,68,0.9999752056372744,2.0295888687729615e-05,0,45,== Discography == | === Other ===
http://dbpedia.org/class/yago/FictionalCharacter109587565,http://dbpedia.org/resource/Teenage_Mutant_Ninja_Turtles,Wingnut,1441,68,0.9999752056372744,2.0295888687729615e-05,0,45,== Discography == | === Other ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Teenage_Mutant_Ninja_Turtles,Wingnut,1441,68,0.9999752056372744,2.0295888687729615e-05,0,45,== Discography == | === Other ===
http://dbpedia.org/class/yago/ImaginaryBeing109483738,http://dbpedia.org/resource/Teenage_Mutant_Ninja_Turtles,Wingnut,1441,68,0.9999752056372744,2.0295888687729615e-05,0,45,== Discography == | === Other ===
