types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Elisabeth_Lutyens,Elizabeth Lutyens,108,88,1.0,0.0,1,6,== Biography == | === Career ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Elisabeth_Lutyens,Elizabeth Lutyens,108,88,1.0,0.0,1,6,== Biography == | === Career ===
http://dbpedia.org/class/yago/WikicatAlumniOfTheRoyalCollegeOfMusic,http://dbpedia.org/resource/Elisabeth_Lutyens,Elizabeth Lutyens,108,88,1.0,0.0,1,6,== Biography == | === Career ===
http://dbpedia.org/class/yago/WikicatPeopleFromLondon,http://dbpedia.org/resource/Elisabeth_Lutyens,Elizabeth Lutyens,108,88,1.0,0.0,1,6,== Biography == | === Career ===
http://dbpedia.org/ontology/MusicalArtist,http://dbpedia.org/resource/Elisabeth_Lutyens,Elizabeth Lutyens,108,88,1.0,0.0,1,6,== Biography == | === Career ===
http://dbpedia.org/class/yago/WikicatBritishComposers,http://dbpedia.org/resource/Elisabeth_Lutyens,Elizabeth Lutyens,108,88,1.0,0.0,1,6,== Biography == | === Career ===
http://dbpedia.org/class/yago/WikicatBritishFilmScoreComposers,http://dbpedia.org/resource/Elisabeth_Lutyens,Elizabeth Lutyens,108,88,1.0,0.0,1,6,== Biography == | === Career ===
http://dbpedia.org/class/yago/WikicatBritishPeople,http://dbpedia.org/resource/Elisabeth_Lutyens,Elizabeth Lutyens,108,88,1.0,0.0,1,6,== Biography == | === Career ===
http://dbpedia.org/class/yago/WikicatCommandersOfTheOrderOfTheBritishEmpire,http://dbpedia.org/resource/Elisabeth_Lutyens,Elizabeth Lutyens,108,88,1.0,0.0,1,6,== Biography == | === Career ===
http://dbpedia.org/class/yago/WikicatWomen,http://dbpedia.org/resource/Elisabeth_Lutyens,Elizabeth Lutyens,108,88,1.0,0.0,1,6,== Biography == | === Career ===
http://dbpedia.org/class/yago/WikicatWomenClassicalComposers,http://dbpedia.org/resource/Elisabeth_Lutyens,Elizabeth Lutyens,108,88,1.0,0.0,1,6,== Biography == | === Career ===
http://dbpedia.org/class/yago/WikicatÉcoleNormaleDeMusiqueDeParisAlumni,http://dbpedia.org/resource/Elisabeth_Lutyens,Elizabeth Lutyens,108,88,1.0,0.0,1,6,== Biography == | === Career ===
http://dbpedia.org/class/yago/Woman110787470,http://dbpedia.org/resource/Elisabeth_Lutyens,Elizabeth Lutyens,108,88,1.0,0.0,1,6,== Biography == | === Career ===
http://dbpedia.org/class/yago/Worker109632518,http://dbpedia.org/resource/Elisabeth_Lutyens,Elizabeth Lutyens,108,88,1.0,0.0,1,6,== Biography == | === Career ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Elisabeth_Lutyens,Elizabeth Lutyens,108,88,1.0,0.0,1,6,== Biography == | === Career ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Elisabeth_Lutyens,Elizabeth Lutyens,108,88,1.0,0.0,1,6,== Biography == | === Career ===
http://dbpedia.org/class/yago/Adult109605289,http://dbpedia.org/resource/Elisabeth_Lutyens,Elizabeth Lutyens,108,88,1.0,0.0,1,6,== Biography == | === Career ===
