types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Metropolitan_United_Church,Metropolitan United Church,28,125,1.0,0.0,2,3,== Career == | === Early studies ===
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/Metropolitan_United_Church,Metropolitan United Church,28,125,1.0,0.0,2,3,== Career == | === Early studies ===
http://dbpedia.org/class/yago/WikicatBurnedBuildingsAndStructuresInCanada,http://dbpedia.org/resource/Metropolitan_United_Church,Metropolitan United Church,28,125,1.0,0.0,2,3,== Career == | === Early studies ===
http://dbpedia.org/class/yago/WikicatChurchesInToronto,http://dbpedia.org/resource/Metropolitan_United_Church,Metropolitan United Church,28,125,1.0,0.0,2,3,== Career == | === Early studies ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Metropolitan_United_Church,Metropolitan United Church,28,125,1.0,0.0,2,3,== Career == | === Early studies ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Metropolitan_United_Church,Metropolitan United Church,28,125,1.0,0.0,2,3,== Career == | === Early studies ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Metropolitan_United_Church,Metropolitan United Church,28,125,1.0,0.0,2,3,== Career == | === Early studies ===
http://dbpedia.org/class/yago/Building102913152,http://dbpedia.org/resource/Metropolitan_United_Church,Metropolitan United Church,28,125,1.0,0.0,2,3,== Career == | === Early studies ===
http://dbpedia.org/class/yago/Church103028079,http://dbpedia.org/resource/Metropolitan_United_Church,Metropolitan United Church,28,125,1.0,0.0,2,3,== Career == | === Early studies ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Metropolitan_United_Church,Metropolitan United Church,28,125,1.0,0.0,2,3,== Career == | === Early studies ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Metropolitan_United_Church,Metropolitan United Church,28,125,1.0,0.0,2,3,== Career == | === Early studies ===
http://dbpedia.org/class/yago/PlaceOfWorship103953416,http://dbpedia.org/resource/Metropolitan_United_Church,Metropolitan United Church,28,125,1.0,0.0,2,3,== Career == | === Early studies ===
http://dbpedia.org/class/yago/Structure104341686,http://dbpedia.org/resource/Metropolitan_United_Church,Metropolitan United Church,28,125,1.0,0.0,2,3,== Career == | === Early studies ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Metropolitan_United_Church,Metropolitan United Church,28,125,1.0,0.0,2,3,== Career == | === Early studies ===
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/Exhibition_Place_Carillon,Exhibition Place Carillon,4,35,1.0,0.0,3,5,== Career == | === Performing ===
