types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Canonical_hours,daily offices,635,91,0.9999999999993748,0.0,11,18,== Biography == | === Religious beliefs ===
http://dbpedia.org/class/yago/Device103183080,http://dbpedia.org/resource/Canonical_hours,daily offices,635,91,0.9999999999993748,0.0,11,18,== Biography == | === Religious beliefs ===
http://dbpedia.org/class/yago/Instrument103574816,http://dbpedia.org/resource/Canonical_hours,daily offices,635,91,0.9999999999993748,0.0,11,18,== Biography == | === Religious beliefs ===
http://dbpedia.org/class/yago/Instrumentality103575240,http://dbpedia.org/resource/Canonical_hours,daily offices,635,91,0.9999999999993748,0.0,11,18,== Biography == | === Religious beliefs ===
http://dbpedia.org/class/yago/MeasuringInstrument103733925,http://dbpedia.org/resource/Canonical_hours,daily offices,635,91,0.9999999999993748,0.0,11,18,== Biography == | === Religious beliefs ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Canonical_hours,daily offices,635,91,0.9999999999993748,0.0,11,18,== Biography == | === Religious beliefs ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Canonical_hours,daily offices,635,91,0.9999999999993748,0.0,11,18,== Biography == | === Religious beliefs ===
http://dbpedia.org/class/yago/Sundial104355338,http://dbpedia.org/resource/Canonical_hours,daily offices,635,91,0.9999999999993748,0.0,11,18,== Biography == | === Religious beliefs ===
http://dbpedia.org/class/yago/Timepiece104437953,http://dbpedia.org/resource/Canonical_hours,daily offices,635,91,0.9999999999993748,0.0,11,18,== Biography == | === Religious beliefs ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Canonical_hours,daily offices,635,91,0.9999999999993748,0.0,11,18,== Biography == | === Religious beliefs ===
http://dbpedia.org/class/yago/WikicatSundials,http://dbpedia.org/resource/Canonical_hours,daily offices,635,91,0.9999999999993748,0.0,11,18,== Biography == | === Religious beliefs ===
