types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Hermes_Trismegistus,Hermes Trismegistus,288,14,1.0,0.0,0,27,== Bibliography == | === Books ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Hermes_Trismegistus,Hermes Trismegistus,288,14,1.0,0.0,0,27,== Bibliography == | === Books ===
http://dbpedia.org/class/yago/WikicatAlchemists,http://dbpedia.org/resource/Hermes_Trismegistus,Hermes Trismegistus,288,14,1.0,0.0,0,27,== Bibliography == | === Books ===
http://dbpedia.org/class/yago/WikicatAstrologers,http://dbpedia.org/resource/Hermes_Trismegistus,Hermes Trismegistus,288,14,1.0,0.0,0,27,== Bibliography == | === Books ===
http://dbpedia.org/class/yago/WikicatGreekAstrologers,http://dbpedia.org/resource/Hermes_Trismegistus,Hermes Trismegistus,288,14,1.0,0.0,0,27,== Bibliography == | === Books ===
http://dbpedia.org/class/yago/WikicatPrimordialTeachers,http://dbpedia.org/resource/Hermes_Trismegistus,Hermes Trismegistus,288,14,1.0,0.0,0,27,== Bibliography == | === Books ===
http://dbpedia.org/class/yago/Writer110794014,http://dbpedia.org/resource/Hermes_Trismegistus,Hermes Trismegistus,288,14,1.0,0.0,0,27,== Bibliography == | === Books ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Hermes_Trismegistus,Hermes Trismegistus,288,14,1.0,0.0,0,27,== Bibliography == | === Books ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Hermes_Trismegistus,Hermes Trismegistus,288,14,1.0,0.0,0,27,== Bibliography == | === Books ===
http://dbpedia.org/class/yago/Adult109605289,http://dbpedia.org/resource/Hermes_Trismegistus,Hermes Trismegistus,288,14,1.0,0.0,0,27,== Bibliography == | === Books ===
http://dbpedia.org/class/yago/Alchemist109781921,http://dbpedia.org/resource/Hermes_Trismegistus,Hermes Trismegistus,288,14,1.0,0.0,0,27,== Bibliography == | === Books ===
http://dbpedia.org/class/yago/Astrologer109817816,http://dbpedia.org/resource/Hermes_Trismegistus,Hermes Trismegistus,288,14,1.0,0.0,0,27,== Bibliography == | === Books ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Hermes_Trismegistus,Hermes Trismegistus,288,14,1.0,0.0,0,27,== Bibliography == | === Books ===
http://dbpedia.org/class/yago/Communicator109610660,http://dbpedia.org/resource/Hermes_Trismegistus,Hermes Trismegistus,288,14,1.0,0.0,0,27,== Bibliography == | === Books ===
http://dbpedia.org/class/yago/Educator110045713,http://dbpedia.org/resource/Hermes_Trismegistus,Hermes Trismegistus,288,14,1.0,0.0,0,27,== Bibliography == | === Books ===
http://dbpedia.org/class/yago/Forecaster110102506,http://dbpedia.org/resource/Hermes_Trismegistus,Hermes Trismegistus,288,14,1.0,0.0,0,27,== Bibliography == | === Books ===
http://dbpedia.org/class/yago/Intellectual109621545,http://dbpedia.org/resource/Hermes_Trismegistus,Hermes Trismegistus,288,14,1.0,0.0,0,27,== Bibliography == | === Books ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Hermes_Trismegistus,Hermes Trismegistus,288,14,1.0,0.0,0,27,== Bibliography == | === Books ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Hermes_Trismegistus,Hermes Trismegistus,288,14,1.0,0.0,0,27,== Bibliography == | === Books ===
http://dbpedia.org/class/yago/Occultist110370381,http://dbpedia.org/resource/Hermes_Trismegistus,Hermes Trismegistus,288,14,1.0,0.0,0,27,== Bibliography == | === Books ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Hermes_Trismegistus,Hermes Trismegistus,288,14,1.0,0.0,0,27,== Bibliography == | === Books ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Hermes_Trismegistus,Hermes Trismegistus,288,14,1.0,0.0,0,27,== Bibliography == | === Books ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Hermes_Trismegistus,Hermes Trismegistus,288,14,1.0,0.0,0,27,== Bibliography == | === Books ===
http://dbpedia.org/class/yago/Professional110480253,http://dbpedia.org/resource/Hermes_Trismegistus,Hermes Trismegistus,288,14,1.0,0.0,0,27,== Bibliography == | === Books ===
http://dbpedia.org/class/yago/Teacher110694258,http://dbpedia.org/resource/Hermes_Trismegistus,Hermes Trismegistus,288,14,1.0,0.0,0,27,== Bibliography == | === Books ===
http://dbpedia.org/class/yago/Visionary110756433,http://dbpedia.org/resource/Hermes_Trismegistus,Hermes Trismegistus,288,14,1.0,0.0,0,27,== Bibliography == | === Books ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Hermes_Trismegistus,Hermes Trismegistus,288,14,1.0,0.0,0,27,== Bibliography == | === Books ===
http://dbpedia.org/class/yago/WikicatOccultWriters,http://dbpedia.org/resource/Hermes_Trismegistus,Hermes Trismegistus,288,14,1.0,0.0,0,27,== Bibliography == | === Books ===
http://dbpedia.org/class/yago/WikicatOccultists,http://dbpedia.org/resource/Hermes_Trismegistus,Hermes Trismegistus,288,14,1.0,0.0,0,27,== Bibliography == | === Books ===
