types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Touhou_Project,TOUHOU,342,0,1.0,0.0,0,137,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/WikicatIndieVideoGames,http://dbpedia.org/resource/Touhou_Project,TOUHOU,342,0,1.0,0.0,0,137,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/WikicatInternetMemes,http://dbpedia.org/resource/Touhou_Project,TOUHOU,342,0,1.0,0.0,0,137,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/WikicatJapan-exclusiveVideoGames,http://dbpedia.org/resource/Touhou_Project,TOUHOU,342,0,1.0,0.0,0,137,== Filmography == | === Video games ===
http://dbpedia.org/ontology/TelevisionShow,http://dbpedia.org/resource/Touhou_Project,TOUHOU,342,0,1.0,0.0,0,137,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/WikicatVideoGamesDevelopedInJapan,http://dbpedia.org/resource/Touhou_Project,TOUHOU,342,0,1.0,0.0,0,137,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/WikicatWindowsGames,http://dbpedia.org/resource/Touhou_Project,TOUHOU,342,0,1.0,0.0,0,137,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Touhou_Project,TOUHOU,342,0,1.0,0.0,0,137,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/WikicatNECPC-9801Games,http://dbpedia.org/resource/Touhou_Project,TOUHOU,342,0,1.0,0.0,0,137,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/WikicatShooterVideoGames,http://dbpedia.org/resource/Touhou_Project,TOUHOU,342,0,1.0,0.0,0,137,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Touhou_Project,TOUHOU,342,0,1.0,0.0,0,137,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/Acculturation105984936,http://dbpedia.org/resource/Touhou_Project,TOUHOU,342,0,1.0,0.0,0,137,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Touhou_Project,TOUHOU,342,0,1.0,0.0,0,137,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/Activity100407535,http://dbpedia.org/resource/Touhou_Project,TOUHOU,342,0,1.0,0.0,0,137,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/Arrangement107938773,http://dbpedia.org/resource/Touhou_Project,TOUHOU,342,0,1.0,0.0,0,137,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Touhou_Project,TOUHOU,342,0,1.0,0.0,0,137,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/ComputerGame100458890,http://dbpedia.org/resource/Touhou_Project,TOUHOU,342,0,1.0,0.0,0,137,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/Content105809192,http://dbpedia.org/resource/Touhou_Project,TOUHOU,342,0,1.0,0.0,0,137,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/Contest107456188,http://dbpedia.org/resource/Touhou_Project,TOUHOU,342,0,1.0,0.0,0,137,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/Diversion100426928,http://dbpedia.org/resource/Touhou_Project,TOUHOU,342,0,1.0,0.0,0,137,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Touhou_Project,TOUHOU,342,0,1.0,0.0,0,137,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/Game100430606,http://dbpedia.org/resource/Touhou_Project,TOUHOU,342,0,1.0,0.0,0,137,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/Game100456199,http://dbpedia.org/resource/Touhou_Project,TOUHOU,342,0,1.0,0.0,0,137,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Touhou_Project,TOUHOU,342,0,1.0,0.0,0,137,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/Meme105985126,http://dbpedia.org/resource/Touhou_Project,TOUHOU,342,0,1.0,0.0,0,137,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/Ordering108456993,http://dbpedia.org/resource/Touhou_Project,TOUHOU,342,0,1.0,0.0,0,137,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Touhou_Project,TOUHOU,342,0,1.0,0.0,0,137,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/Series108457976,http://dbpedia.org/resource/Touhou_Project,TOUHOU,342,0,1.0,0.0,0,137,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/SocialEvent107288639,http://dbpedia.org/resource/Touhou_Project,TOUHOU,342,0,1.0,0.0,0,137,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/Wikicat1996VideoGames,http://dbpedia.org/resource/Touhou_Project,TOUHOU,342,0,1.0,0.0,0,137,== Filmography == | === Video games ===
