types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatCityNicknamesByCityName,http://dbpedia.org/resource/Name_of_Toronto,T-Dot,223,1,0.9999998045420476,0.0,0,59,== Producer == | === Other collaborations ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Name_of_Toronto,T-Dot,223,1,0.9999998045420476,0.0,0,59,== Producer == | === Other collaborations ===
http://dbpedia.org/class/yago/Appellation106338908,http://dbpedia.org/resource/Name_of_Toronto,T-Dot,223,1,0.9999998045420476,0.0,0,59,== Producer == | === Other collaborations ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Name_of_Toronto,T-Dot,223,1,0.9999998045420476,0.0,0,59,== Producer == | === Other collaborations ===
http://dbpedia.org/class/yago/Etymology106514621,http://dbpedia.org/resource/Name_of_Toronto,T-Dot,223,1,0.9999998045420476,0.0,0,59,== Producer == | === Other collaborations ===
http://dbpedia.org/class/yago/Evidence106643408,http://dbpedia.org/resource/Name_of_Toronto,T-Dot,223,1,0.9999998045420476,0.0,0,59,== Producer == | === Other collaborations ===
http://dbpedia.org/class/yago/History106514093,http://dbpedia.org/resource/Name_of_Toronto,T-Dot,223,1,0.9999998045420476,0.0,0,59,== Producer == | === Other collaborations ===
http://dbpedia.org/class/yago/Indication106797169,http://dbpedia.org/resource/Name_of_Toronto,T-Dot,223,1,0.9999998045420476,0.0,0,59,== Producer == | === Other collaborations ===
http://dbpedia.org/class/yago/LanguageUnit106284225,http://dbpedia.org/resource/Name_of_Toronto,T-Dot,223,1,0.9999998045420476,0.0,0,59,== Producer == | === Other collaborations ===
http://dbpedia.org/class/yago/Name106333653,http://dbpedia.org/resource/Name_of_Toronto,T-Dot,223,1,0.9999998045420476,0.0,0,59,== Producer == | === Other collaborations ===
http://dbpedia.org/class/yago/Nickname106337693,http://dbpedia.org/resource/Name_of_Toronto,T-Dot,223,1,0.9999998045420476,0.0,0,59,== Producer == | === Other collaborations ===
http://dbpedia.org/class/yago/Part113809207,http://dbpedia.org/resource/Name_of_Toronto,T-Dot,223,1,0.9999998045420476,0.0,0,59,== Producer == | === Other collaborations ===
http://dbpedia.org/class/yago/Record106647206,http://dbpedia.org/resource/Name_of_Toronto,T-Dot,223,1,0.9999998045420476,0.0,0,59,== Producer == | === Other collaborations ===
http://dbpedia.org/class/yago/Relation100031921,http://dbpedia.org/resource/Name_of_Toronto,T-Dot,223,1,0.9999998045420476,0.0,0,59,== Producer == | === Other collaborations ===
http://dbpedia.org/class/yago/WikicatEtymologiesOfGeographicNames,http://dbpedia.org/resource/Name_of_Toronto,T-Dot,223,1,0.9999998045420476,0.0,0,59,== Producer == | === Other collaborations ===
