types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Badroulbadour,Badroulbadour,18,102,1.0,0.0,3,10,== Career == | === 1950s ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Badroulbadour,Badroulbadour,18,102,1.0,0.0,3,10,== Career == | === 1950s ===
http://dbpedia.org/class/yago/Aristocrat109807754,http://dbpedia.org/resource/Badroulbadour,Badroulbadour,18,102,1.0,0.0,3,10,== Career == | === 1950s ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Badroulbadour,Badroulbadour,18,102,1.0,0.0,3,10,== Career == | === 1950s ===
http://dbpedia.org/class/yago/Leader109623038,http://dbpedia.org/resource/Badroulbadour,Badroulbadour,18,102,1.0,0.0,3,10,== Career == | === 1950s ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Badroulbadour,Badroulbadour,18,102,1.0,0.0,3,10,== Career == | === 1950s ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Badroulbadour,Badroulbadour,18,102,1.0,0.0,3,10,== Career == | === 1950s ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Badroulbadour,Badroulbadour,18,102,1.0,0.0,3,10,== Career == | === 1950s ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Badroulbadour,Badroulbadour,18,102,1.0,0.0,3,10,== Career == | === 1950s ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Badroulbadour,Badroulbadour,18,102,1.0,0.0,3,10,== Career == | === 1950s ===
http://dbpedia.org/class/yago/Princess110474064,http://dbpedia.org/resource/Badroulbadour,Badroulbadour,18,102,1.0,0.0,3,10,== Career == | === 1950s ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Badroulbadour,Badroulbadour,18,102,1.0,0.0,3,10,== Career == | === 1950s ===
http://dbpedia.org/class/yago/WikicatFictionalArabPeople,http://dbpedia.org/resource/Badroulbadour,Badroulbadour,18,102,1.0,0.0,3,10,== Career == | === 1950s ===
http://dbpedia.org/class/yago/WikicatFictionalPrincesses,http://dbpedia.org/resource/Badroulbadour,Badroulbadour,18,102,1.0,0.0,3,10,== Career == | === 1950s ===
