types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Percussion_instrument,Percussion instruments,20399,0,1.0,0.0,2,51,== Musical influences and style == | === Production style ===
http://dbpedia.org/ontology/PersonFunction,http://dbpedia.org/resource/Percussion_instrument,Percussion instruments,20399,0,1.0,0.0,2,51,== Musical influences and style == | === Production style ===
http://dbpedia.org/ontology/Agent,http://dbpedia.org/resource/Percussion_instrument,Percussion instruments,20399,0,1.0,0.0,2,51,== Musical influences and style == | === Production style ===
