types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Mind_games,psychological games,61,56,1.0,0.0,4,17,== Career == | === 1950s ===
http://dbpedia.org/class/yago/Message106598915,http://dbpedia.org/resource/Mind_games,psychological games,61,56,1.0,0.0,4,17,== Career == | === 1950s ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Mind_games,psychological games,61,56,1.0,0.0,4,17,== Career == | === 1950s ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Mind_games,psychological games,61,56,1.0,0.0,4,17,== Career == | === 1950s ===
http://dbpedia.org/class/yago/Contest107456188,http://dbpedia.org/resource/Mind_games,psychological games,61,56,1.0,0.0,4,17,== Career == | === 1950s ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Mind_games,psychological games,61,56,1.0,0.0,4,17,== Career == | === 1950s ===
http://dbpedia.org/class/yago/Game100456199,http://dbpedia.org/resource/Mind_games,psychological games,61,56,1.0,0.0,4,17,== Career == | === 1950s ===
http://dbpedia.org/class/yago/WikicatGames,http://dbpedia.org/resource/Mind_games,psychological games,61,56,1.0,0.0,4,17,== Career == | === 1950s ===
http://dbpedia.org/class/yago/WikicatLogicPuzzles,http://dbpedia.org/resource/Mind_games,psychological games,61,56,1.0,0.0,4,17,== Career == | === 1950s ===
http://dbpedia.org/class/yago/SocialEvent107288639,http://dbpedia.org/resource/Mind_games,psychological games,61,56,1.0,0.0,4,17,== Career == | === 1950s ===
http://dbpedia.org/class/yago/Subject106599788,http://dbpedia.org/resource/Mind_games,psychological games,61,56,1.0,0.0,4,17,== Career == | === 1950s ===
http://dbpedia.org/class/yago/Problem106784003,http://dbpedia.org/resource/Mind_games,psychological games,61,56,1.0,0.0,4,17,== Career == | === 1950s ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Mind_games,psychological games,61,56,1.0,0.0,4,17,== Career == | === 1950s ===
http://dbpedia.org/class/yago/Puzzle106784639,http://dbpedia.org/resource/Mind_games,psychological games,61,56,1.0,0.0,4,17,== Career == | === 1950s ===
http://dbpedia.org/class/yago/Question106783768,http://dbpedia.org/resource/Mind_games,psychological games,61,56,1.0,0.0,4,17,== Career == | === 1950s ===
http://dbpedia.org/class/yago/WikicatPuzzles,http://dbpedia.org/resource/Mind_games,psychological games,61,56,1.0,0.0,4,17,== Career == | === 1950s ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Mind_games,psychological games,61,56,1.0,0.0,4,17,== Career == | === 1950s ===
