types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Brigid_Berlin,Brigid Berlin,58,69,1.0,0.0,1,41,== Works == | === Filmography ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Brigid_Berlin,Brigid Berlin,58,69,1.0,0.0,1,41,== Works == | === Filmography ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Brigid_Berlin,Brigid Berlin,58,69,1.0,0.0,1,41,== Works == | === Filmography ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Brigid_Berlin,Brigid Berlin,58,69,1.0,0.0,1,41,== Works == | === Filmography ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Brigid_Berlin,Brigid Berlin,58,69,1.0,0.0,1,41,== Works == | === Filmography ===
http://dbpedia.org/class/yago/Ace109762509,http://dbpedia.org/resource/Brigid_Berlin,Brigid Berlin,58,69,1.0,0.0,1,41,== Works == | === Filmography ===
http://dbpedia.org/class/yago/Actor109765278,http://dbpedia.org/resource/Brigid_Berlin,Brigid Berlin,58,69,1.0,0.0,1,41,== Works == | === Filmography ===
http://dbpedia.org/class/yago/Adult109605289,http://dbpedia.org/resource/Brigid_Berlin,Brigid Berlin,58,69,1.0,0.0,1,41,== Works == | === Filmography ===
http://dbpedia.org/class/yago/Artist109812338,http://dbpedia.org/resource/Brigid_Berlin,Brigid Berlin,58,69,1.0,0.0,1,41,== Works == | === Filmography ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Brigid_Berlin,Brigid Berlin,58,69,1.0,0.0,1,41,== Works == | === Filmography ===
http://dbpedia.org/class/yago/Creator109614315,http://dbpedia.org/resource/Brigid_Berlin,Brigid Berlin,58,69,1.0,0.0,1,41,== Works == | === Filmography ===
http://dbpedia.org/class/yago/Entertainer109616922,http://dbpedia.org/resource/Brigid_Berlin,Brigid Berlin,58,69,1.0,0.0,1,41,== Works == | === Filmography ===
http://dbpedia.org/class/yago/Expert109617867,http://dbpedia.org/resource/Brigid_Berlin,Brigid Berlin,58,69,1.0,0.0,1,41,== Works == | === Filmography ===
http://dbpedia.org/class/yago/Female109619168,http://dbpedia.org/resource/Brigid_Berlin,Brigid Berlin,58,69,1.0,0.0,1,41,== Works == | === Filmography ===
http://dbpedia.org/class/yago/FilmMaker110088390,http://dbpedia.org/resource/Brigid_Berlin,Brigid Berlin,58,69,1.0,0.0,1,41,== Works == | === Filmography ===
http://umbel.org/umbel/rc/Actor,http://dbpedia.org/resource/Brigid_Berlin,Brigid Berlin,58,69,1.0,0.0,1,41,== Works == | === Filmography ===
http://umbel.org/umbel/rc/Artist,http://dbpedia.org/resource/Brigid_Berlin,Brigid Berlin,58,69,1.0,0.0,1,41,== Works == | === Filmography ===
http://umbel.org/umbel/rc/PersonWithOccupation,http://dbpedia.org/resource/Brigid_Berlin,Brigid Berlin,58,69,1.0,0.0,1,41,== Works == | === Filmography ===
http://dbpedia.org/class/yago/WikicatPeopleFromNewYorkCity,http://dbpedia.org/resource/Brigid_Berlin,Brigid Berlin,58,69,1.0,0.0,1,41,== Works == | === Filmography ===
http://dbpedia.org/class/yago/WikicatPerformanceArtists,http://dbpedia.org/resource/Brigid_Berlin,Brigid Berlin,58,69,1.0,0.0,1,41,== Works == | === Filmography ===
http://dbpedia.org/class/yago/WikicatLivingPeople,http://dbpedia.org/resource/Brigid_Berlin,Brigid Berlin,58,69,1.0,0.0,1,41,== Works == | === Filmography ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Brigid_Berlin,Brigid Berlin,58,69,1.0,0.0,1,41,== Works == | === Filmography ===
http://dbpedia.org/class/yago/Wikicat20th-centuryAmericanPainters,http://dbpedia.org/resource/Brigid_Berlin,Brigid Berlin,58,69,1.0,0.0,1,41,== Works == | === Filmography ===
http://dbpedia.org/class/yago/Wikicat21st-centuryAmericanPainters,http://dbpedia.org/resource/Brigid_Berlin,Brigid Berlin,58,69,1.0,0.0,1,41,== Works == | === Filmography ===
http://dbpedia.org/class/yago/WikicatActors,http://dbpedia.org/resource/Brigid_Berlin,Brigid Berlin,58,69,1.0,0.0,1,41,== Works == | === Filmography ===
http://dbpedia.org/class/yago/Painter110391653,http://dbpedia.org/resource/Brigid_Berlin,Brigid Berlin,58,69,1.0,0.0,1,41,== Works == | === Filmography ===
