types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Franz_Passow,Franz Passow,17,207,1.0,0.0,7,9,== Life == | === Education ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Franz_Passow,Franz Passow,17,207,1.0,0.0,7,9,== Life == | === Education ===
http://dbpedia.org/class/yago/Humanist110191192,http://dbpedia.org/resource/Franz_Passow,Franz Passow,17,207,1.0,0.0,7,9,== Life == | === Education ===
http://dbpedia.org/class/yago/Intellectual109621545,http://dbpedia.org/resource/Franz_Passow,Franz Passow,17,207,1.0,0.0,7,9,== Life == | === Education ===
http://dbpedia.org/class/yago/Lexicographer110256080,http://dbpedia.org/resource/Franz_Passow,Franz Passow,17,207,1.0,0.0,7,9,== Life == | === Education ===
http://dbpedia.org/class/yago/Linguist110264437,http://dbpedia.org/resource/Franz_Passow,Franz Passow,17,207,1.0,0.0,7,9,== Life == | === Education ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Franz_Passow,Franz Passow,17,207,1.0,0.0,7,9,== Life == | === Education ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Franz_Passow,Franz Passow,17,207,1.0,0.0,7,9,== Life == | === Education ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Franz_Passow,Franz Passow,17,207,1.0,0.0,7,9,== Life == | === Education ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Franz_Passow,Franz Passow,17,207,1.0,0.0,7,9,== Life == | === Education ===
http://dbpedia.org/class/yago/Classicist109926656,http://dbpedia.org/resource/Franz_Passow,Franz Passow,17,207,1.0,0.0,7,9,== Life == | === Education ===
http://dbpedia.org/class/yago/Communicator109610660,http://dbpedia.org/resource/Franz_Passow,Franz Passow,17,207,1.0,0.0,7,9,== Life == | === Education ===
http://dbpedia.org/class/yago/Compiler109946957,http://dbpedia.org/resource/Franz_Passow,Franz Passow,17,207,1.0,0.0,7,9,== Life == | === Education ===
http://dbpedia.org/class/yago/WikicatGermanClassicalScholars,http://dbpedia.org/resource/Franz_Passow,Franz Passow,17,207,1.0,0.0,7,9,== Life == | === Education ===
http://dbpedia.org/class/yago/WikicatGermanLexicographers,http://dbpedia.org/resource/Franz_Passow,Franz Passow,17,207,1.0,0.0,7,9,== Life == | === Education ===
http://dbpedia.org/class/yago/WikicatPeopleFromLudwigslust,http://dbpedia.org/resource/Franz_Passow,Franz Passow,17,207,1.0,0.0,7,9,== Life == | === Education ===
http://dbpedia.org/class/yago/WikicatPeopleFromTheDuchyOfMecklenburg-Schwerin,http://dbpedia.org/resource/Franz_Passow,Franz Passow,17,207,1.0,0.0,7,9,== Life == | === Education ===
http://dbpedia.org/class/yago/Scholar110557854,http://dbpedia.org/resource/Franz_Passow,Franz Passow,17,207,1.0,0.0,7,9,== Life == | === Education ===
http://dbpedia.org/class/yago/Scientist110560637,http://dbpedia.org/resource/Franz_Passow,Franz Passow,17,207,1.0,0.0,7,9,== Life == | === Education ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Franz_Passow,Franz Passow,17,207,1.0,0.0,7,9,== Life == | === Education ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Franz_Passow,Franz Passow,17,207,1.0,0.0,7,9,== Life == | === Education ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Franz_Passow,Franz Passow,17,207,1.0,0.0,7,9,== Life == | === Education ===
http://dbpedia.org/class/yago/WikicatEthnicGermanPeople,http://dbpedia.org/resource/Franz_Passow,Franz Passow,17,207,1.0,0.0,7,9,== Life == | === Education ===
http://dbpedia.org/class/yago/WikicatScholarsOfAncientGreek,http://dbpedia.org/resource/Franz_Passow,Franz Passow,17,207,1.0,0.0,7,9,== Life == | === Education ===
http://dbpedia.org/class/yago/Writer110794014,http://dbpedia.org/resource/Franz_Passow,Franz Passow,17,207,1.0,0.0,7,9,== Life == | === Education ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Franz_Passow,Franz Passow,17,207,1.0,0.0,7,9,== Life == | === Education ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Franz_Passow,Franz Passow,17,207,1.0,0.0,7,9,== Life == | === Education ===
