types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/United_States_embargo_against_Cuba,embargo,384,71,0.9497737446864296,0.0525636524243833,2,23,== Career == | === 1990s ===
http://dbpedia.org/class/yago/WikicatInternationalSanctions,http://dbpedia.org/resource/United_States_embargo_against_Cuba,embargo,384,71,0.9497737446864296,0.0525636524243833,2,23,== Career == | === 1990s ===
http://dbpedia.org/ontology/MilitaryConflict,http://dbpedia.org/resource/United_States_embargo_against_Cuba,embargo,384,71,0.9497737446864296,0.0525636524243833,2,23,== Career == | === 1990s ===
http://dbpedia.org/class/yago/WikicatBoycottsOfCuba,http://dbpedia.org/resource/United_States_embargo_against_Cuba,embargo,384,71,0.9497737446864296,0.0525636524243833,2,23,== Career == | === 1990s ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/United_States_embargo_against_Cuba,embargo,384,71,0.9497737446864296,0.0525636524243833,2,23,== Career == | === 1990s ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/United_States_embargo_against_Cuba,embargo,384,71,0.9497737446864296,0.0525636524243833,2,23,== Career == | === 1990s ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/United_States_embargo_against_Cuba,embargo,384,71,0.9497737446864296,0.0525636524243833,2,23,== Career == | === 1990s ===
http://dbpedia.org/class/yago/Approval106686736,http://dbpedia.org/resource/United_States_embargo_against_Cuba,embargo,384,71,0.9497737446864296,0.0525636524243833,2,23,== Career == | === 1990s ===
http://dbpedia.org/class/yago/Argumentation105773049,http://dbpedia.org/resource/United_States_embargo_against_Cuba,embargo,384,71,0.9497737446864296,0.0525636524243833,2,23,== Career == | === 1990s ===
http://dbpedia.org/class/yago/Boycott100206130,http://dbpedia.org/resource/United_States_embargo_against_Cuba,embargo,384,71,0.9497737446864296,0.0525636524243833,2,23,== Career == | === 1990s ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/United_States_embargo_against_Cuba,embargo,384,71,0.9497737446864296,0.0525636524243833,2,23,== Career == | === 1990s ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/United_States_embargo_against_Cuba,embargo,384,71,0.9497737446864296,0.0525636524243833,2,23,== Career == | === 1990s ===
http://dbpedia.org/class/yago/EconomicPolicy106656741,http://dbpedia.org/resource/United_States_embargo_against_Cuba,embargo,384,71,0.9497737446864296,0.0525636524243833,2,23,== Career == | === 1990s ===
http://dbpedia.org/class/yago/Embargo106660520,http://dbpedia.org/resource/United_States_embargo_against_Cuba,embargo,384,71,0.9497737446864296,0.0525636524243833,2,23,== Career == | === 1990s ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/United_States_embargo_against_Cuba,embargo,384,71,0.9497737446864296,0.0525636524243833,2,23,== Career == | === 1990s ===
http://dbpedia.org/class/yago/GroupAction101080366,http://dbpedia.org/resource/United_States_embargo_against_Cuba,embargo,384,71,0.9497737446864296,0.0525636524243833,2,23,== Career == | === 1990s ===
http://dbpedia.org/class/yago/HigherCognitiveProcess105770664,http://dbpedia.org/resource/United_States_embargo_against_Cuba,embargo,384,71,0.9497737446864296,0.0525636524243833,2,23,== Career == | === 1990s ===
http://dbpedia.org/class/yago/Message106598915,http://dbpedia.org/resource/United_States_embargo_against_Cuba,embargo,384,71,0.9497737446864296,0.0525636524243833,2,23,== Career == | === 1990s ===
http://dbpedia.org/class/yago/Policy106656408,http://dbpedia.org/resource/United_States_embargo_against_Cuba,embargo,384,71,0.9497737446864296,0.0525636524243833,2,23,== Career == | === 1990s ===
http://dbpedia.org/class/yago/Process105701363,http://dbpedia.org/resource/United_States_embargo_against_Cuba,embargo,384,71,0.9497737446864296,0.0525636524243833,2,23,== Career == | === 1990s ===
http://dbpedia.org/class/yago/Protectionism106658786,http://dbpedia.org/resource/United_States_embargo_against_Cuba,embargo,384,71,0.9497737446864296,0.0525636524243833,2,23,== Career == | === 1990s ===
