types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Social_media_use_by_Donald_Trump,tweeted,162,99,0.6436111497972301,0.5537330255848475,11,12,== Career == | === 2020–present: Punisher ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Phoebe_Waller-Bridge,Phoebe Waller-Bridge,153,88,1.0,0.0,1,13,== Career == | === 2020–present: Punisher ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Phoebe_Waller-Bridge,Phoebe Waller-Bridge,153,88,1.0,0.0,1,13,== Career == | === 2020–present: Punisher ===
http://dbpedia.org/class/yago/Writer110794014,http://dbpedia.org/resource/Phoebe_Waller-Bridge,Phoebe Waller-Bridge,153,88,1.0,0.0,1,13,== Career == | === 2020–present: Punisher ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Phoebe_Waller-Bridge,Phoebe Waller-Bridge,153,88,1.0,0.0,1,13,== Career == | === 2020–present: Punisher ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Phoebe_Waller-Bridge,Phoebe Waller-Bridge,153,88,1.0,0.0,1,13,== Career == | === 2020–present: Punisher ===
http://dbpedia.org/class/yago/WikicatLivingPeople,http://dbpedia.org/resource/Phoebe_Waller-Bridge,Phoebe Waller-Bridge,153,88,1.0,0.0,1,13,== Career == | === 2020–present: Punisher ===
http://dbpedia.org/class/yago/Actor109765278,http://dbpedia.org/resource/Phoebe_Waller-Bridge,Phoebe Waller-Bridge,153,88,1.0,0.0,1,13,== Career == | === 2020–present: Punisher ===
http://dbpedia.org/class/yago/Actress109767700,http://dbpedia.org/resource/Phoebe_Waller-Bridge,Phoebe Waller-Bridge,153,88,1.0,0.0,1,13,== Career == | === 2020–present: Punisher ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Phoebe_Waller-Bridge,Phoebe Waller-Bridge,153,88,1.0,0.0,1,13,== Career == | === 2020–present: Punisher ===
http://dbpedia.org/class/yago/Communicator109610660,http://dbpedia.org/resource/Phoebe_Waller-Bridge,Phoebe Waller-Bridge,153,88,1.0,0.0,1,13,== Career == | === 2020–present: Punisher ===
http://dbpedia.org/class/yago/Director110015215,http://dbpedia.org/resource/Phoebe_Waller-Bridge,Phoebe Waller-Bridge,153,88,1.0,0.0,1,13,== Career == | === 2020–present: Punisher ===
http://dbpedia.org/class/yago/Dramatist110030277,http://dbpedia.org/resource/Phoebe_Waller-Bridge,Phoebe Waller-Bridge,153,88,1.0,0.0,1,13,== Career == | === 2020–present: Punisher ===
http://dbpedia.org/class/yago/Entertainer109616922,http://dbpedia.org/resource/Phoebe_Waller-Bridge,Phoebe Waller-Bridge,153,88,1.0,0.0,1,13,== Career == | === 2020–present: Punisher ===
http://dbpedia.org/class/yago/Leader109623038,http://dbpedia.org/resource/Phoebe_Waller-Bridge,Phoebe Waller-Bridge,153,88,1.0,0.0,1,13,== Career == | === 2020–present: Punisher ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Phoebe_Waller-Bridge,Phoebe Waller-Bridge,153,88,1.0,0.0,1,13,== Career == | === 2020–present: Punisher ===
