types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Convention_on_the_Rights_of_Persons_with_Disabilities,CRPD,14,81,0.9999992154066272,0.0,0,13,== Discography == | === As Leader ===
http://dbpedia.org/class/yago/WikicatAnti-discriminationTreaties,http://dbpedia.org/resource/Convention_on_the_Rights_of_Persons_with_Disabilities,CRPD,14,81,0.9999992154066272,0.0,0,13,== Discography == | === As Leader ===
http://dbpedia.org/ontology/Agent,http://dbpedia.org/resource/Convention_on_the_Rights_of_Persons_with_Disabilities,CRPD,14,81,0.9999992154066272,0.0,0,13,== Discography == | === As Leader ===
http://dbpedia.org/class/yago/WikicatHumanRights,http://dbpedia.org/resource/Convention_on_the_Rights_of_Persons_with_Disabilities,CRPD,14,81,0.9999992154066272,0.0,0,13,== Discography == | === As Leader ===
http://dbpedia.org/class/yago/WikicatDisabilityRights,http://dbpedia.org/resource/Convention_on_the_Rights_of_Persons_with_Disabilities,CRPD,14,81,0.9999992154066272,0.0,0,13,== Discography == | === As Leader ===
http://dbpedia.org/class/yago/WikicatUnitedNationsTreaties,http://dbpedia.org/resource/Convention_on_the_Rights_of_Persons_with_Disabilities,CRPD,14,81,0.9999992154066272,0.0,0,13,== Discography == | === As Leader ===
http://dbpedia.org/class/yago/Writing106362953,http://dbpedia.org/resource/Convention_on_the_Rights_of_Persons_with_Disabilities,CRPD,14,81,0.9999992154066272,0.0,0,13,== Discography == | === As Leader ===
http://dbpedia.org/class/yago/WrittenAgreement106771653,http://dbpedia.org/resource/Convention_on_the_Rights_of_Persons_with_Disabilities,CRPD,14,81,0.9999992154066272,0.0,0,13,== Discography == | === As Leader ===
http://dbpedia.org/class/yago/WrittenCommunication106349220,http://dbpedia.org/resource/Convention_on_the_Rights_of_Persons_with_Disabilities,CRPD,14,81,0.9999992154066272,0.0,0,13,== Discography == | === As Leader ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Convention_on_the_Rights_of_Persons_with_Disabilities,CRPD,14,81,0.9999992154066272,0.0,0,13,== Discography == | === As Leader ===
http://dbpedia.org/class/yago/Abstraction105854150,http://dbpedia.org/resource/Convention_on_the_Rights_of_Persons_with_Disabilities,CRPD,14,81,0.9999992154066272,0.0,0,13,== Discography == | === As Leader ===
http://dbpedia.org/class/yago/Agreement106770275,http://dbpedia.org/resource/Convention_on_the_Rights_of_Persons_with_Disabilities,CRPD,14,81,0.9999992154066272,0.0,0,13,== Discography == | === As Leader ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Convention_on_the_Rights_of_Persons_with_Disabilities,CRPD,14,81,0.9999992154066272,0.0,0,13,== Discography == | === As Leader ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Convention_on_the_Rights_of_Persons_with_Disabilities,CRPD,14,81,0.9999992154066272,0.0,0,13,== Discography == | === As Leader ===
http://dbpedia.org/class/yago/Concept105835747,http://dbpedia.org/resource/Convention_on_the_Rights_of_Persons_with_Disabilities,CRPD,14,81,0.9999992154066272,0.0,0,13,== Discography == | === As Leader ===
