types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/ImaginaryBeing109483738,http://dbpedia.org/resource/Dante's_Satan,devil,221,281,0.6315125093595381,0.3142509735106313,0,49,== Personal life == | === Religious beliefs ===
http://dbpedia.org/class/yago/Imagination105625465,http://dbpedia.org/resource/Dante's_Satan,devil,221,281,0.6315125093595381,0.3142509735106313,0,49,== Personal life == | === Religious beliefs ===
http://dbpedia.org/class/yago/Ability105616246,http://dbpedia.org/resource/Dante's_Satan,devil,221,281,0.6315125093595381,0.3142509735106313,0,49,== Personal life == | === Religious beliefs ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Dante's_Satan,devil,221,281,0.6315125093595381,0.3142509735106313,0,49,== Personal life == | === Religious beliefs ===
http://dbpedia.org/class/yago/Angel109538915,http://dbpedia.org/resource/Dante's_Satan,devil,221,281,0.6315125093595381,0.3142509735106313,0,49,== Personal life == | === Religious beliefs ===
http://dbpedia.org/class/yago/Belief105941423,http://dbpedia.org/resource/Dante's_Satan,devil,221,281,0.6315125093595381,0.3142509735106313,0,49,== Personal life == | === Religious beliefs ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Dante's_Satan,devil,221,281,0.6315125093595381,0.3142509735106313,0,49,== Personal life == | === Religious beliefs ===
http://dbpedia.org/class/yago/Content105809192,http://dbpedia.org/resource/Dante's_Satan,devil,221,281,0.6315125093595381,0.3142509735106313,0,49,== Personal life == | === Religious beliefs ===
http://dbpedia.org/class/yago/Creativity105624700,http://dbpedia.org/resource/Dante's_Satan,devil,221,281,0.6315125093595381,0.3142509735106313,0,49,== Personal life == | === Religious beliefs ===
http://dbpedia.org/class/yago/Deity109505418,http://dbpedia.org/resource/Dante's_Satan,devil,221,281,0.6315125093595381,0.3142509735106313,0,49,== Personal life == | === Religious beliefs ===
http://dbpedia.org/class/yago/Devil109542339,http://dbpedia.org/resource/Dante's_Satan,devil,221,281,0.6315125093595381,0.3142509735106313,0,49,== Personal life == | === Religious beliefs ===
http://dbpedia.org/class/yago/EvilSpirit109541919,http://dbpedia.org/resource/Dante's_Satan,devil,221,281,0.6315125093595381,0.3142509735106313,0,49,== Personal life == | === Religious beliefs ===
http://dbpedia.org/class/yago/FictionalCharacter109587565,http://dbpedia.org/resource/Dante's_Satan,devil,221,281,0.6315125093595381,0.3142509735106313,0,49,== Personal life == | === Religious beliefs ===
http://dbpedia.org/class/yago/WikicatCharactersInDante'sDivineComedy,http://dbpedia.org/resource/Dante's_Satan,devil,221,281,0.6315125093595381,0.3142509735106313,0,49,== Personal life == | === Religious beliefs ===
http://dbpedia.org/class/yago/Spirit109545324,http://dbpedia.org/resource/Dante's_Satan,devil,221,281,0.6315125093595381,0.3142509735106313,0,49,== Personal life == | === Religious beliefs ===
http://dbpedia.org/class/yago/SpiritualBeing109504135,http://dbpedia.org/resource/Dante's_Satan,devil,221,281,0.6315125093595381,0.3142509735106313,0,49,== Personal life == | === Religious beliefs ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Dante's_Satan,devil,221,281,0.6315125093595381,0.3142509735106313,0,49,== Personal life == | === Religious beliefs ===
http://dbpedia.org/class/yago/WikicatFallenAngels,http://dbpedia.org/resource/Dante's_Satan,devil,221,281,0.6315125093595381,0.3142509735106313,0,49,== Personal life == | === Religious beliefs ===
http://dbpedia.org/class/yago/WikicatFictionalDeities,http://dbpedia.org/resource/Dante's_Satan,devil,221,281,0.6315125093595381,0.3142509735106313,0,49,== Personal life == | === Religious beliefs ===
http://dbpedia.org/class/yago/WikicatFictionalDemonsAndDevils,http://dbpedia.org/resource/Dante's_Satan,devil,221,281,0.6315125093595381,0.3142509735106313,0,49,== Personal life == | === Religious beliefs ===
