types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/ImaginaryBeing109483738,http://dbpedia.org/resource/Huma_bird,HUMA,57,56,0.999999777200312,2.22681356464259e-07,0,32,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Imagination105625465,http://dbpedia.org/resource/Huma_bird,HUMA,57,56,0.999999777200312,2.22681356464259e-07,0,32,== Discography == | === Singles ===
http://dbpedia.org/class/yago/LegendaryCreature109487022,http://dbpedia.org/resource/Huma_bird,HUMA,57,56,0.999999777200312,2.22681356464259e-07,0,32,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Monster109491966,http://dbpedia.org/resource/Huma_bird,HUMA,57,56,0.999999777200312,2.22681356464259e-07,0,32,== Discography == | === Singles ===
http://dbpedia.org/class/yago/MythicalBeing109484664,http://dbpedia.org/resource/Huma_bird,HUMA,57,56,0.999999777200312,2.22681356464259e-07,0,32,== Discography == | === Singles ===
http://dbpedia.org/class/yago/MythicalMonster109492123,http://dbpedia.org/resource/Huma_bird,HUMA,57,56,0.999999777200312,2.22681356464259e-07,0,32,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Ability105616246,http://dbpedia.org/resource/Huma_bird,HUMA,57,56,0.999999777200312,2.22681356464259e-07,0,32,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Huma_bird,HUMA,57,56,0.999999777200312,2.22681356464259e-07,0,32,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Huma_bird,HUMA,57,56,0.999999777200312,2.22681356464259e-07,0,32,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Huma_bird,HUMA,57,56,0.999999777200312,2.22681356464259e-07,0,32,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Creativity105624700,http://dbpedia.org/resource/Huma_bird,HUMA,57,56,0.999999777200312,2.22681356464259e-07,0,32,== Discography == | === Singles ===
http://dbpedia.org/ontology/Bird,http://dbpedia.org/resource/Huma_bird,HUMA,57,56,0.999999777200312,2.22681356464259e-07,0,32,== Discography == | === Singles ===
http://dbpedia.org/class/yago/WikicatNationalSymbolsOfIran,http://dbpedia.org/resource/Huma_bird,HUMA,57,56,0.999999777200312,2.22681356464259e-07,0,32,== Discography == | === Singles ===
http://dbpedia.org/class/yago/WikicatPersianLegendaryCreatures,http://dbpedia.org/resource/Huma_bird,HUMA,57,56,0.999999777200312,2.22681356464259e-07,0,32,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Signal106791372,http://dbpedia.org/resource/Huma_bird,HUMA,57,56,0.999999777200312,2.22681356464259e-07,0,32,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Symbol106806469,http://dbpedia.org/resource/Huma_bird,HUMA,57,56,0.999999777200312,2.22681356464259e-07,0,32,== Discography == | === Singles ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Huma_bird,HUMA,57,56,0.999999777200312,2.22681356464259e-07,0,32,== Discography == | === Singles ===
