types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatIndianMusicalInstruments,http://dbpedia.org/resource/Chimta,chimta,23,136,1.0,0.0,4,5,== Biography == | === Collector ===
http://dbpedia.org/class/yago/WikicatPercussionInstruments,http://dbpedia.org/resource/Chimta,chimta,23,136,1.0,0.0,4,5,== Biography == | === Collector ===
http://dbpedia.org/class/yago/WikicatMembranophones,http://dbpedia.org/resource/Chimta,chimta,23,136,1.0,0.0,4,5,== Biography == | === Collector ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Chimta,chimta,23,136,1.0,0.0,4,5,== Biography == | === Collector ===
http://dbpedia.org/class/yago/Device103183080,http://dbpedia.org/resource/Chimta,chimta,23,136,1.0,0.0,4,5,== Biography == | === Collector ===
http://dbpedia.org/class/yago/Drum103249569,http://dbpedia.org/resource/Chimta,chimta,23,136,1.0,0.0,4,5,== Biography == | === Collector ===
http://dbpedia.org/class/yago/Instrument103574816,http://dbpedia.org/resource/Chimta,chimta,23,136,1.0,0.0,4,5,== Biography == | === Collector ===
http://dbpedia.org/class/yago/Instrumentality103575240,http://dbpedia.org/resource/Chimta,chimta,23,136,1.0,0.0,4,5,== Biography == | === Collector ===
http://dbpedia.org/class/yago/MusicalInstrument103800933,http://dbpedia.org/resource/Chimta,chimta,23,136,1.0,0.0,4,5,== Biography == | === Collector ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Chimta,chimta,23,136,1.0,0.0,4,5,== Biography == | === Collector ===
http://dbpedia.org/class/yago/PercussionInstrument103915437,http://dbpedia.org/resource/Chimta,chimta,23,136,1.0,0.0,4,5,== Biography == | === Collector ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Chimta,chimta,23,136,1.0,0.0,4,5,== Biography == | === Collector ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Chimta,chimta,23,136,1.0,0.0,4,5,== Biography == | === Collector ===
http://dbpedia.org/class/yago/WikicatFolkInstrumentsOfPunjab,http://dbpedia.org/resource/Chimta,chimta,23,136,1.0,0.0,4,5,== Biography == | === Collector ===
http://dbpedia.org/class/yago/WikicatPakistaniMusicalInstruments,http://dbpedia.org/resource/Chimta,chimta,23,136,1.0,0.0,4,5,== Biography == | === Collector ===
http://dbpedia.org/ontology/Agent,http://dbpedia.org/resource/Jal_tarang,jal tarang,62,154,1.0,0.0,4,5,== Biography == | === Collector ===
http://dbpedia.org/class/yago/WikicatIndianMusicalInstruments,http://dbpedia.org/resource/Jal_tarang,jal tarang,62,154,1.0,0.0,4,5,== Biography == | === Collector ===
http://dbpedia.org/class/yago/WikicatPercussionInstruments,http://dbpedia.org/resource/Jal_tarang,jal tarang,62,154,1.0,0.0,4,5,== Biography == | === Collector ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Jal_tarang,jal tarang,62,154,1.0,0.0,4,5,== Biography == | === Collector ===
http://dbpedia.org/class/yago/Device103183080,http://dbpedia.org/resource/Jal_tarang,jal tarang,62,154,1.0,0.0,4,5,== Biography == | === Collector ===
http://dbpedia.org/class/yago/Instrument103574816,http://dbpedia.org/resource/Jal_tarang,jal tarang,62,154,1.0,0.0,4,5,== Biography == | === Collector ===
http://dbpedia.org/class/yago/Instrumentality103575240,http://dbpedia.org/resource/Jal_tarang,jal tarang,62,154,1.0,0.0,4,5,== Biography == | === Collector ===
http://dbpedia.org/class/yago/MusicalInstrument103800933,http://dbpedia.org/resource/Jal_tarang,jal tarang,62,154,1.0,0.0,4,5,== Biography == | === Collector ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Jal_tarang,jal tarang,62,154,1.0,0.0,4,5,== Biography == | === Collector ===
http://dbpedia.org/class/yago/PercussionInstrument103915437,http://dbpedia.org/resource/Jal_tarang,jal tarang,62,154,1.0,0.0,4,5,== Biography == | === Collector ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Jal_tarang,jal tarang,62,154,1.0,0.0,4,5,== Biography == | === Collector ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Jal_tarang,jal tarang,62,154,1.0,0.0,4,5,== Biography == | === Collector ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Lujon_(musical_instrument),lujon,3,174,0.7523396668447446,0.0,4,5,== Biography == | === Collector ===
http://dbpedia.org/class/yago/Device103183080,http://dbpedia.org/resource/Lujon_(musical_instrument),lujon,3,174,0.7523396668447446,0.0,4,5,== Biography == | === Collector ===
http://dbpedia.org/class/yago/Instrument103574816,http://dbpedia.org/resource/Lujon_(musical_instrument),lujon,3,174,0.7523396668447446,0.0,4,5,== Biography == | === Collector ===
http://dbpedia.org/class/yago/Instrumentality103575240,http://dbpedia.org/resource/Lujon_(musical_instrument),lujon,3,174,0.7523396668447446,0.0,4,5,== Biography == | === Collector ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Lujon_(musical_instrument),lujon,3,174,0.7523396668447446,0.0,4,5,== Biography == | === Collector ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Lujon_(musical_instrument),lujon,3,174,0.7523396668447446,0.0,4,5,== Biography == | === Collector ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Lujon_(musical_instrument),lujon,3,174,0.7523396668447446,0.0,4,5,== Biography == | === Collector ===
http://dbpedia.org/class/yago/WikicatAsianPercussionInstruments,http://dbpedia.org/resource/Bell_plate,bell plate,14,157,1.0,0.0,9,5,== Biography == | === Collector ===
http://dbpedia.org/ontology/Agent,http://dbpedia.org/resource/Bell_plate,bell plate,14,157,1.0,0.0,9,5,== Biography == | === Collector ===
http://dbpedia.org/class/yago/WikicatPercussionInstrumentsPlayedWithSpecialisedBeaters,http://dbpedia.org/resource/Bell_plate,bell plate,14,157,1.0,0.0,9,5,== Biography == | === Collector ===
http://dbpedia.org/class/yago/WikicatPercussionInstrumentsUsedInWorship,http://dbpedia.org/resource/Bell_plate,bell plate,14,157,1.0,0.0,9,5,== Biography == | === Collector ===
http://dbpedia.org/class/yago/WikicatMusicalInstrumentsPlayedWithDrumSticks,http://dbpedia.org/resource/Bell_plate,bell plate,14,157,1.0,0.0,9,5,== Biography == | === Collector ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Bell_plate,bell plate,14,157,1.0,0.0,9,5,== Biography == | === Collector ===
http://dbpedia.org/class/yago/Device103183080,http://dbpedia.org/resource/Bell_plate,bell plate,14,157,1.0,0.0,9,5,== Biography == | === Collector ===
http://dbpedia.org/class/yago/Instrument103574816,http://dbpedia.org/resource/Bell_plate,bell plate,14,157,1.0,0.0,9,5,== Biography == | === Collector ===
http://dbpedia.org/class/yago/Instrumentality103575240,http://dbpedia.org/resource/Bell_plate,bell plate,14,157,1.0,0.0,9,5,== Biography == | === Collector ===
http://dbpedia.org/class/yago/MusicalInstrument103800933,http://dbpedia.org/resource/Bell_plate,bell plate,14,157,1.0,0.0,9,5,== Biography == | === Collector ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Bell_plate,bell plate,14,157,1.0,0.0,9,5,== Biography == | === Collector ===
http://dbpedia.org/class/yago/PercussionInstrument103915437,http://dbpedia.org/resource/Bell_plate,bell plate,14,157,1.0,0.0,9,5,== Biography == | === Collector ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Bell_plate,bell plate,14,157,1.0,0.0,9,5,== Biography == | === Collector ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Bell_plate,bell plate,14,157,1.0,0.0,9,5,== Biography == | === Collector ===
http://dbpedia.org/ontology/SoccerLeague,http://dbpedia.org/resource/Surfmen,Surfmen,25,35,0.999999869205604,0.0,0,15,== Discography == | === As leader ===
http://dbpedia.org/class/yago/WikicatUnitedStatesLife-SavingService,http://dbpedia.org/resource/Surfmen,Surfmen,25,35,0.999999869205604,0.0,0,15,== Discography == | === As leader ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Surfmen,Surfmen,25,35,0.999999869205604,0.0,0,15,== Discography == | === As leader ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Surfmen,Surfmen,25,35,0.999999869205604,0.0,0,15,== Discography == | === As leader ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Surfmen,Surfmen,25,35,0.999999869205604,0.0,0,15,== Discography == | === As leader ===
http://dbpedia.org/class/yago/AdministrativeDistrict108491826,http://dbpedia.org/resource/Surfmen,Surfmen,25,35,0.999999869205604,0.0,0,15,== Discography == | === As leader ===
http://dbpedia.org/class/yago/District108552138,http://dbpedia.org/resource/Surfmen,Surfmen,25,35,0.999999869205604,0.0,0,15,== Discography == | === As leader ===
http://dbpedia.org/class/yago/Location100027167,http://dbpedia.org/resource/Surfmen,Surfmen,25,35,0.999999869205604,0.0,0,15,== Discography == | === As leader ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Surfmen,Surfmen,25,35,0.999999869205604,0.0,0,15,== Discography == | === As leader ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Surfmen,Surfmen,25,35,0.999999869205604,0.0,0,15,== Discography == | === As leader ===
http://dbpedia.org/class/yago/Region108630985,http://dbpedia.org/resource/Surfmen,Surfmen,25,35,0.999999869205604,0.0,0,15,== Discography == | === As leader ===
