types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Walela,Walela,14,0,0.9999999519085928,0.0,1,14,== Life and career == | === Walela ===
http://dbpedia.org/ontology/Band,http://dbpedia.org/resource/Walela,Walela,14,0,0.9999999519085928,0.0,1,14,== Life and career == | === Walela ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Walela,Walela,14,0,0.9999999519085928,0.0,1,14,== Life and career == | === Walela ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Walela,Walela,14,0,0.9999999519085928,0.0,1,14,== Life and career == | === Walela ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Walela,Walela,14,0,0.9999999519085928,0.0,1,14,== Life and career == | === Walela ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Walela,Walela,14,0,0.9999999519085928,0.0,1,14,== Life and career == | === Walela ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Walela,Walela,14,0,0.9999999519085928,0.0,1,14,== Life and career == | === Walela ===
http://dbpedia.org/class/yago/MusicalOrganization108246613,http://dbpedia.org/resource/Walela,Walela,14,0,0.9999999519085928,0.0,1,14,== Life and career == | === Walela ===
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/Walela,Walela,14,0,0.9999999519085928,0.0,1,14,== Life and career == | === Walela ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Walela,Walela,14,0,0.9999999519085928,0.0,1,14,== Life and career == | === Walela ===
http://dbpedia.org/class/yago/WikicatNativeAmericanMusicalGroups,http://dbpedia.org/resource/Walela,Walela,14,0,0.9999999519085928,0.0,1,14,== Life and career == | === Walela ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Computer_architecture,computer architecture,920,49,0.9999411673640808,3.683582133733142e-05,14,26,== Personal life == | === Relationships ===
http://dbpedia.org/ontology/MusicGenre,http://dbpedia.org/resource/Computer_architecture,computer architecture,920,49,0.9999411673640808,3.683582133733142e-05,14,26,== Personal life == | === Relationships ===
