types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatMobileGames,http://dbpedia.org/resource/Cut_the_Rope,Cut The Rope,64,1,0.9999559718807524,4.403005780559713e-05,0,15,== Discography == | === Singles ===
http://dbpedia.org/class/yago/WikicatPuzzleVideoGames,http://dbpedia.org/resource/Cut_the_Rope,Cut The Rope,64,1,0.9999559718807524,4.403005780559713e-05,0,15,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Cut_the_Rope,Cut The Rope,64,1,0.9999559718807524,4.403005780559713e-05,0,15,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Cut_the_Rope,Cut The Rope,64,1,0.9999559718807524,4.403005780559713e-05,0,15,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Activity100407535,http://dbpedia.org/resource/Cut_the_Rope,Cut The Rope,64,1,0.9999559718807524,4.403005780559713e-05,0,15,== Discography == | === Singles ===
http://dbpedia.org/class/yago/ComputerGame100458890,http://dbpedia.org/resource/Cut_the_Rope,Cut The Rope,64,1,0.9999559718807524,4.403005780559713e-05,0,15,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Contest107456188,http://dbpedia.org/resource/Cut_the_Rope,Cut The Rope,64,1,0.9999559718807524,4.403005780559713e-05,0,15,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Diversion100426928,http://dbpedia.org/resource/Cut_the_Rope,Cut The Rope,64,1,0.9999559718807524,4.403005780559713e-05,0,15,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Cut_the_Rope,Cut The Rope,64,1,0.9999559718807524,4.403005780559713e-05,0,15,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Game100430606,http://dbpedia.org/resource/Cut_the_Rope,Cut The Rope,64,1,0.9999559718807524,4.403005780559713e-05,0,15,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Game100456199,http://dbpedia.org/resource/Cut_the_Rope,Cut The Rope,64,1,0.9999559718807524,4.403005780559713e-05,0,15,== Discography == | === Singles ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Cut_the_Rope,Cut The Rope,64,1,0.9999559718807524,4.403005780559713e-05,0,15,== Discography == | === Singles ===
http://dbpedia.org/class/yago/SocialEvent107288639,http://dbpedia.org/resource/Cut_the_Rope,Cut The Rope,64,1,0.9999559718807524,4.403005780559713e-05,0,15,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Wikicat2010VideoGames,http://dbpedia.org/resource/Cut_the_Rope,Cut The Rope,64,1,0.9999559718807524,4.403005780559713e-05,0,15,== Discography == | === Singles ===
http://dbpedia.org/class/yago/WikicatNintendo3DSEShopGames,http://dbpedia.org/resource/Cut_the_Rope,Cut The Rope,64,1,0.9999559718807524,4.403005780559713e-05,0,15,== Discography == | === Singles ===
http://dbpedia.org/class/yago/WikicatNintendo3DSGames,http://dbpedia.org/resource/Cut_the_Rope,Cut The Rope,64,1,0.9999559718807524,4.403005780559713e-05,0,15,== Discography == | === Singles ===
http://dbpedia.org/class/yago/WikicatNintendoDSGames,http://dbpedia.org/resource/Cut_the_Rope,Cut The Rope,64,1,0.9999559718807524,4.403005780559713e-05,0,15,== Discography == | === Singles ===
http://dbpedia.org/class/yago/WikicatOSXGames,http://dbpedia.org/resource/Cut_the_Rope,Cut The Rope,64,1,0.9999559718807524,4.403005780559713e-05,0,15,== Discography == | === Singles ===
http://dbpedia.org/class/yago/WikicatStrategyVideoGames,http://dbpedia.org/resource/Cut_the_Rope,Cut The Rope,64,1,0.9999559718807524,4.403005780559713e-05,0,15,== Discography == | === Singles ===
