types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Book,http://dbpedia.org/resource/Dibs_in_Search_of_Self,Dibs,9,118,0.6968640957055577,0.4349938503296357,0,0,
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Hawkfest,Hawkfest,9,26,1.0,0.0,2,4,== Career == | === Hawkwind 2007-2018 ===
http://dbpedia.org/ontology/GrandPrix,http://dbpedia.org/resource/Hawkfest,Hawkfest,9,26,1.0,0.0,2,4,== Career == | === Hawkwind 2007-2018 ===
http://dbpedia.org/class/yago/WikicatCountercultureFestivals,http://dbpedia.org/resource/Hawkfest,Hawkfest,9,26,1.0,0.0,2,4,== Career == | === Hawkwind 2007-2018 ===
http://dbpedia.org/class/yago/WikicatMusicFestivalsInEngland,http://dbpedia.org/resource/Hawkfest,Hawkfest,9,26,1.0,0.0,2,4,== Career == | === Hawkwind 2007-2018 ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Hawkfest,Hawkfest,9,26,1.0,0.0,2,4,== Career == | === Hawkwind 2007-2018 ===
http://dbpedia.org/class/yago/Festival115162388,http://dbpedia.org/resource/Hawkfest,Hawkfest,9,26,1.0,0.0,2,4,== Career == | === Hawkwind 2007-2018 ===
http://dbpedia.org/class/yago/FundamentalQuantity113575869,http://dbpedia.org/resource/Hawkfest,Hawkfest,9,26,1.0,0.0,2,4,== Career == | === Hawkwind 2007-2018 ===
http://dbpedia.org/class/yago/Measure100033615,http://dbpedia.org/resource/Hawkfest,Hawkfest,9,26,1.0,0.0,2,4,== Career == | === Hawkwind 2007-2018 ===
http://dbpedia.org/class/yago/TimePeriod115113229,http://dbpedia.org/resource/Hawkfest,Hawkfest,9,26,1.0,0.0,2,4,== Career == | === Hawkwind 2007-2018 ===
