types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Supergroup_(music),super-duo,2298,86,0.9995704367438766,0.0,0,39,== Other ventures == | === The Scotts ===
http://dbpedia.org/ontology/Band,http://dbpedia.org/resource/Supergroup_(music),super-duo,2298,86,0.9995704367438766,0.0,0,39,== Other ventures == | === The Scotts ===
http://dbpedia.org/ontology/PersonFunction,http://dbpedia.org/resource/Supergroup_(music),super-duo,2298,86,0.9995704367438766,0.0,0,39,== Other ventures == | === The Scotts ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Supergroup_(music),super-duo,2298,86,0.9995704367438766,0.0,0,39,== Other ventures == | === The Scotts ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Supergroup_(music),super-duo,2298,86,0.9995704367438766,0.0,0,39,== Other ventures == | === The Scotts ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Supergroup_(music),super-duo,2298,86,0.9995704367438766,0.0,0,39,== Other ventures == | === The Scotts ===
http://dbpedia.org/class/yago/WikicatMusicalGroups,http://dbpedia.org/resource/Supergroup_(music),super-duo,2298,86,0.9995704367438766,0.0,0,39,== Other ventures == | === The Scotts ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Supergroup_(music),super-duo,2298,86,0.9995704367438766,0.0,0,39,== Other ventures == | === The Scotts ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Supergroup_(music),super-duo,2298,86,0.9995704367438766,0.0,0,39,== Other ventures == | === The Scotts ===
http://dbpedia.org/class/yago/MusicalOrganization108246613,http://dbpedia.org/resource/Supergroup_(music),super-duo,2298,86,0.9995704367438766,0.0,0,39,== Other ventures == | === The Scotts ===
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/Supergroup_(music),super-duo,2298,86,0.9995704367438766,0.0,0,39,== Other ventures == | === The Scotts ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Supergroup_(music),super-duo,2298,86,0.9995704367438766,0.0,0,39,== Other ventures == | === The Scotts ===
