types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Marcus_Becker,Markus Becker,5,99,0.9999999998993871,0.0,0,11,== Recordings == | === As soloist ===
http://dbpedia.org/class/yago/WikicatCanoeistsAtThe2004SummerOlympics,http://dbpedia.org/resource/Marcus_Becker,Markus Becker,5,99,0.9999999998993871,0.0,0,11,== Recordings == | === As soloist ===
http://dbpedia.org/class/yago/Winner110782940,http://dbpedia.org/resource/Marcus_Becker,Markus Becker,5,99,0.9999999998993871,0.0,0,11,== Recordings == | === As soloist ===
http://dbpedia.org/class/yago/Worker109632518,http://dbpedia.org/resource/Marcus_Becker,Markus Becker,5,99,0.9999999998993871,0.0,0,11,== Recordings == | === As soloist ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Marcus_Becker,Markus Becker,5,99,0.9999999998993871,0.0,0,11,== Recordings == | === As soloist ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Marcus_Becker,Markus Becker,5,99,0.9999999998993871,0.0,0,11,== Recordings == | === As soloist ===
http://dbpedia.org/class/yago/WikicatLivingPeople,http://dbpedia.org/resource/Marcus_Becker,Markus Becker,5,99,0.9999999998993871,0.0,0,11,== Recordings == | === As soloist ===
http://dbpedia.org/class/yago/Boatman109861946,http://dbpedia.org/resource/Marcus_Becker,Markus Becker,5,99,0.9999999998993871,0.0,0,11,== Recordings == | === As soloist ===
http://dbpedia.org/class/yago/Canoeist109891470,http://dbpedia.org/resource/Marcus_Becker,Markus Becker,5,99,0.9999999998993871,0.0,0,11,== Recordings == | === As soloist ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Marcus_Becker,Markus Becker,5,99,0.9999999998993871,0.0,0,11,== Recordings == | === As soloist ===
http://dbpedia.org/class/yago/Contestant109613191,http://dbpedia.org/resource/Marcus_Becker,Markus Becker,5,99,0.9999999998993871,0.0,0,11,== Recordings == | === As soloist ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Marcus_Becker,Markus Becker,5,99,0.9999999998993871,0.0,0,11,== Recordings == | === As soloist ===
http://dbpedia.org/class/yago/Medalist110305062,http://dbpedia.org/resource/Marcus_Becker,Markus Becker,5,99,0.9999999998993871,0.0,0,11,== Recordings == | === As soloist ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Marcus_Becker,Markus Becker,5,99,0.9999999998993871,0.0,0,11,== Recordings == | === As soloist ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Marcus_Becker,Markus Becker,5,99,0.9999999998993871,0.0,0,11,== Recordings == | === As soloist ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Marcus_Becker,Markus Becker,5,99,0.9999999998993871,0.0,0,11,== Recordings == | === As soloist ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Marcus_Becker,Markus Becker,5,99,0.9999999998993871,0.0,0,11,== Recordings == | === As soloist ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Marcus_Becker,Markus Becker,5,99,0.9999999998993871,0.0,0,11,== Recordings == | === As soloist ===
http://dbpedia.org/class/yago/WikicatEthnicGermanPeople,http://dbpedia.org/resource/Marcus_Becker,Markus Becker,5,99,0.9999999998993871,0.0,0,11,== Recordings == | === As soloist ===
http://dbpedia.org/class/yago/WikicatGermanCanoeists,http://dbpedia.org/resource/Marcus_Becker,Markus Becker,5,99,0.9999999998993871,0.0,0,11,== Recordings == | === As soloist ===
http://dbpedia.org/class/yago/WikicatOlympicCanoeistsOfGermany,http://dbpedia.org/resource/Marcus_Becker,Markus Becker,5,99,0.9999999998993871,0.0,0,11,== Recordings == | === As soloist ===
http://dbpedia.org/class/yago/WikicatOlympicMedalistsInCanoeing,http://dbpedia.org/resource/Marcus_Becker,Markus Becker,5,99,0.9999999998993871,0.0,0,11,== Recordings == | === As soloist ===
http://dbpedia.org/class/yago/WikicatOlympicSilverMedalistsForGermany,http://dbpedia.org/resource/Marcus_Becker,Markus Becker,5,99,0.9999999998993871,0.0,0,11,== Recordings == | === As soloist ===
