types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Electronic_musical_instrument,electronic music equipment,790,72,1.0,0.0,2,3,== Career == | === 1970s ===
http://dbpedia.org/ontology/MusicGenre,http://dbpedia.org/resource/Electronic_musical_instrument,electronic music equipment,790,72,1.0,0.0,2,3,== Career == | === 1970s ===
http://dbpedia.org/ontology/Agent,http://dbpedia.org/resource/Electronic_musical_instrument,electronic music equipment,790,72,1.0,0.0,2,3,== Career == | === 1970s ===
