types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Karl_Witte,Karl Witte,8,79,1.0,0.0,9,13,== Life == | === Early work ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Karl_Witte,Karl Witte,8,79,1.0,0.0,9,13,== Life == | === Early work ===
http://dbpedia.org/class/yago/Humanist110191192,http://dbpedia.org/resource/Karl_Witte,Karl Witte,8,79,1.0,0.0,9,13,== Life == | === Early work ===
http://dbpedia.org/class/yago/Intellectual109621545,http://dbpedia.org/resource/Karl_Witte,Karl Witte,8,79,1.0,0.0,9,13,== Life == | === Early work ===
http://dbpedia.org/class/yago/Jurist110227985,http://dbpedia.org/resource/Karl_Witte,Karl Witte,8,79,1.0,0.0,9,13,== Life == | === Early work ===
http://dbpedia.org/class/yago/Linguist110264219,http://dbpedia.org/resource/Karl_Witte,Karl Witte,8,79,1.0,0.0,9,13,== Life == | === Early work ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Karl_Witte,Karl Witte,8,79,1.0,0.0,9,13,== Life == | === Early work ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Karl_Witte,Karl Witte,8,79,1.0,0.0,9,13,== Life == | === Early work ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Karl_Witte,Karl Witte,8,79,1.0,0.0,9,13,== Life == | === Early work ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Karl_Witte,Karl Witte,8,79,1.0,0.0,9,13,== Life == | === Early work ===
http://dbpedia.org/class/yago/Communicator109610660,http://dbpedia.org/resource/Karl_Witte,Karl Witte,8,79,1.0,0.0,9,13,== Life == | === Early work ===
http://dbpedia.org/class/yago/Expert109617867,http://dbpedia.org/resource/Karl_Witte,Karl Witte,8,79,1.0,0.0,9,13,== Life == | === Early work ===
http://dbpedia.org/class/yago/WikicatGermanJurists,http://dbpedia.org/resource/Karl_Witte,Karl Witte,8,79,1.0,0.0,9,13,== Life == | === Early work ===
http://dbpedia.org/class/yago/WikicatTranslators,http://dbpedia.org/resource/Karl_Witte,Karl Witte,8,79,1.0,0.0,9,13,== Life == | === Early work ===
http://dbpedia.org/class/yago/Scholar110557854,http://dbpedia.org/resource/Karl_Witte,Karl Witte,8,79,1.0,0.0,9,13,== Life == | === Early work ===
http://dbpedia.org/class/yago/Translator110725280,http://dbpedia.org/resource/Karl_Witte,Karl Witte,8,79,1.0,0.0,9,13,== Life == | === Early work ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Karl_Witte,Karl Witte,8,79,1.0,0.0,9,13,== Life == | === Early work ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Karl_Witte,Karl Witte,8,79,1.0,0.0,9,13,== Life == | === Early work ===
http://dbpedia.org/class/yago/Philologist110423225,http://dbpedia.org/resource/Karl_Witte,Karl Witte,8,79,1.0,0.0,9,13,== Life == | === Early work ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Karl_Witte,Karl Witte,8,79,1.0,0.0,9,13,== Life == | === Early work ===
http://dbpedia.org/class/yago/WikicatEthnicGermanPeople,http://dbpedia.org/resource/Karl_Witte,Karl Witte,8,79,1.0,0.0,9,13,== Life == | === Early work ===
http://dbpedia.org/class/yago/WikicatRomancePhilologists,http://dbpedia.org/resource/Karl_Witte,Karl Witte,8,79,1.0,0.0,9,13,== Life == | === Early work ===
http://dbpedia.org/class/yago/WikicatWriters,http://dbpedia.org/resource/Karl_Witte,Karl Witte,8,79,1.0,0.0,9,13,== Life == | === Early work ===
http://dbpedia.org/class/yago/Writer110794014,http://dbpedia.org/resource/Karl_Witte,Karl Witte,8,79,1.0,0.0,9,13,== Life == | === Early work ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Karl_Witte,Karl Witte,8,79,1.0,0.0,9,13,== Life == | === Early work ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Karl_Witte,Karl Witte,8,79,1.0,0.0,9,13,== Life == | === Early work ===
