types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Double_bass,coffinbass,16152,67,1.0,0.0,4,4,== History == | === Formation ===
http://dbpedia.org/ontology/Agent,http://dbpedia.org/resource/Double_bass,coffinbass,16152,67,1.0,0.0,4,4,== History == | === Formation ===
http://dbpedia.org/ontology/PersonFunction,http://dbpedia.org/resource/Double_bass,coffinbass,16152,67,1.0,0.0,4,4,== History == | === Formation ===
